id,aro,municipio,zona,sistema,localidad,estado_operativo,estado_actual,poblacion_atendida,poblacion_afectada,prioridad,afectacion,accion_requerida,inversion_cop,fotos,fuentes
DEP-ACU-LA-CUMBRE-21651,Sur Cali,La Cumbre,Rural,"ACUEDUCTO VERSA - ASOCIACION DE USUARIO DEL SERVICIO DEL ACUEDUCTO V.E.R.S.A. DE LAS VEREDAS,SAN JOSE Y AGUA CLARA MUNICIPIO DE YUMBO LA CUMBRE",AGUAS CLARAS,POR VALIDAR,POR VALIDAR,620,620,POR VALIDAR,UESVALLE [ACU-LA-CUMBRE-21651]: FORMULARIO: Debido a la ausencia de fluido eléctrico no se puede bombear agua a los tanqu...,,0,0,UESVALLE
DEP-ACU-LA-CUMBRE-110,Sur Cali,La Cumbre,Rural,ADMINISTRACION COOPERATIVA LA CUMBRE DAGUA E.S.P.,PUENTE PALO,PARCIAL,MAL ESTADO,6920,10800,ALTA,"UESVALLE [ACU-LA-CUMBRE-110]: FORMULARIO: los daños estuvieron relacionados con afectaciones estructurales en puntos de...
VALLECAUCANA [VAL-0021]: Avería de tuberías de la red principal y de distribución que afectan el servicio de agua a la comunidad","VALLECAUCANA [VAL-0021]:  PUNTO DE MUESTREO R11 – SECTOR LA VIRGEN: AFECTACIÓN ESTRUCTURAL DE LA CASETA CORRESPONDIENTE AL PUNTO DE MUESTREO.
LÍNEA PRINCIPAL R3 – BELLAVISTA: AFECTACIÓN EN TUBERÍA DE SEIS (6) PULGADAS.
 PUENTE PALO – SECTOR CEMENTERIO: AFECTACIÓN SOBRE LA LÍNEA PRINCIPAL.",52000000,3,UESVALLE | VALLECAUCANA
DEP-ACU-LA-CUMBRE-107,Sur Cali,La Cumbre,Rural,ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO DEL CORREGIMIENTO SAN JOSE DE PAVAS MUNICIPIO DE LA CUMBRE VALLE DEL CAUCA - ACAAPAVAS,SAN JOSE DE PAVAS,PARCIAL,MAL ESTADO,8572,,MEDIA,"VALLECAUCANA [VAL-0027]: DAÑOS ESTRUCTURALES SEVEROS EN CASETA DE OPERACIÓN, GRIETAS POR TENSION DIAGONAL EN MUROS DE ADOBE Y TAPIAS",VALLECAUCANA [VAL-0027]: DEMOLICION Y CONSTRUCION EN CONCRETO,81000000,1,UESVALLE | VALLECAUCANA
DEP-ACU-LA-CUMBRE-3957,Sur Cali,La Cumbre,Rural,"ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO VEREDAL UNIDO DEL CORREGIMIENTO DE JIGUALES, MUNICIPIO DE LA CUMBRE - ASOJIGUA",JIGUALES,PARCIAL,MAL ESTADO,1972,2080,ALTA,"UESVALLE [ACU-LA-CUMBRE-3957]: FORMULARIO: Las redes de conducción y aducción se encuentran fracturadas en varios tramos...
VALLECAUCANA [VAL-0026]: SE REPORTARON DAÑOS EN ACCESORIOS Y TUBERÍAS DE DOS (2) PULGADAS CORRESPONDIENTES A LA INTERCONEXIÓN DEL SISTEMA DE FILTRACIÓN DE LAS PLANTAS DE TRATAMIENTO DE AGUA POTABLE UBICADAS EN LOS SECTORES LAURELES Y ALTO SINÚ.","VALLECAUCANA [VAL-0026]:  EL SUMINISTRO DE MATERIALES Y ACCESORIOS NECESARIOS PARA EFECTUAR LAS REPARACIONES CORRESPONDIENTES QUE PERMITAN REMPLAZAR LAS TUBERIAS, HABILITGAR LOS SITEMAS DE FILTRACION.",87750000,3,UESVALLE | VALLECAUCANA
DEP-ACU-LA-CUMBRE-105,Sur Cali,La Cumbre,Rural,ASOCIACION DEL ACUEDUCTO DE LAS VEREDAS ARBOLEDAS Y CORDOBITAS - JUARCO,ARBOLEDA,PARCIAL,POR VALIDAR,900,,MEDIA,UESVALLE [ACU-LA-CUMBRE-105]: VERIFICACIÓN: Presenta afectaciones en parte de la planta en la tubería y en la oficina.,,0,0,UESVALLE
DEP-ACU-LA-UNION-3180,Norte Cartago,La Unión,Rural,JUNTA ADMINISTRADORA ACUEDUCTO VEREDA LA ISLA,VEREDA LA ISLA,PARCIAL,MAL ESTADO,72,140,MEDIA,"VALLECAUCANA [VAL-0030]: TANQUE DE ALMACENAMIENTO ALTO AFECTADO POR EL SISMO, PRESENTANDO GRIETAS Y FISURAS DE CONSIDERACIÓN EN ELEMENTOS ESTRUCTURALES, DESPRENDIMIENTO DE CONCRETO Y EXPOSICIÓN DEL ACERO DE REFUERZO, COMPROMETIENDO SU ESTABILIDAD Y FUNCIONAMIENTO.",VALLECAUCANA [VAL-0030]:  DEMOLICIÓN DEL TANQUE EXISTENTE Y CONSTRUCCIÓN/INSTALACIÓN DE UN NUEVO TANQUE DE ALMACENAMIENTO QUE GARANTICE LA CONTINUIDAD DEL SERVICIO.,546000000,3,UESVALLE | VALLECAUCANA
DEP-ACU-LA-VICTORIA-2892,Norte Cartago,La Victoria,Rural,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO TAGUALES,CORREGIMIENTO TAGUALES,PARCIAL,MAL ESTADO,140,120,MEDIA,"VALLECAUCANA [VAL-0031]: TANQUE ELEVADO DE ALMACENAMIENTO PRESENTA FISURAS EN LOS NUDOS(COLUMNAS Y VIGAS),  FILTRACIONES EN LAS UNIONES DE LA LOSA  DE FONDO CON LOS MUROS.
FISURAS EN MUROS DEL TANQUE DE BOMBEO","VALLECAUCANA [VAL-0031]: REPARAR FISURAS DE LA ESTRUCTURA Y  DE LOS TANQUES, REALIZAR LA IMPERMEABILIZACION DE LOS TANQUES",13000000,2,UESVALLE | VALLECAUCANA
DEP-ACU-OBANDO-9361,Norte Cartago,Obando,Rural,"ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO AGUAS, AGUA Y VIDA YUCATAN Y LIMONES",VEREDA LIMONES,PARCIAL,MAL ESTADO,128,160,MEDIA,"VALLECAUCANA [VAL-0033]: DESPLAZAMIENTO DE LA TUBERÍA DE 2½ PULGADAS, OCASIONANDO AFECTACIÓN EN LA CONDUCCIÓN.","VALLECAUCANA [VAL-0033]:  REPOSICIÓN Y ALINEACIÓN DEL TRAMO DE TUBERÍA DESPLAZADO, INCLUYENDO REVISIÓN Y ASEGURAMIENTO DE LAS CONEXIONES PARA GARANTIZAR LA CONTINUIDAD DEL SERVICIO.",45500000,2,UESVALLE | VALLECAUCANA
DEP-ACU-OBANDO-2620,Norte Cartago,Obando,Rural,JUNTA ADMINISTRADORA ACUEDUCTO CRUCES,CORREGIMIENTO CRUCES,PARCIAL,MAL ESTADO,340,288,MEDIA,"VALLECAUCANA [VAL-0034]: AGRIETAMIENTO EN EL ÚLTIMO FILTRO Y CAJA DE QUIEBRE, CON POSIBLE AFECTACIÓN DE SU ESTABILIDAD Y FUNCIONAMIENTO.","VALLECAUCANA [VAL-0034]:  EVALUACIÓN TÉCNICA DEL VIADUCTO Y LAS ESTRUCTURAS AFECTADAS.
INSPECCIÓN DE ESTABILIDAD DEL TERRENO Y DEL BARRANCO.
REPARACIÓN DE LOS AGRIETAMIENTOS EN EL ÚLTIMO FILTRO Y CAJA DE QUIEBRE.
ESTABILIZACIÓN Y PROTECCIÓN DEL TERRENO EN EL SECTOR DEL VIADUCTO.
REVISIÓN Y ASEGURAMIENTO DE LA CONDUCCIÓN DE AGUA PARA EVITAR LA INTERRUPCIÓN DEL SERVICIO.
INTERVENCIÓN PRIORITARIA ANTES DE LA TEMPORADA DE LLUVIAS, DEBIDO AL RIESGO DE MAYOR DESPLAZAMIENTO DEL TERRENO.",143000000,2,UESVALLE | VALLECAUCANA
DEP-ACU-RESTREPO-537,Centro Tuluá,Restrepo,Rural,ACUAPALTRES ASOCIACION DE USUARIOS DEL ACUEDUCTO TRES PUERTAS,TRES PUERTAS,PARCIAL,MAL ESTADO,1880,492,MEDIA,"VALLECAUCANA [VAL-0035]:   SIN SERVICIO DE AGUA, RUPTURA DE TUBERÍA GALVANIZADA DE 4 PULGADAS EN UNA UNION","VALLECAUCANA [VAL-0035]:  REPARACIÓN DE LA UNIÓN DE LA TUBERÍA GALVANIZADA DE 4 PULGADAS MEDIANTE SOLDADURA, VERIFICACIÓN DE LA INTEGRIDAD DE LA TUBERÍA, PRUEBA DE PRESIÓN Y FUNCIONAMIENTO PARA GARANTIZAR EL RESTABLECIMIENTO DEL SERVICIO.",13000000,1,UESVALLE | VALLECAUCANA
