No.;CODIGO_ANTERIOR;CODIGO_SISTEMA;Latitud_X;Longitud_Y;MUNICIPIO;TIPO;CODIGO IVC2;CODIGO MUESTREO;CODIGO_AT;ID_SSPD;TIPO_SISTEMA_TRATAMIENTO;ALGUN_TIPO_TRATAMIENTO;LOCALIDADES ABASTECIDAS;NUMERO_LOCALIDADES;ARO;Persona Prestadora;Forma_organizativa;Registrados_SSPD;SIVICAP_Registrados_SSPD;SUSCRIPTORES;POBLACION;IRCA_2020;Nivel de Riesgo_2020;Fecha ultimo IRCA_2020;IRCA_2021;Nivel de Riesgo_2021;Fecha ultimo IRCA_2021;IRCA_2022;Nivel de Riesgo_2022;Fecha ultimo IRCA_2022;IRCA_2023;Nivel de Riesgo_2023;FECHA_IRCA_2023;IRCA_2024;Nivel_de_Riesgo_2024;Fecha_IRCA_2024;IRCA_2025;Nivel_Riesgo_2025;Fecha_Ultimo_IRCA_2025;Punto_Toma_2025;IRCA_Promedio;Img_bocatoma
11;61992;1121;4.10584167;-76.09141667;ANDALUCIA;DISPERSA;61992;113525;110003;S/D;Solo desinfeccion;No;POTRERILLO;1;Centro Tulua;ACUEDUCTO POTRERILLO;Autogestion;No;No;42;168;65.32;ALTO;29/07/2020;88.98;INVIABLE SANITARIAMENTE;22/02/2021;66.86;ALTO;9/08/2022;58.87;ALTO;14/03/2023;58.39;ALTO;20/11/2024;57.6;ALTO;26/03/2025;Grifo;56.57;
12;62256;910;4.15626944;-75.96556944;ANDALUCIA;DISPERSA;62256;112862;110699;S/D;Soluciones_Individuales;Si;UNION CASCAJERO;2;Centro Tulua;ACUEDUCTO RURAL COMUNITARIO LA UNION CASCAJERO;Autogestion;No;No;68;272;70.52;ALTO;29/07/2020;85.27;INVIABLE SANITARIAMENTE;26/04/2021;;;;78.01;ALTO;15/05/2023;0;SIN RIESGO;25/11/2024;0;SIN RIESGO;18/02/2025;Grifo;38.97;
13;102222;1122;4.10056667;-76.08445556;ANDALUCIA;DISPERSA;102222;113524;115551;S/D;Solo desinfeccion;No;EL PLACER;1;Centro Tulua;ACUEDUCTO RURAL EL PLACER;Autogestion;No;No;36;144;6.94;BAJO;29/07/2020;65.35;ALTO;22/02/2021;68.35;ALTO;9/08/2022;86.52;INVIABLE SANITARIAMENTE;15/05/2023;80.29;INVIABLE SANITARIAMENTE;20/11/2024;79.1;ALTO;26/03/2025;Grifo;55.23;
14;64871;13246;4.07638889;-76.08386111;ANDALUCIA;DISPERSA;64871;112855;109980;S/D;Ninguno;No;PARDO ALTO;1;Centro Tulua;ACUEDUCTO RURAL PARDO ALTO;Autogestion;No;No;70;280;;;;86.61;INVIABLE SANITARIAMENTE;22/02/2021;82.84;INVIABLE SANITARIAMENTE;9/08/2022;;;;;;;79.1;ALTO;26/03/2025;Grifo;62.15;
15;62446;1119;4.12816944;-75.96814722;ANDALUCIA;DISPERSA;62446;115178;115561;S/D;Soluciones_Individuales;Si;ALTAFLOR;2;Centro Tulua;ASOCIACION RURAL COMUNITARIA DE AGUA POTABLE Y SANEAMIENTO BASICO DEL CORREGIMIENTO DE ALTA FLOR - ACUAFLOR;Autogestion;No;No;63;252;70.52;ALTO;29/07/2020;85.27;INVIABLE SANITARIAMENTE;26/04/2021;;;;56.74;ALTO;15/05/2023;0;SIN RIESGO;25/11/2024;62;ALTO;18/02/2025;Grifo;45.76;
16;127158;6494;4.17806944;-76.14770833;ANDALUCIA;DISPERSA;127158;128335;127165;S/D;Soluciones_Individuales;Si;PEÑON ALTO;1;Centro Tulua;MUNICIPIO DE ANDALUCIA PEÑON ALTO;Autogestion;No;No;36;144;;;;62.99;ALTO;22/02/2021;24.28;MEDIO;22/06/2022;51.06;ALTO;15/05/2023;0;SIN RIESGO;20/11/2024;0;SIN RIESGO;15/09/2025;Filtro;23.06;
17;58650;201;4.17613611;-76.17446667;ANDALUCIA;URBANO;58650;110375;;443;Convencional;Si;URBANO,  CAMPOALEGRE, ZABALETAS, EL SALTO, TAMBORAL, ZAJONDE PIEDRA, EL ORIENTE, MADRE VIEJA, LA PAZ;8;Centro Tulua;SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ANDALUCIA;Empresa de Servicios Publicos;Si;Si;6492;25968;0;SIN RIESGO;21/12/2020;0;SIN RIESGO;21/01/2021;0;SIN RIESGO;20/12/2022;0;SIN RIESGO;23/01/2023;0;SIN RIESGO;2/12/2024;0;SIN RIESGO;18/11/2025;Grifo;0;
18;81281;527;4.79883611;-76.08668056;ANSERMANUEVO;DISPERSA;81281;106113;118020;S/D;Solo desinfeccion;No;LA HONDURA;1;Norte Cartago;ACUEDUCTO COMUNITARIO LA HONDURA;Autogestion;No;No;38;152;24.56;MEDIO;30/09/2020;0;SIN RIESGO;10/02/2021;29.79;MEDIO;20/09/2022;78.01;ALTO;29/03/2023;82.48;INVIABLE SANITARIAMENTE;25/11/2024;59.3;ALTO;14/10/2025;Grifo;39.16;
19;81280;2161;4.78976546;-76.00014932;ANSERMANUEVO;CENTRO POBLADO;81280;106109;111763;S/D;Solo desinfeccion;No;BARRIO SALAZAR;2;Norte Cartago;ACUEDUCTO COMUNITARIO SALAZAR;Autogestion;No;No;280;1120;0;SIN RIESGO;30/09/2020;0;SIN RIESGO;10/02/2021;31.11;MEDIO;6/12/2022;24.56;MEDIO;14/03/2023;58.39;ALTO;10/10/2024;31.1;MEDIO;24/11/2025;Grifo;20.74;
20;126849;2158;4.78975556;-76.05950278;ANSERMANUEVO;DISPERSA;126849;119317;118803;S/D;Ninguno;No;EL DIAMANTE;1;Norte Cartago;ACUEDUCTO RURAL EL DIAMANTE;Autogestion;No;No;25;100;89.94;INVIABLE SANITARIAMENTE;12/11/2020;80.81;INVIABLE SANITARIAMENTE;23/06/2021;51.06;ALTO;26/09/2022;89.05;INVIABLE SANITARIAMENTE;11/10/2023;86.52;INVIABLE SANITARIAMENTE;13/08/2024;89.9;INVIABLE SANITARIAMENTE;2/09/2025;Grifo;69.62;
21;97410;528;4.83139444;-76.10079167;ANSERMANUEVO;DISPERSA;97410;106111;110328;S/D;Solo desinfeccion;No;LA ESPERANZA;1;Norte Cartago;ACUEDUCTO RURAL VEREDA LA ESPERANZA;Autogestion;No;No;28;0;0;SIN RIESGO;30/09/2020;89.29;INVIABLE SANITARIAMENTE;10/02/2021;57.55;ALTO;18/07/2022;78.01;ALTO;20/06/2023;58.39;ALTO;25/11/2024;81.5;INVIABLE SANITARIAMENTE;14/10/2025;Grifo;52.1;
22;103903;2160;4.76373333;-76.07966944;ANSERMANUEVO;DISPERSA;103903;116852;126629;S/D;Ninguno;No;LAS PALOMAS;1;Norte Cartago;ACUEDUCTO VEREDAS LAS PALOMAS- EL BOSQUE;Autogestion;No;No;17;68;63.58;ALTO;26/08/2020;82.47;INVIABLE SANITARIAMENTE;17/03/2021;55.94;ALTO;29/06/2022;87.77;INVIABLE SANITARIAMENTE;25/07/2023;58.39;ALTO;25/11/2024;81.3;INVIABLE SANITARIAMENTE;2/09/2025;Grifo;61.35;
23;81560;2154;4.84669444;-76.13472222;ANSERMANUEVO;DISPERSA;81560;115478;117792;23152;Solo desinfeccion;No;EL ROBLE, LUSITANIA, LA DIAMANTINA;3;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTOS DEL ROBLE MUNICIPIO DE ANSERMANUEVO -ACUAROBLE - SISTEMA 1;Empresa de Servicios Publicos;Si;Si;135;0;72.19;ALTO;12/11/2020;82.47;INVIABLE SANITARIAMENTE;17/03/2021;81.48;INVIABLE SANITARIAMENTE;6/12/2022;86.52;INVIABLE SANITARIAMENTE;14/03/2023;58.39;ALTO;25/11/2024;81.3;INVIABLE SANITARIAMENTE;2/09/2025;Grifo;66.05;
24;88339;3461;4.82440278;-76.05950278;ANSERMANUEVO;DISPERSA;88339;127900;133964;23152;Ninguno;No;LA QUIEBRA DEL ROBLE, EL CIPRES, SANTA BARBARA, TRES ESQUINAS, LA PUERTA;5;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTOS DEL ROBLE MUNICIPIO DE ANSERMANUEVO - ACUAROBLE - SISTEMA 2;Empresa de Servicios Publicos;Si;Si;96;384;;;;;;;;;;;;;;;;;;;;0;
25;86924;9345;4.865075;-76.00722222;ANSERMANUEVO;CENTRO POBLADO;86924;111626;110311;S/D;FIME;Si;EL VERGEL, LA PEDRERA;2;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTO EL VERGEL -ACUAVERGEL;Autogestion;No;No;220;880;63.58;ALTO;24/06/2020;0;SIN RIESGO;17/03/2021;0;SIN RIESGO;6/12/2022;35.46;ALTO;4/07/2023;0;SIN RIESGO;10/09/2024;24.8;MEDIO;27/10/2025;Grifo;17.69;
26;103159;19800;4.82863889;-76.02363889;ANSERMANUEVO;DISPERSA;103159;;110372;S/D;Ninguno;No;REAL BRILLANTE;2;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA EL REAL BRILLANTE;Autogestion;No;No;10;0;;;;;;;;;;;;;;;;;;;;0;
27;102412;530;4.82809722;-76.11026111;ANSERMANUEVO;DISPERSA;102412;106117;112667;S/D;Solo desinfeccion;No;LA DIVISA;1;Norte Cartago;ASOCIACION GESTION COMUNITARIA DE AGUA DE LA COMUNIDAD VEREDA LA DIVISA;Autogestion;No;No;14;56;64.33;ALTO;30/09/2020;89.29;INVIABLE SANITARIAMENTE;10/02/2021;79.14;ALTO;18/07/2022;78.01;ALTO;20/06/2023;82.48;INVIABLE SANITARIAMENTE;25/11/2024;90.4;INVIABLE SANITARIAMENTE;14/10/2025;Grifo;69.09;
28;88266;3457;4.76783889;-76.10245556;ANSERMANUEVO;DISPERSA;88266;110449;110092;S/D;Solo desinfeccion;No;LA POPALITA;1;Norte Cartago;ASOCIACION GESTION COMUNITARIA DEL AGUA DE LA COMUNIDAD RURAL LA POPALITA;Autogestion;No;No;26;104;63.58;ALTO;26/08/2020;80.81;INVIABLE SANITARIAMENTE;27/04/2021;87.77;INVIABLE SANITARIAMENTE;18/07/2022;86.52;INVIABLE SANITARIAMENTE;29/03/2023;80.29;INVIABLE SANITARIAMENTE;10/10/2024;91.7;INVIABLE SANITARIAMENTE;27/10/2025;Grifo;70.1;
29;110255;2149;4.786725;-76.07941667;ANSERMANUEVO;DISPERSA;110255;110596;110138;S/D;Solo desinfeccion;No;REAL PLACER;2;Norte Cartago;ASOCIACION GESTORA COMUNITARIA DEL AGUA DE LA COMUNIDAD RURAL REAL PLACER (ACUAPLACER);Autogestion;No;No;9;36;0;SIN RIESGO;12/02/2020;82.47;INVIABLE SANITARIAMENTE;17/03/2021;55.94;ALTO;29/06/2022;54.42;ALTO;14/03/2023;56.74;ALTO;13/08/2024;2.9;SIN RIESGO;27/10/2025;Filtro;36.07;
30;80702;2147;4.755024;-76.080223;ANSERMANUEVO;DISPERSA;80702;106112;109546;S/D;Solo desinfeccion;No;LA CABAÑA.;1;Norte Cartago;ASOCIACION GESTORA COMUNITARIA DEL AGUA DEL CORREGIMIENTO LA CABAÑA;Autogestion;No;No;42;168;63.58;ALTO;26/08/2020;0;SIN RIESGO;27/04/2021;57.55;ALTO;11/10/2022;24.56;MEDIO;29/03/2023;0;SIN RIESGO;10/10/2024;62.6;ALTO;14/10/2025;Grifo;29.76;
31;143327;3459;4.77938889;-76.13213889;ANSERMANUEVO;DISPERSA;143327;;143319;S/D;Ninguno;No;EL TIGRE;1;Norte Cartago;JUNTA ADMINISTRADORA ACUEDUCTO RURAL EL TIGRE( VEREDA BAJO TIGRE);Autogestion;No;No;37;148;;;;80.81;INVIABLE SANITARIAMENTE;27/04/2021;80.14;INVIABLE SANITARIAMENTE;25/04/2022;86.52;INVIABLE SANITARIAMENTE;4/07/2023;79.14;ALTO;10/09/2024;94;INVIABLE SANITARIAMENTE;27/10/2025;Grifo;70.1;
32;110129;3460;4.77916944;-76.10750278;ANSERMANUEVO;DISPERSA;110129;109398;110144;S/D;Solo desinfeccion;No;EL CASTILLO;1;Norte Cartago;JUNTA ADMON ACUEDUCTO EL CASTILLO ALTO Y BAJO;Autogestion;No;No;35;40;63.58;ALTO;26/08/2020;80.81;INVIABLE SANITARIAMENTE;27/04/2021;57.55;ALTO;18/07/2022;56.74;ALTO;29/03/2023;78.01;ALTO;17/07/2024;62.4;ALTO;27/10/2025;Grifo;57.01;
33;87910;3458;4.78088333;-76.12842222;ANSERMANUEVO;DISPERSA;87910;110602;112782;S/D;Ninguno;No;EL TIGRE;1;Norte Cartago;JUNTA ADMON ACUEDUCTO EL TIGRE (VEREDA ALTO TIGRE);Autogestion;No;No;16;64;63.58;ALTO;26/08/2020;80.81;INVIABLE SANITARIAMENTE;23/06/2021;;;;;;;78.01;ALTO;9/04/2024;;;;;55.6;
34;80699;532;4.81998611;-76.09103611;ANSERMANUEVO;CENTRO POBLADO;80699;106115;115315;S/D;Solo desinfeccion;No;EL VILLAR;1;Norte Cartago;JUNTA DE ACCION COMUNAL ACUEDUCTO EL VILLAR;Autogestion;No;No;168;672;0;SIN RIESGO;30/09/2020;0;SIN RIESGO;10/02/2021;21.58;MEDIO;18/07/2022;24.56;MEDIO;29/03/2023;78.01;ALTO;26/06/2024;81.5;INVIABLE SANITARIAMENTE;14/10/2025;Grifo;29.38;
35;96313;;;;ANSERMANUEVO;DISPERSA;96313;;;S/D;Ninguno;No;CALABAZAS;1;Norte Cartago;JUNTA DE ACCION COMUNAL VEREDA CALABAZAS DEL MUNICIPIO DE ANSERMANUEVO DEPARTAMENTO DEL VALLE;Autogestion;No;No;0;0;;;;;;;;;;;;;;;;;;;;0;
36;86244;60;4.79667222;-75.99252222;ANSERMANUEVO;URBANO;86244;89241;;443;Convencional;Si;URBANO, ANACARO, GRAMALOTE;1;Norte Cartago;SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-ANSERMANUEVO;Empresa de Servicios Publicos;Si;Si;3449;13796;0;SIN RIESGO;14/12/2020;0;SIN RIESGO;19/01/2021;0;SIN RIESGO;13/12/2022;0;SIN RIESGO;31/01/2023;0;SIN RIESGO;7/11/2024;0;SIN RIESGO;18/11/2025;Grifo;0;
