ACTIVIDADES,CODIGO,CODIGO_ACTIVIDAD,ARO,TIPO,PERIODO_NORMALIZADO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
Actividades Administrativas,12.8,12.8,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Actividades Administrativas,12.8,12.8,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Crítico
OTROS,1.11,1.11,CARTAGO,PLANTA,Enero - Marzo,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
OTROS,2.5,2.5,CARTAGO,PLANTA,Enero - Marzo,2026,4,1,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
OTROS,2.5,2.5,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Crítico
OTROS,AP,AP,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,15.0,7.0,8.0,8.0,0.0,0.4666666666666667,0.4666666666666667,Bajo
OTROS,CONTIENGENCIA,CONTIENGENCIA,CARTAGO,PLANTA,Enero - Marzo,2026,1,1,1,325.0,0.0,325.0,325.0,0.0,0.0,0.0,Crítico
OTROS,ENTORNOS,ENTORNOS,CALI,CONTRATISTA,Enero - Marzo,2026,4,4,1,12.0,0.0,12.0,12.0,0.0,0.0,0.0,Crítico
OTROS,ENTORNOS,ENTORNOS,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,2,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
OTROS,ENTORNOS,ENTORNOS,TULUA,CONTRATISTA,Enero - Marzo,2026,3,3,1,9.0,2.0,7.0,7.0,0.0,0.2222222222222222,0.2222222222222222,Crítico
OTROS,FILTROS,FILTROS,CALI,CONTRATISTA,Enero - Marzo,2026,4,4,1,8.0,0.0,8.0,8.0,0.0,0.0,0.0,Crítico
OTROS,FILTROS,FILTROS,CALI,PLANTA,Enero - Marzo,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
OTROS,FILTROS,FILTROS,CARTAGO,CONTRATISTA,Enero - Marzo,2026,2,2,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
OTROS,FILTROS,FILTROS,CARTAGO,PLANTA,Enero - Marzo,2026,1,1,1,8.0,0.0,8.0,8.0,0.0,0.0,0.0,Crítico
OTROS,FILTROS,FILTROS,TULUA,CONTRATISTA,Enero - Marzo,2026,3,3,1,6.0,4.0,2.0,3.0,1.0,0.6666666666666666,0.6666666666666666,Medio
OTROS,MEDIDASSANITARIAS,MEDIDASSANITARIAS,CALI,PLANTA,Enero - Marzo,2026,1,1,1,0.0,0.0,0.0,0.0,0.0,,,Sin dato
OTROS,MEDIDASSANITARIAS,MEDIDASSANITARIAS,CARTAGO,PLANTA,Enero - Marzo,2026,2,2,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
OTROS,MEDIDASSANITARIAS,MEDIDASSANITARIAS,TULUA,PLANTA,Enero - Marzo,2026,1,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
