TIPO,PERIODO_NORMALIZADO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
CONTRATISTA,Enero - Marzo,2026,262,9,22,1443.0,978.0,465.0,504.0,39.0,0.6777546777546778,0.6777546777546778,Medio
PLANTA,Enero - Marzo,2026,153,4,40,1106.0,302.0,804.0,885.0,81.0,0.2730560578661845,0.2730560578661845,Crítico
