ACTIVIDAD,Actividad_Resumen,CODIGO_LLAVE,CODIGO_SISA_ORIGINAL,CODIGO_PROGRAMADO_CRUCE,TIPO_CRUCE_MPR,PUNTAJE_CRUCE_MPR,MUNICIPIO,LOCALIDADES_ABASTECIDAS,NOMBRE_SISTEMA,PERSONA_PRESTADORA,NOMBRE_ARO,FUNCIONARIO,FECHA_ACTIVIDAD,ACTA,CONSECUTIVO VISITA,ESTADO,PROGRAMADO,CODIGO_PROGRAMADO_ORIGINAL,FUNCIONARIO_PROGRAMADO,ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,LOCALIDAD_PROGRAMADA,COINCIDE_FUNCIONARIO_PROGRAMADO
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,34209,34209,34209,CODIGO,1.0,EL CERRITO,CARRIZAL,CARRIZAL,ACUEDUCTO COMUNITARIO CARRIZAL,Aro Sur Cali,LAURA SOFIA LOPEZ CUNDUMI,2026-04-15,MPRCARR2026,114,ABIERTO,SI,34209,LAURA SOFIA LOPEZ CUNDUMI,CALI,EL CERRITO,EL CARRIZAL,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,124804,124804,124804,CODIGO,1.0,BUGALAGRANDE,EL PORVENIR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR - EL PORVENIR,Aro Centro Tuluà,WILLIAM ALBERTO CARLOSAMA JIMENEZ,2026-04-21,WAC210426,134,ABIERTO,SI,124804,WILLIAM ALBERTO CARLOSAMA JIMENEZ,TULUA,BUGALAGRANDE,EL PORVENIR,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,135187,135187,135187,CODIGO,1.0,VIJES,VEREDA MONTERREY ALTO FRESNEDA,MONTERREY ALTO FRESNEDA,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO MONTERREY ALTO FRESNEDA JACA # 13,Aro Sur Cali,DIEGO ANDRES SANCHEZ MUÑOZ,2026-02-16,AFMR001,137,ABIERTO,SI,135187,DIEGO SANCHEZ,CALI,VIJES,MONTERREY ALTOS DE LA FRESNEDA JACA 13,NO
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,61928,61928,61928,CODIGO,1.0,RIOFRIO,VEREDA CALABAZAS                                                                            ,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS                                                                                  ,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-25,DM25042026,124,ABIERTO,SI,61928,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,RIOFRIO,CALABAZAS,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,122659,122659,122659,CODIGO,1.0,ZARZAL,GUASIMAL BAJO - GUASIMAL ALTO- ALIZAL,ASOCIACION DE USUARIOS DE SERVICIOS PUBLICOS DEL ACUEDUCTO GUASIMAL-ALIZAL -ASERPUGAZ.,ASOCIACION DE USUARIOS DE SERVICIOS PUBLICOS DEL ACUEDUCTO GUASIMAL-ALIZAL -ASERPUGAZ.,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-04,DM-040426-1,108,ABIERTO,SI,122659,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,ZARZAL,GUASIMAL ALIZAL,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,14638,14638,14638,CODIGO,1.0,OBANDO,CORREGIMIENTO VILLA RODAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #2,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE VILLA RODAS # 2,Aro Norte Cartago,SAIR HAIRTON IBARGUEN RENTERIA,2026-04-01,SHIR01042026-2,99,ABIERTO,SI,14638,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,OBANDO,VILLA RODAS 2,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,88218,88218,88218,CODIGO,1.0,OBANDO,CORREGIMIENTO VILLA RODAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #1,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE VILLA RODAS # 1,Aro Norte Cartago,SAIR HAIRTON IBARGUEN RENTERIA,2026-04-01,SHIR01042026,98,ABIERTO,SI,88218,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,OBANDO,VILLARODAS 1,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,87883,87883,87883,CODIGO,1.0,LA UNION,VEREDA AGUADA ALTA,ASOCIACION DE USUARIOS DE ACUEDUCTO RURAL LA AGUADA - LA CHICA- EL AJIZAL - TAMBORAL ,"ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL LA AGUADA LA CHICA, AJIZAL, TAMBORAL.",Aro Norte Cartago,ANA MILENA MENDEZ ARANA,2026-04-09,AMM090426,92,ABIERTO,SI,87883,ANA MILENA MENDEZ ARANA,CARTAGO,LA UNION,EL AJIZAL -TAMBORAL – LA CHICA – LA AGUADA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,116231,116231,116231,CODIGO,1.0,RESTREPO,LA ESPERANZA,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-04-16,VP-16042026,109,ABIERTO,SI,116231,VALERIA PATIÑO HERNANDEZ,TULUA,RESTREPO,ALTO DEL OSO LA ESPERANZA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,80702,80702,80702,CODIGO,1.0,ANSERMANUEVO,LA CABAÑA,ACUEDUCTO LA CABAÑA,ASOCIACION GESTORA COMUNITARIA DEL AGUA DEL CORREGIMIENTO LA CABAÑA,Aro Norte Cartago,SAIR HAIRTON IBARGUEN RENTERIA,2026-04-04,SHIR04042026,95,ABIERTO,SI,80702,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,ANSERMANUEVO,LA CABAÑA.,SI
