ACTIVIDAD,Actividad_Resumen,CODIGO_LLAVE,CODIGO_SISA_ORIGINAL,CODIGO_PROGRAMADO_CRUCE,TIPO_CRUCE_MPR,PUNTAJE_CRUCE_MPR,MUNICIPIO,LOCALIDADES_ABASTECIDAS,NOMBRE_SISTEMA,PERSONA_PRESTADORA,NOMBRE_ARO,FUNCIONARIO,FECHA_ACTIVIDAD,ACTA,CONSECUTIVO VISITA,ESTADO,PROGRAMADO,CODIGO_PROGRAMADO_ORIGINAL,FUNCIONARIO_PROGRAMADO,ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,LOCALIDAD_PROGRAMADA,COINCIDE_FUNCIONARIO_PROGRAMADO
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,61999,61999,61999,CODIGO,1.0,TRUJILLO,ANDINÁPOLIS,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE ANDINAPOLIS - ARCA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE ANDINAPOLIS - ARCA,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-14,DM14042026,120,ABIERTO,SI,61999,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,TRUJILLO,ANDINÁPOLIS,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,67724,67724,67724,CODIGO,1.0,GINEBRA,LOS MEDIOS,ASOMEDIOS,JUNTA ADMINISTRADORA DEL ACUEDUCTO LOS MEDIOS - ASOMEDIOS,Aro Sur Cali,DIEGO ANDRES SANCHEZ MUÑOZ,2026-04-15,DSMPG1504,100,ABIERTO,SI,67724,DIEGO ANDRES SANCHEZ MUÑOZ,CALI,GINEBRA,LOS MEDIOS,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,144306,116907,144306,TEXTO,1.0,EL AGUILA,VEREDA EL NARANJO,ACUEDUCTO RURAL EL NARANJO ,ASOCIACIÓN DE USUARIOS ACUEDUCTO EL NARANJO,Aro Norte Cartago,EDWARD RAUL JAIMES VERA,2026-04-24,ERJV240426,127,ABIERTO,SI,144306,EDWARD RAUL JAIMES VERA,CARTAGO,EL AGUILA,EL NARANJO,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,91938,91938,91938,CODIGO,1.0,ARGELIA,VEREDA LAS BRISAS,ADMINISTRACION COOPERATIVA SAN ROQUE ESP LAS BRISAS SISTEMA #2,COOPERATIVA SAN ROQUE LAS BRISAS RAIZAL LA AURORA -SISTEMA # 2,Aro Norte Cartago,EDWARD RAUL JAIMES VERA,2026-04-22,ERJV220426-01,117,ABIERTO,SI,91938,EDWARD RAUL JAIMES VERA,CARTAGO,ARGELIA,"LAS BRISAS, EL RAIZAL, LA AURORA, CAJONES, LA PAZ",SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,62248,62248,62248,CODIGO,1.0,TRUJILLO,CEDRALES,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COLECTIVO VEREDA CEDRALES ARCC,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COLECTIVO VEREDA CEDRALES ARCC,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-20,DM20042026-01,122,ABIERTO,SI,62248,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,TRUJILLO,CEDRALES,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,41579,41579,41579,CODIGO,1.0,EL CERRITO,"VEREDAS CAMPOALEGRE, AMAIMITO.",AUSERACA,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y/O ALCANTARILLADO Y/O ASEO DE CAMPO ALEGRE - AUSERACA,Aro Sur Cali,LAURA SOFIA LOPEZ CUNDUMI,2026-02-19,MPRLS01,87,ABIERTO,SI,41579,LAURA SOFIA LOPEZ CUNDUMI,CALI,EL CERRITO,CAMPOALEGRE,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,65487,65487,65487,CODIGO,1.0,TRUJILLO,LA DIAMANTINA,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO LA DIAMANTINA,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO LA DIAMANTINA,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-03-23,DM-23032026,121,ABIERTO,SI,65487,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,TRUJILLO,LA DIAMANTINA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,65487,65487,65487,CODIGO,1.0,TRUJILLO,LA DIAMANTINA,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO LA DIAMANTINA,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO LA DIAMANTINA,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-03-23,DM-23032026,105,ABIERTO,SI,65487,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,TRUJILLO,LA DIAMANTINA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,36321,34259,36321,TEXTO,1.0,EL CERRITO,"EL CERRITO, SAN ANTONIO, ZABALETAS, GUACANAL",ACUAVALLE S.A. E.S.P. - EL CERRITO,ACUAVALLE S.A. E.S.P. - SECCIONAL EL CERRITO,Aro Sur Cali,LAURA SOFIA LOPEZ CUNDUMI,2026-03-18,MPRACVCERRITO,90,ABIERTO,SI,36321,LAURA SOFIA LOPEZ CUNDUMI,CALI,EL CERRITO,ACUAVALLE EL CERRITO,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,60151,60151,60151,CODIGO,1.0,BUGALAGRANDE,CEILÁN,ASOCIACION DE USUARIOS DE LOS SERVICIOS PUBLICOS DEL CORREGIMIENTO DE CEILAN,ASOCIACION DE USUARIOS DE LOS SERVICIOS PUBLICOS DEL CORREGIMIENTO DE CEILAN,Aro Centro Tuluà,WILLIAM ALBERTO CARLOSAMA JIMENEZ,2026-04-06,W06042026,112,ABIERTO,SI,60151,WILLIAM ALBERTO CARLOSAMA JIMENEZ,TULUA,BUGALAGRANDE,CEILÁN,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,115075,115075,115075,CODIGO,1.0,YOTOCO,EL BOSQUE,JUNTA ADMINISTRADORA ACUEDUCTO EL BOSQUE LIVERPOOL,JUNTA ADMINISTRADORA ACUEDUCTO EL BOSQUE LIVERPOOL,Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-04-15,VP150426,107,ABIERTO,SI,115075,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,EL BOSQUE,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,58606,58606,58606,CODIGO,1.0,RIOFRIO,FENICIA,FENICIA,ACUEDUCTO RURAL FENICIA ACUAFENICIA,Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-05-05,VP005/26,133,ABIERTO,SI,58606,VALERIA PATIÑO HERNANDEZ,TULUA,RIOFRIO,FENICIA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,97410,97410,97410,CODIGO,1.0,ANSERMANUEVO,VEREDA LA ESPERANZA,ACUEDUCTO LA ESPERANZA,JUNTA DE ADMINISTRACION COMUNAL LA ESPERANZA,Aro Norte Cartago,EDWARD RAUL JAIMES VERA,2026-03-11,ERJ11032026-1,86,ABIERTO,SI,97410,EDWARD RAUL JAIMES VERA,CARTAGO,ANSERMANUEVO,LA ESPERANZA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,112090,112090,112090,CODIGO,1.0,RESTREPO,"BUEN VIVIR, TRES PUERTAS, COLEGURRE, VENTAQUEMADO, LA PALMA, MONTERREDONDO",ASOCIACION DE USUARIOS DEL ACUEDUCTO TRES PUERTAS - ACUAPALTRES,ACUAPALTRES  ASOCIACION DE USUARIOS DEL ACUEDUCTO TRES PUERTAS,Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-04-24,VP024/26,132,ABIERTO,SI,112090,VALERIA PATIÑO HERNANDEZ,TULUA,RESTREPO,ACUAPALTRES,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,152043,152043,152043,CODIGO,1.0,EL CERRITO,REGADEROS,ACUEDUCTO REGADEROS,JUNTA DE ACCIÓN COMUNAL VEREDA REGADEROS,Aro Sur Cali,MAURICIO ALZATE DIAZ,2026-04-15,MPRREG2026,115,ABIERTO,SI,152043,LAURA SOFIA LOPEZ CUNDUMI,CALI,EL CERRITO,REGADEROS ALBECIA - CORREGIMIENTO AUJI,NO
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,86250,86250,86250,CODIGO,1.0,ULLOA,ULLOA,ACUAVALLE SA ULLOA,ACUAVALLE S.A. E.S.P. SUCURSAL ULLOA.   ,Aro Norte Cartago,SAIR HAIRTON IBARGUEN RENTERIA,2026-04-23,SHIR042026,119,ABIERTO,SI,86250,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,ULLOA,ACUAVALLE ULLOA,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,136356,136356,136356,CODIGO,1.0,YOTOCO,BUENOS AIRES ,ASOCIACION DE USUARIOS ACUEDUCTO BUENOS AIRES AJABA ,ASOCIACIÓN DE USUARIOS ACUEDUCTO BUENOS AIRES AJABA  ,Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-04-07,VP07042026,152,ABIERTO,SI,136356,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,BUENOS AIRES,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,136356,136356,136356,CODIGO,1.0,YOTOCO,BUENOS AIRES ,ASOCIACION DE USUARIOS ACUEDUCTO BUENOS AIRES AJABA ,ASOCIACIÓN DE USUARIOS ACUEDUCTO BUENOS AIRES AJABA  ,Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-04-07,VP07042026,106,ABIERTO,SI,136356,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,BUENOS AIRES,SI
1.3,Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,115502,115502,115502,CODIGO,1.0,ALCALA,CONGAL - MARAVELEZ PARTE ALTA,SISTEMA #1 ,COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #1)   ,Aro Norte Cartago,SAIR HAIRTON IBARGUEN RENTERIA,2026-04-07,SHIR07042026,94,ABIERTO,SI,115502,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,ALCALA,(S1) CONGAL - MARAVELEZ PARTE ALTA,SI
1.4,Toma de muestra elaboracion mapas de riesgo,60116,60116,60116,CODIGO,1.0,BOLÍVAR,LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-24,DGM24042026,147,ABIERTO,SI,60116,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,LA TULIA,SI
1.4,Toma de muestra elaboracion mapas de riesgo,60116,60116,60116,CODIGO,1.0,BOLÍVAR,LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-04,DGM04,145,ABIERTO,SI,60116,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,LA TULIA,SI
1.4,Toma de muestra elaboracion mapas de riesgo,60116,60116,60116,CODIGO,1.0,BOLÍVAR,LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,Aro Centro Tuluà,CARLOS IVAN ERAZO GUERRERO,2026-04-22,0539,70,ABIERTO,SI,60116,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,LA TULIA,NO
1.4,Toma de muestra elaboracion mapas de riesgo,60116,60116,60116,CODIGO,1.0,BOLÍVAR,LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,ASOCIACION DE USUARIOS ACUEDUCTO LA TULIA,Aro Centro Tuluà,CARLOS IVAN ERAZO GUERRERO,2026-04-21,0540,63,ABIERTO,SI,60116,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,LA TULIA,NO
1.4,Toma de muestra elaboracion mapas de riesgo,36852,36852,36852,CODIGO,1.0,FLORIDA,EL PEDREGAL PRIMERA ETAPA,EL PEDREGAL PRIMERA ETAPA,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y/O ALCANTARILLADO EL PEDREGAL E.S.P. - PRIMERA ETAPA,Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-07,CACG-003,53,ABIERTO,SI,36852,DIEGO MARMOLEJO,CALI,FLORIDA,EL PEDREGAL 1,NO
1.4,Toma de muestra elaboracion mapas de riesgo,33117,33117,33117,CODIGO,1.0,PRADERA,CORREGIMIENTO EL RECREO,PTAP ACUAVIDA-EL RECREO,ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO DEL CORREGIMIENTO EL RECREO MUNICIPIO DE PRADERA - ACUAVIDA-EL RECREO,Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-07,CACG-001,51,ABIERTO,SI,33117,DIEGO MARMOLEJO,CALI,PRADERA,EL RECREO,NO
1.4,Toma de muestra elaboracion mapas de riesgo,34629,34629,34629,CODIGO,1.0,PRADERA,POTRERITO,PTAP POTRERITO,ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO DOMESTICO DEL CORREGIMIENTO DE POTRERITO MUNICIPIO DE PRADERA VALLE,Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-07,CACG-002,52,ABIERTO,SI,34629,DIEGO MARMOLEJO,CALI,PRADERA,POTRERITO,NO
1.4,Toma de muestra elaboracion mapas de riesgo,111988,111988,111988,CODIGO,1.0,BOLÍVAR,EL BOSQUE,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL BOSQUE # 1,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL BOSQUE # 1,Aro Centro Tuluà,CARLOS IVAN ERAZO GUERRERO,2026-04-21,0541,71,ABIERTO,SI,111988,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,EL BOSQUE,NO
1.4,Toma de muestra elaboracion mapas de riesgo,64871,64871,64871,CODIGO,1.0,ANDALUCÍA, PARDO ALTO,ACUEDUCTO RURAL PARDO ALTO,ACUEDUCTO RURAL PARDO ALTO,Aro Centro Tuluà,WILLIAM ALBERTO CARLOSAMA JIMENEZ,2026-04-06,WC06042026,149,ABIERTO,SI,64871,WILLIAM ALBERTO CARLOSAMA JIMENEZ,TULUA,ANDALUCIA,PARDO ALTO,SI
1.4,Toma de muestra elaboracion mapas de riesgo,151783,151783,151783,CODIGO,1.0,YOTOCO,BUENOS AIRES ,ACUEDUCTO RURAL EL SOBACO ,ACUEDUCTO RURAL EL SOBACO ,Aro Centro Tuluà,NATALIA RAIGOSA MEDINA,2026-04-20,0535,72,ABIERTO,SI,151783,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,EL SOBACO,NO
1.4,Toma de muestra elaboracion mapas de riesgo,28230,105133,28230,TEXTO,1.0,DAGUA,KM 26 PALO ALTO,ECASP. ESP. - KM 26 PALO ALTO,ASOCIACION EMPRESA COMUNITARIA ACUEDUCTO BORRERO AYERBE - ECASP. ESP. - KM 26 PALO ALTO,Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-21,CACG-007,65,ABIERTO,SI,28230,DIEGO FERNANDO HOYOS TABORDA,CALI,DAGUA,BORRERO AYERBE (KM 26),NO
1.4,Toma de muestra elaboracion mapas de riesgo,59620,59620,59620,CODIGO,1.0,GUACARÍ,"PUNTE ROJO, LA REUBICACION, SECTOR EL ALTO, VEREDA BELLO HORIZONTE, BARRIO LA CRISTALINA  I y II",ACUAPUERO,ASOCIACION ADMINISTRADORA DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO DE PUENTE ROJO ACUASALUD PUENTE ROJO - ACUAPUERO,Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-27,CACG-009,74,ABIERTO,SI,59620,LAURA SOFIA LOPEZ CUNDUMI,CALI,GUACARI,PUENTE ROJO,NO
1.4,Toma de muestra elaboracion mapas de riesgo,37556,0,37556,TEXTO,0.666667,DAGUA,EL PIÑAL (DAGUA),ASOABASE,ASOCIACION ABASTO DE AGUA MARIA -PIÑAL- MUNICIPIO DE LA CUMBRE Y DAGUA VALLE DEL CAUCA - ASOABASE,Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-21,CACG-004,61,ABIERTO,SI,37556,DIEGO FERNANDO HOYOS TABORDA,CALI,DAGUA,"LA MARÍA 430 (LA CUMBRE), EL PIÑAL 665 (DAGUA).",NO
1.4,Toma de muestra elaboracion mapas de riesgo,135187,135187,135187,CODIGO,1.0,VIJES,VEREDA MONTERREY ALTO FRESNEDA,MONTERREY ALTO FRESNEDA,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO MONTERREY ALTO FRESNEDA JACA # 13,Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-27,CACG-012,77,ABIERTO,SI,135187,DIEGO SANCHEZ,CALI,VIJES,MONTERREY ALTOS DE LA FRESNEDA JACA 13,NO
1.4,Toma de muestra elaboracion mapas de riesgo,14638,14638,14638,CODIGO,1.0,OBANDO,CORREGIMIENTO VILLA RODAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #2,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE VILLA RODAS # 2,Aro Norte Cartago,ANA MILENA MENDEZ ARANA,2026-04-06,0024,54,ABIERTO,SI,14638,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,OBANDO,VILLA RODAS 2,NO
1.4,Toma de muestra elaboracion mapas de riesgo,88218,88218,88218,CODIGO,1.0,OBANDO,CORREGIMIENTO VILLA RODAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #1,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE VILLA RODAS # 1,Aro Norte Cartago,ANA MILENA MENDEZ ARANA,2026-04-06,0001,56,ABIERTO,SI,88218,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,OBANDO,VILLARODAS 1,NO
1.4,Toma de muestra elaboracion mapas de riesgo,58650,58650,,SIN_CRUCE,0.0,ANDALUCÍA,,,ACUAVALLE S.A (ESP),Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-04-28,0543,78,ABIERTO,NO,,,,,,SIN DATO
1.4,Toma de muestra elaboracion mapas de riesgo,80702,80702,80702,CODIGO,1.0,ANSERMANUEVO,LA CABAÑA,ACUEDUCTO LA CABAÑA,ASOCIACION GESTORA COMUNITARIA DEL AGUA DEL CORREGIMIENTO LA CABAÑA,Aro Norte Cartago,SAIR HAIRTON IBARGUEN RENTERIA,2026-04-06,0027,55,ABIERTO,SI,80702,SAIR HAIRTON IBARGUEN RENTERIA,CARTAGO,ANSERMANUEVO,LA CABAÑA.,SI
1.4,Toma de muestra elaboracion mapas de riesgo,59619,59619,59619,CODIGO,1.0,BOLÍVAR,LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA  ASOAHER,Aro Centro Tuluà,DIANA GIMENA MARTINEZ GONZALEZ,2026-04-02,DGM-02042026,151,ABIERTO,SI,59619,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,LA HERRADURA,SI
1.4,Toma de muestra elaboracion mapas de riesgo,59619,59619,59619,CODIGO,1.0,BOLÍVAR,LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA  ASOAHER,Aro Centro Tuluà,NATALIA RAIGOSA MEDINA,2026-04-21,0542,69,ABIERTO,SI,59619,DIANA GIMENA MARTINEZ GONZALEZ,TULUA,BOLIVAR,LA HERRADURA,NO
1.4,Toma de muestra elaboracion mapas de riesgo,33506,0,33506,TEXTO,1.0,VIJES,VEREDA VIDAL,ALJIBE VIDAL,ABASTECIMIENTO COMUNITARIO VIDAL,Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-27,CACG-011,76,ABIERTO,SI,33506,DIEGO SANCHEZ,CALI,VIJES,VIDAL,NO
1.4,Toma de muestra elaboracion mapas de riesgo,33506,0,33506,TEXTO,1.0,VIJES,VEREDA VIDAL,ALJIBE VIDAL,ABASTECIMIENTO COMUNITARIO VIDAL,Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-27,CACG-010,75,ABIERTO,SI,33506,DIEGO SANCHEZ,CALI,VIJES,VIDAL,NO
1.4,Toma de muestra elaboracion mapas de riesgo,25332,0,25332,TEXTO,1.0,ARGELIA,,,ACUEDUCTO RURAL VEREDA LA MARINA ,Aro Norte Cartago,EDWARD RAUL JAIMES VERA,2026-04-06,0013,59,ABIERTO,SI,25332,EDWARD RAUL JAIMES VERA,CARTAGO,ARGELIA,ACUEDUCTO RURAL VEREDA LA MARINA,SI
1.4,Toma de muestra elaboracion mapas de riesgo,108425,108425,108425,CODIGO,1.0,YOTOCO,PUENTETIERRA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,Aro Centro Tuluà,VALERIA PATIÑO HERNANDEZ,2026-04-08,VP08042026,150,ABIERTO,SI,108425,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,LA BOHEMIA - CORREGIMIENTO PUENTE TIERRA,SI
1.4,Toma de muestra elaboracion mapas de riesgo,108425,108425,108425,CODIGO,1.0,YOTOCO,PUENTETIERRA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,Aro Centro Tuluà,NATALIA RAIGOSA MEDINA,2026-04-20,0536,67,ABIERTO,SI,108425,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,LA BOHEMIA - CORREGIMIENTO PUENTE TIERRA,NO
1.4,Toma de muestra elaboracion mapas de riesgo,34631,34631,34631,CODIGO,1.0,DAGUA,LAS DELICIAS PARTE BAJA,PTAP DELICIAS BAJA,ASOCIACION DE USUARIOS DE ACUEDUCTO VEREDA LAS DELICIAS - ASAD ESP - PARTE BAJA,Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-21,CACG-005,62,ABIERTO,SI,34631,DIEGO FERNANDO HOYOS TABORDA,CALI,DAGUA,LAS DELICIAS,NO
1.4,Toma de muestra elaboracion mapas de riesgo,46017,46017,46017,CODIGO,1.0,DAGUA,EL CHIPRE KM 27,ASOCHIPRE,"ASOCIACION COMUNITARIA DE ACUEDUCTO DE CHIPRE, ASOCHIPRE",Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-21,CACG-006,64,ABIERTO,SI,46017,DIEGO FERNANDO HOYOS TABORDA,CALI,DAGUA,CHIPRE,NO
1.4,Toma de muestra elaboracion mapas de riesgo,59615,132973,59615,TEXTO,1.0,GUACARÍ,"LA MAGDALENA, CHAFALOTE, ALTO DE LA JULIA",ASOJUMACHAGUA,"ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE LOS CORREGIMIENTOS DE ALTO DE LA JULIA, LA MAGDALENA Y LA VEREDA DE CHAFALOTE - ASOJUMACHAGUA",Aro Sur Cali,CARLOS ALBERTO CAICEDO GONZALEZ,2026-04-27,CACG-008,73,ABIERTO,SI,59615,LAURA SOFIA LOPEZ CUNDUMI,CALI,GUACARI,LA MAGDALENA,NO
1.4,Toma de muestra elaboracion mapas de riesgo,60151,60151,60151,CODIGO,1.0,BUGALAGRANDE,CEILÁN,ASOCIACION DE USUARIOS DE LOS SERVICIOS PUBLICOS DEL CORREGIMIENTO DE CEILAN,ASOCIACION DE USUARIOS DE LOS SERVICIOS PUBLICOS DEL CORREGIMIENTO DE CEILAN,Aro Centro Tuluà,WILLIAM ALBERTO CARLOSAMA JIMENEZ,2026-04-06,WC06042026,146,ABIERTO,SI,60151,WILLIAM ALBERTO CARLOSAMA JIMENEZ,TULUA,BUGALAGRANDE,CEILÁN,SI
1.4,Toma de muestra elaboracion mapas de riesgo,115075,115075,115075,CODIGO,1.0,YOTOCO,EL BOSQUE,JUNTA ADMINISTRADORA ACUEDUCTO EL BOSQUE LIVERPOOL,JUNTA ADMINISTRADORA ACUEDUCTO EL BOSQUE LIVERPOOL,Aro Centro Tuluà,VICTOR HUGO TASCON TASCON,2026-06-09,0544,79,ABIERTO,SI,115075,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,EL BOSQUE,NO
1.4,Toma de muestra elaboracion mapas de riesgo,115075,115075,115075,CODIGO,1.0,YOTOCO,EL BOSQUE,JUNTA ADMINISTRADORA ACUEDUCTO EL BOSQUE LIVERPOOL,JUNTA ADMINISTRADORA ACUEDUCTO EL BOSQUE LIVERPOOL,Aro Centro Tuluà,NATALIA RAIGOSA MEDINA,2026-04-20,0537,66,ABIERTO,SI,115075,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,EL BOSQUE,NO
1.4,Toma de muestra elaboracion mapas de riesgo,115075,115075,115075,CODIGO,1.0,YOTOCO,EL BOSQUE,JUNTA ADMINISTRADORA ACUEDUCTO EL BOSQUE LIVERPOOL,JUNTA ADMINISTRADORA ACUEDUCTO EL BOSQUE LIVERPOOL,Aro Centro Tuluà,NATALIA RAIGOSA MEDINA,2026-04-20,0538,60,ABIERTO,SI,115075,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,EL BOSQUE,NO
1.4,Toma de muestra elaboracion mapas de riesgo,97410,97410,97410,CODIGO,1.0,ANSERMANUEVO,VEREDA LA ESPERANZA,ACUEDUCTO LA ESPERANZA,JUNTA DE ADMINISTRACION COMUNAL LA ESPERANZA,Aro Norte Cartago,EDWARD RAUL JAIMES VERA,2026-04-06,0012,58,ABIERTO,SI,97410,EDWARD RAUL JAIMES VERA,CARTAGO,ANSERMANUEVO,LA ESPERANZA,SI
1.4,Toma de muestra elaboracion mapas de riesgo,97410,97410,97410,CODIGO,1.0,ANSERMANUEVO,VEREDA LA ESPERANZA,ACUEDUCTO LA ESPERANZA,JUNTA DE ADMINISTRACION COMUNAL LA ESPERANZA,Aro Norte Cartago,EDWARD RAUL JAIMES VERA,2026-04-06,0011,57,ABIERTO,SI,97410,EDWARD RAUL JAIMES VERA,CARTAGO,ANSERMANUEVO,LA ESPERANZA,SI
1.4,Toma de muestra elaboracion mapas de riesgo,136356,136356,136356,CODIGO,1.0,YOTOCO,BUENOS AIRES ,ASOCIACION DE USUARIOS ACUEDUCTO BUENOS AIRES AJABA ,ASOCIACIÓN DE USUARIOS ACUEDUCTO BUENOS AIRES AJABA  ,Aro Centro Tuluà,NATALIA RAIGOSA MEDINA,2026-04-20,0534,68,ABIERTO,SI,136356,VALERIA PATIÑO HERNANDEZ,TULUA,YOTOCO,BUENOS AIRES,NO
