ARO_PROGRAMADO,PROGRAMADOS,CON_CODIGO_VALIDO,CON_FUNCIONARIO,EJECUTADOS_13,EJECUTADOS_14,EJECUTADOS_15,COMPLETOS_13_14,SIN_EJECUCION,PENDIENTE_14,PENDIENTE_15,ALERTAS,COINCIDE_13,COINCIDE_14,AVANCE_13_PCT,AVANCE_14_PCT,AVANCE_CICLO_13_14_PCT
CALI,26,23,26,14,11,0,6,7,8,6,5,13,0,53.8,42.3,23.1
CARTAGO,20,20,20,20,5,0,5,0,15,5,0,19,3,100.0,25.0,25.0
TULUA,28,27,28,22,9,0,9,6,13,9,0,22,5,78.6,32.1,32.1
