ID,ARO,MUNICIPIO,LOCALIDAD,CODIGO ANTERIOR,FUNCIONARIO,PERSONA_PRESTADORA
63,TULUA,YOTOCO,EL BOSQUE,115075,VALERIA PATIÑO HERNANDEZ,JUNTA ADMINISTRADORA ACUEDUCTO EL BOSQUE LIVERPOOL
64,TULUA,YOTOCO,BUENOS AIRES,136356,VALERIA PATIÑO HERNANDEZ,ASOCIACIÓN DE USUARIOS ACUEDUCTO BUENOS AIRES AJABA
71,TULUA,YOTOCO,EL SOBACO,151783,VALERIA PATIÑO HERNANDEZ,ACUEDUCTO RURAL EL SOBACO
72,TULUA,CALIMA,PARCELACION AGUA DULCE,,VALERIA PATIÑO HERNANDEZ,PARCELACION AGUA DULCE
74,TULUA,RIOFRIO,FENICIA,58606,VALERIA PATIÑO HERNANDEZ,ACUEDUCTO RURAL FENICIA ACUAFENICIA
3,TULUA,ANDALUCÍA,PARDO ALTO,64871,WILLIAM ALBERTO CARLOSAMA JIMENEZ,ACUEDUCTO RURAL PARDO ALTO
11,TULUA,BUGALAGRANDE,CEILÁN,60151,WILLIAM ALBERTO CARLOSAMA JIMENEZ,ASOCIACION DE USUARIOS DE LOS SERVICIOS PUBLICOS DEL CORREGIMIENTO DE CEILAN
12,TULUA,BUGALAGRANDE,EL PORVENIR,124804,WILLIAM ALBERTO CARLOSAMA JIMENEZ,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR - EL PORVENIR
13,TULUA,CAICEDONIA,EL SALADO,127559,WILLIAM ALBERTO CARLOSAMA JIMENEZ,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO
14,TULUA,CAICEDONIA,LAS DELICIAS,58636,WILLIAM ALBERTO CARLOSAMA JIMENEZ,
15,TULUA,CAICEDONIA,SAN GERARDO,113622,WILLIAM ALBERTO CARLOSAMA JIMENEZ,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN GERARDO DE CAICEDONIA
51,TULUA,SEVILLA,EL VENADO,58792,WILLIAM ALBERTO CARLOSAMA JIMENEZ,
52,TULUA,SEVILLA,ALTO RECREO,115587,WILLIAM ALBERTO CARLOSAMA JIMENEZ,
