ID,ARO_PROGRAMADO,MUNICIPIO_PROGRAMADO,LOCALIDAD_PROGRAMADA,CODIGO_LLAVE,CODIGO_VALIDO,ejecuto_13,fecha_13,funcionario_13,acta_13,registros_13,ejecuto_14,fecha_14,funcionario_14,acta_14,registros_14,ejecuto_15,fecha_15,funcionario_15,acta_15,registros_15,DIAS_13_A_14,ESTADO_MPR,PROGRAMADO
29,CALI,EL CERRITO,PARCELACION MIRADOR DE VENECIA,,NO,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
30,CALI,FLORIDA,EL PEDREGAL 1,36852,SI,NO,,,,0,SI,2026-04-07,CARLOS ALBERTO CAICEDO GONZALEZ,CACG-003,1,NO,,,,0,,ALERTA: 1.4 SIN 1.3,SI
31,CALI,GINEBRA,LOS MEDIOS,67724,SI,SI,2026-04-15,DIEGO ANDRES SANCHEZ MUÑOZ,DSMPG1504,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
32,CALI,GINEBRA,LA FLORESTA,6844,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
33,CALI,GINEBRA,PARCELACION PARAISO ESCONDIDO,,NO,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
34,CALI,GUACARI,PUENTE ROJO,59620,SI,SI,2026-03-20,LAURA SOFIA LOPEZ CUNDUMI,MPRPR,1,SI,2026-04-27,CARLOS ALBERTO CAICEDO GONZALEZ,CACG-009,1,NO,,,,0,38.0,PENDIENTE 1.5 RESOLUCIÓN,SI
35,CALI,GUACARI,LA MAGDALENA,59615,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
36,CALI,LA CUMBRE,BITACO - ZONA DE ALTO RIESGO,32188,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
37,CALI,LA CUMBRE,SAN JOSÉ Y AGUA CLARA,43206,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
38,CARTAGO,LA UNION,EL AJIZAL -TAMBORAL  LA CHICA  LA AGUADA,87883,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
39,CARTAGO,LA VICTORIA,LA SIBERIA,97356,SI,NO,,,,0,NO,,,,0,NO,,,,0,,SIN EJECUCIÓN,SI
40,CARTAGO,LA VICTORIA,MIRAVALLES,88298,SI,SI,2026-04-27,ANA MILENA MENDEZ ARANA,AMM27042026,1,NO,,,,0,NO,,,,0,,PENDIENTE 1.4 MUESTREO,SI
