anio,mes,codigo_dane,municipio,area_operativa,latitud,longitud,fecha,especie,condicion,vacuna,lote,vacunaciones
2026,6,76233,DAGUA,ARO SUR CALI,3.56046,-76.62844,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,5
2026,6,76233,DAGUA,ARO SUR CALI,3.56051,-76.62846,2026-06-10,FELINO,REVACUNADO,RABICAN,RAC265,2
2026,6,76233,DAGUA,ARO SUR CALI,3.56052,-76.62826,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,6
2026,6,76233,DAGUA,ARO SUR CALI,3.56054,-76.62955,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56056,-76.62987,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56056,-76.63041,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56057,-76.63041,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.5606,-76.62975,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.5606,-76.63042,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.5607,-76.62824,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56077,-76.62855,2026-06-10,CANINO,PRIMERA VEZ,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56077,-76.62855,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56087,-76.62867,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56088,-76.62866,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,2
2026,6,76233,DAGUA,ARO SUR CALI,3.56142,-76.62397,2026-06-10,CANINO,PRIMERA VEZ,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56142,-76.62397,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56147,-76.6245,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56148,-76.62442,2026-06-10,FELINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56148,-76.62449,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,2
2026,6,76233,DAGUA,ARO SUR CALI,3.56148,-76.62449,2026-06-10,FELINO,REVACUNADO,RABICAN,RAC265,3
2026,6,76233,DAGUA,ARO SUR CALI,3.56148,-76.6245,2026-06-10,CANINO,PRIMERA VEZ,RABICAN,RAC265,2
2026,6,76233,DAGUA,ARO SUR CALI,3.56148,-76.6245,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,3
2026,6,76233,DAGUA,ARO SUR CALI,3.56149,-76.62449,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56149,-76.62449,2026-06-10,FELINO,PRIMERA VEZ,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56204,-76.64018,2026-06-26,CANINO,REVACUNADO,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56204,-76.64027,2026-06-26,CANINO,PRIMERA VEZ,RABICAN,RAC261,3
2026,6,76233,DAGUA,ARO SUR CALI,3.56204,-76.64027,2026-06-26,CANINO,REVACUNADO,RABICAN,RAC261,5
2026,6,76233,DAGUA,ARO SUR CALI,3.56204,-76.64027,2026-06-26,FELINO,PRIMERA VEZ,RABICAN,RAC261,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56258,-76.62622,2026-06-10,CANINO,PRIMERA VEZ,RABICAN,RAC265,1
2026,6,76233,DAGUA,ARO SUR CALI,3.56258,-76.62622,2026-06-10,CANINO,REVACUNADO,RABICAN,RAC265,2
2026,6,76233,DAGUA,ARO SUR CALI,3.56259,-76.62671,2026-06-10,CANINO,PRIMERA VEZ,RABICAN,RAC265,1
