anio,anio_visita,mes,codigo_dane,municipio,numero_visita,dentro_10_dias,area_operativa,visitas
2026,2026,2,76403,LA VICTORIA,2,SI,ARO NORTE CARTAGO,1
2026,2026,2,76403,LA VICTORIA,3,SI,ARO NORTE CARTAGO,2
2026,2026,2,76497,OBANDO,1,SI,ARO NORTE CARTAGO,4
2026,2026,2,76497,OBANDO,2,SI,ARO NORTE CARTAGO,3
2026,2026,2,76497,OBANDO,3,SI,ARO NORTE CARTAGO,2
2026,2026,2,76563,PRADERA,1,NO,ARO SUR CALI,14
2026,2026,2,76563,PRADERA,1,SI,ARO SUR CALI,13
2026,2026,2,76563,PRADERA,2,NO,ARO SUR CALI,2
2026,2026,2,76563,PRADERA,2,SI,ARO SUR CALI,2
2026,2026,2,76606,RESTREPO,1,NO,ARO CENTRO TULUA,3
2026,2026,2,76606,RESTREPO,1,SI,ARO CENTRO TULUA,16
2026,2026,2,76616,RIOFRIO,1,NO,ARO CENTRO TULUA,4
2026,2026,2,76616,RIOFRIO,1,SI,ARO CENTRO TULUA,5
2026,2026,2,76616,RIOFRIO,2,NO,ARO CENTRO TULUA,2
2026,2026,2,76616,RIOFRIO,2,SI,ARO CENTRO TULUA,1
2026,2026,2,76616,RIOFRIO,3,NO,ARO CENTRO TULUA,2
2026,2026,2,76616,RIOFRIO,3,SI,ARO CENTRO TULUA,1
2026,2026,2,76622,ROLDANILLO,1,NO,ARO NORTE CARTAGO,3
2026,2026,2,76622,ROLDANILLO,1,SI,ARO NORTE CARTAGO,19
2026,2026,2,76670,SAN PEDRO,1,SI,ARO CENTRO TULUA,4
2026,2026,2,76736,SEVILLA,1,NO,ARO CENTRO TULUA,6
2026,2026,2,76736,SEVILLA,1,SI,ARO CENTRO TULUA,9
2026,2026,2,76736,SEVILLA,2,NO,ARO CENTRO TULUA,2
2026,2026,2,76823,TORO,1,SI,ARO NORTE CARTAGO,8
2026,2026,2,76823,TORO,2,NO,ARO NORTE CARTAGO,1
2026,2026,2,76823,TORO,2,SI,ARO NORTE CARTAGO,2
2026,2026,2,76823,TORO,3,NO,ARO NORTE CARTAGO,2
2026,2026,2,76828,TRUJILLO,1,NO,ARO CENTRO TULUA,2
2026,2026,2,76828,TRUJILLO,1,SI,ARO CENTRO TULUA,3
2026,2026,2,76828,TRUJILLO,2,SI,ARO CENTRO TULUA,2
2026,2026,2,76845,ULLOA,1,NO,ARO NORTE CARTAGO,1
2026,2026,2,76845,ULLOA,1,SI,ARO NORTE CARTAGO,2
2026,2026,2,76845,ULLOA,2,NO,ARO NORTE CARTAGO,1
2026,2026,2,76863,VERSALLES,1,NO,ARO NORTE CARTAGO,3
2026,2026,2,76863,VERSALLES,1,SI,ARO NORTE CARTAGO,1
2026,2026,2,76863,VERSALLES,2,NO,ARO NORTE CARTAGO,1
2026,2026,2,76869,VIJES,1,SI,ARO SUR CALI,4
2026,2026,2,76869,VIJES,2,NO,ARO SUR CALI,3
2026,2026,2,76869,VIJES,2,SI,ARO SUR CALI,1
2026,2026,2,76869,VIJES,3,SI,ARO SUR CALI,1
2026,2026,2,76890,YOTOCO,1,SI,ARO CENTRO TULUA,13
2026,2026,2,76895,ZARZAL,1,NO,ARO CENTRO TULUA,5
