anio,fecha_visita,mes,codigo_dane,municipio,area_operativa,especie,categoria_visitas,seguimiento_3_visitas,estado_animal,numero_visita,dentro_10_dias,visitas
2026,2026-01-06,1,76306,GINEBRA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1,NO,1
2026,2026-01-06,1,76306,GINEBRA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1,NO,1
2026,2026-01-06,1,76306,GINEBRA,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,CON SIGNOS REPORTADOS,1,NO,1
2026,2026-01-06,1,76318,GUACARI,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1,SI,1
2026,2026-01-06,1,76318,GUACARI,ARO SUR CALI,CANINO,3 O MÁS VISITAS,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,SIN CLASIFICAR,1,NO,1
2026,2026-01-06,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,NO OBSERVABLE,1,SI,2
2026,2026-01-06,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,OBSERVADO SANO,2,SI,1
2026,2026-01-06,1,76497,OBANDO,ARO NORTE CARTAGO,CANINO,2 VISITAS,2 VISITAS,OBSERVADO SANO,2,SI,1
2026,2026-01-06,1,76497,OBANDO,ARO NORTE CARTAGO,FELINO,1 VISITA,1 VISITA,OBSERVADO SANO,1,NO,1
2026,2026-01-06,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1,NO,1
2026,2026-01-06,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1,NO,1
2026,2026-01-06,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1,SI,1
2026,2026-01-06,1,76616,RIOFRIO,ARO CENTRO TULUA,FELINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1,NO,1
2026,2026-01-06,1,76616,RIOFRIO,ARO CENTRO TULUA,OTRO,1 VISITA,1 VISITA,SIN CLASIFICAR,1,SI,1
2026,2026-01-06,1,76823,TORO,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,SIN CLASIFICAR,1,SI,1
2026,2026-01-06,1,76823,TORO,ARO NORTE CARTAGO,FELINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1,SI,1
2026,2026-01-06,1,76823,TORO,ARO NORTE CARTAGO,OTRO,1 VISITA,1 VISITA,NO OBSERVABLE,1,SI,1
2026,2026-01-06,1,76869,VIJES,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1,NO,3
2026,2026-01-06,1,76869,VIJES,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,NO OBSERVABLE,1,SI,1
2026,2026-01-07,1,76036,ANDALUCIA,ARO CENTRO TULUA,FELINO,2 VISITAS,2 VISITAS,CALLEJERO,2,NO,1
2026,2026-01-07,1,76122,CAICEDONIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1,NO,1
2026,2026-01-07,1,76122,CAICEDONIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1,SI,3
2026,2026-01-07,1,76122,CAICEDONIA,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1,NO,1
2026,2026-01-07,1,76248,EL CERRITO,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1,NO,1
2026,2026-01-07,1,76248,EL CERRITO,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1,NO,3
2026,2026-01-07,1,76248,EL CERRITO,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,NO OBSERVABLE,1,NO,2
2026,2026-01-07,1,76248,EL CERRITO,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1,SI,1
