anio,fecha_agresion,fecha_primera_visita,mes,codigo_dane,municipio,area_operativa,especie,sector,provocado,condicion_vacunacion,seguimiento_3_visitas,estado_animal,eventos
2026,2025-12-04,2026-01-08,12,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,RURAL,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-06,2026-01-05,12,76126,CALIMA,ARO CENTRO TULUA,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-06,2026-01-06,12,76126,CALIMA,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-06,2026-01-08,12,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-06,2026-01-08,12,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-06,2026-01-26,12,76233,DAGUA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-07,2026-01-05,12,76126,CALIMA,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-08,2026-01-05,12,76126,CALIMA,ARO CENTRO TULUA,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-08,2026-01-07,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,2
2026,2025-12-08,2026-01-08,12,76233,DAGUA,ARO SUR CALI,FELINO,RURAL,NO,DESCONOCIDO,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2025-12-08,2026-01-08,12,76243,EL AGUILA,ARO NORTE CARTAGO,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-08,2026-01-21,12,76563,PRADERA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-08,2026-01-21,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-09,2026-01-08,12,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2025-12-09,2026-01-08,12,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-09,2026-01-14,12,76828,TRUJILLO,ARO CENTRO TULUA,FELINO,RURAL,NO,VACUNADO,2 VISITAS,SIN CLASIFICAR,1
2026,2025-12-09,2026-01-21,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-09,2026-01-23,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,SI,VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025-12-09,2026-01-27,12,76306,GINEBRA,ARO SUR CALI,CANINO,RURAL,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-10,2026-01-06,12,76318,GUACARI,ARO SUR CALI,CANINO,RURAL,NO,VACUNADO,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,SIN CLASIFICAR,1
2026,2025-12-10,2026-01-08,12,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-10,2026-01-08,12,76233,DAGUA,ARO SUR CALI,FELINO,URBANO,NO,DESCONOCIDO,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2025-12-10,2026-01-08,12,76248,EL CERRITO,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-10,2026-01-23,12,76622,ROLDANILLO,ARO NORTE CARTAGO,FELINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-11,2026-01-06,12,76306,GINEBRA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-11,2026-02-03,12,76306,GINEBRA,ARO SUR CALI,FELINO,URBANO,NO,NO VACUNADO,2 VISITAS,PERDIDO O DESAPARECIDO,1
2026,2025-12-12,2026-01-21,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-12,2026-01-21,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-12,2026-01-28,12,76606,RESTREPO,ARO CENTRO TULUA,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-13,2026-01-07,12,76248,EL CERRITO,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-13,2026-01-08,12,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,2 VISITAS,CON SIGNOS REPORTADOS,1
2026,2025-12-13,2026-01-21,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,SI,VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025-12-13,2026-01-23,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-14,2026-01-05,12,76497,OBANDO,ARO NORTE CARTAGO,CANINO,RURAL,SI,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025-12-14,2026-01-07,12,76248,EL CERRITO,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-14,2026-01-09,12,76377,LA CUMBRE,ARO SUR CALI,FELINO,URBANO,SI,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-14,2026-01-16,12,76233,DAGUA,ARO SUR CALI,FELINO,RURAL,SI,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-15,2026-01-05,12,76126,CALIMA,ARO CENTRO TULUA,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-15,2026-01-06,12,76306,GINEBRA,ARO SUR CALI,FELINO,URBANO,SI,VACUNADO,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2025-12-15,2026-01-07,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-15,2026-01-08,12,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,OBSERVADO SANO,1
2026,2025-12-15,2026-01-08,12,76248,EL CERRITO,ARO SUR CALI,FELINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-15,2026-01-09,12,76377,LA CUMBRE,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-15,2026-01-21,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-16,2026-01-05,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,OBSERVADO SANO,1
2026,2025-12-16,2026-01-05,12,76863,VERSALLES,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-16,2026-01-06,12,76497,OBANDO,ARO NORTE CARTAGO,FELINO,RURAL,SI,VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025-12-16,2026-01-08,12,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-16,2026-01-16,12,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-16,2026-01-16,12,76233,DAGUA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-16,2026-01-27,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,2
2026,2025-12-17,2026-01-05,12,76036,ANDALUCIA,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-17,2026-01-05,12,76036,ANDALUCIA,ARO CENTRO TULUA,FELINO,RURAL,NO,DESCONOCIDO,2 VISITAS,CALLEJERO,1
2026,2025-12-17,2026-01-09,12,76670,SAN PEDRO,ARO CENTRO TULUA,CANINO,URBANO,SI,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-17,2026-01-09,12,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,RURAL,SI,VACUNADO,2 VISITAS,SIN CLASIFICAR,1
2026,2025-12-17,2026-01-15,12,76306,GINEBRA,ARO SUR CALI,FELINO,RURAL,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-17,2026-01-16,12,76233,DAGUA,ARO SUR CALI,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-17,2026-01-27,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-18,2026-01-05,12,76126,CALIMA,ARO CENTRO TULUA,CANINO,URBANO,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-18,2026-01-06,12,76869,VIJES,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-18,2026-01-27,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-18,2026-01-27,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-19,2026-01-05,12,76318,GUACARI,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,SIN CLASIFICAR,2
2026,2025-12-19,2026-01-05,12,76400,LA UNION,ARO NORTE CARTAGO,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-19,2026-01-05,12,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025-12-19,2026-01-09,12,76377,LA CUMBRE,ARO SUR CALI,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-19,2026-01-14,12,76275,FLORIDA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,2
2026,2025-12-19,2026-01-16,12,76113,BUGALAGRANDE,ARO CENTRO TULUA,CANINO,URBANO,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-19,2026-01-16,12,76233,DAGUA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-19,2026-01-16,12,76233,DAGUA,ARO SUR CALI,FELINO,RURAL,SI,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-20,2026-01-05,12,76054,ARGELIA,ARO NORTE CARTAGO,CANINO,RURAL,NO,NO VACUNADO,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,OBSERVADO SANO,1
2026,2025-12-20,2026-01-06,12,76306,GINEBRA,ARO SUR CALI,CANINO,URBANO,NO,VACUNADO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-20,2026-01-07,12,76248,EL CERRITO,ARO SUR CALI,FELINO,RURAL,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-20,2026-01-07,12,76248,EL CERRITO,ARO SUR CALI,FELINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-20,2026-01-08,12,76248,EL CERRITO,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-20,2026-01-14,12,76275,FLORIDA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2025-12-20,2026-01-14,12,76275,FLORIDA,ARO SUR CALI,FELINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-21,2026-01-05,12,76318,GUACARI,ARO SUR CALI,FELINO,URBANO,SI,DESCONOCIDO,2 VISITAS,NO OBSERVABLE,1
2026,2025-12-21,2026-01-06,12,76113,BUGALAGRANDE,ARO CENTRO TULUA,OTRO,URBANO,NO,DESCONOCIDO,1 VISITA,SIN CLASIFICAR,1
2026,2025-12-21,2026-01-09,12,76377,LA CUMBRE,ARO SUR CALI,CANINO,RURAL,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-21,2026-01-14,12,76275,FLORIDA,ARO SUR CALI,CANINO,RURAL,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-21,2026-01-14,12,76275,FLORIDA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-21,2026-01-15,12,76306,GINEBRA,ARO SUR CALI,FELINO,URBANO,SI,VACUNADO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-21,2026-01-21,12,76736,SEVILLA,ARO CENTRO TULUA,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-21,2026-01-21,12,76736,SEVILLA,ARO CENTRO TULUA,CANINO,URBANO,NO,NO VACUNADO,1 VISITA,OBSERVADO SANO,1
2026,2025-12-21,2026-01-21,12,76736,SEVILLA,ARO CENTRO TULUA,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,NO OBSERVABLE,1
2026,2025-12-21,2026-01-22,12,76863,VERSALLES,ARO NORTE CARTAGO,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,NO OBSERVADO,1
2026,2025-12-21,2026-01-27,12,76248,EL CERRITO,ARO SUR CALI,CANINO,URBANO,SI,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2025-12-21,2026-01-27,12,76563,PRADERA,ARO SUR CALI,CANINO,URBANO,NO,DESCONOCIDO,1 VISITA,PERDIDO O DESAPARECIDO,1
