anio,fecha_apertura,fecha_agresion,mes,codigo_dane,municipio,area_operativa,especie,categoria_visitas,seguimiento_3_visitas,estado_animal,eventos
2026,2026-01-06,2025-12-06,1,76126,CALIMA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-06,2025-12-10,1,76318,GUACARI,ARO SUR CALI,CANINO,3 O MÁS VISITAS,3 VISITAS FUERA DE 10 DÍAS O CON INCONSISTENCIA,SIN CLASIFICAR,1
2026,2026-01-06,2025-12-11,1,76306,GINEBRA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-06,2025-12-15,1,76306,GINEBRA,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2026-01-06,2025-12-16,1,76497,OBANDO,ARO NORTE CARTAGO,FELINO,1 VISITA,1 VISITA,OBSERVADO SANO,1
2026,2026-01-06,2025-12-18,1,76869,VIJES,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-06,2025-12-20,1,76306,GINEBRA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-06,2025-12-21,1,76113,BUGALAGRANDE,ARO CENTRO TULUA,OTRO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-06,2025-12-23,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-06,2025-12-23,1,76869,VIJES,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-06,2025-12-24,1,76248,EL CERRITO,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-06,2025-12-24,1,76250,EL DOVIO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-06,2025-12-24,1,76616,RIOFRIO,ARO CENTRO TULUA,FELINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1
2026,2026-01-06,2025-12-25,1,76248,EL CERRITO,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-06,2025-12-26,1,76250,EL DOVIO,ARO NORTE CARTAGO,FELINO,1 VISITA,1 VISITA,NO OBSERVADO,1
2026,2026-01-06,2025-12-26,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1
2026,2026-01-06,2025-12-27,1,76113,BUGALAGRANDE,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1
2026,2026-01-06,2025-12-27,1,76250,EL DOVIO,ARO NORTE CARTAGO,FELINO,1 VISITA,1 VISITA,OBSERVADO SANO,1
2026,2026-01-06,2025-12-27,1,76616,RIOFRIO,ARO CENTRO TULUA,OTRO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-06,2025-12-28,1,76126,CALIMA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-06,2025-12-29,1,76248,EL CERRITO,ARO SUR CALI,OTRO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-06,2025-12-29,1,76318,GUACARI,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-06,2025-12-30,1,76823,TORO,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,SIN CLASIFICAR,1
2026,2026-01-06,2025-12-30,1,76823,TORO,ARO NORTE CARTAGO,FELINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-06,2025-12-30,1,76823,TORO,ARO NORTE CARTAGO,OTRO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-06,2025-12-31,1,76248,EL CERRITO,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-06,2026-01-02,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1
2026,2026-01-06,2026-01-02,1,76869,VIJES,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-06,2026-01-03,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,NO OBSERVABLE,2
2026,2026-01-07,2025-12-08,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,2
2026,2026-01-07,2025-12-13,1,76248,EL CERRITO,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-07,2025-12-14,1,76248,EL CERRITO,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-07,2025-12-15,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-07,2025-12-20,1,76248,EL CERRITO,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,NO OBSERVABLE,2
2026,2026-01-07,2025-12-22,1,76248,EL CERRITO,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-07,2025-12-23,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-07,2025-12-23,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,OBSERVADO SANO,1
2026,2026-01-07,2025-12-24,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,2
2026,2026-01-07,2025-12-25,1,76122,CAICEDONIA,ARO CENTRO TULUA,CANINO,2 VISITAS,2 VISITAS,SIN CLASIFICAR,1
2026,2026-01-07,2025-12-25,1,76248,EL CERRITO,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-07,2025-12-26,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVADO,1
2026,2026-01-07,2025-12-26,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,OBSERVADO SANO,1
2026,2026-01-07,2025-12-27,1,76122,CAICEDONIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-07,2025-12-27,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,2 VISITAS,2 VISITAS,OBSERVADO SANO,1
2026,2026-01-07,2025-12-28,1,76248,EL CERRITO,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-07,2025-12-28,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,OBSERVADO SANO,1
2026,2026-01-07,2025-12-29,1,76122,CAICEDONIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,2
2026,2026-01-07,2025-12-29,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVADO,1
2026,2026-01-07,2025-12-30,1,76122,CAICEDONIA,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-07,2025-12-30,1,76622,ROLDANILLO,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-07,2025-12-31,1,76403,LA VICTORIA,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,OBSERVADO SANO,1
2026,2026-01-07,2026-01-01,1,76845,ULLOA,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVADO,1
2026,2026-01-07,2026-01-03,1,76403,LA VICTORIA,ARO NORTE CARTAGO,CANINO,2 VISITAS,2 VISITAS,OBSERVADO SANO,1
2026,2026-01-07,2026-01-03,1,76845,ULLOA,ARO NORTE CARTAGO,CANINO,2 VISITAS,2 VISITAS,OBSERVADO SANO,1
2026,2026-01-07,2026-01-05,1,76403,LA VICTORIA,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-07,2026-01-06,1,76400,LA UNION,ARO NORTE CARTAGO,CANINO,3 O MÁS VISITAS,CUMPLE,NO OBSERVABLE,1
2026,2026-01-08,,1,76233,DAGUA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-08,2025-11-04,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-08,2025-12-04,1,76233,DAGUA,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2026-01-08,2025-12-04,1,76233,DAGUA,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-08,2025-12-04,1,76616,RIOFRIO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-08,2025-12-04,1,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,SIN CLASIFICAR,1
2026,2026-01-08,2025-12-06,1,76233,DAGUA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-08,2025-12-06,1,76828,TRUJILLO,ARO CENTRO TULUA,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-08,2025-12-08,1,76233,DAGUA,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2026-01-08,2025-12-08,1,76243,EL AGUILA,ARO NORTE CARTAGO,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-08,2025-12-09,1,76233,DAGUA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2026-01-08,2025-12-09,1,76233,DAGUA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,PERDIDO O DESAPARECIDO,1
2026,2026-01-08,2025-12-10,1,76233,DAGUA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-08,2025-12-10,1,76233,DAGUA,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,CON SIGNOS REPORTADOS,1
2026,2026-01-08,2025-12-10,1,76248,EL CERRITO,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-08,2025-12-13,1,76233,DAGUA,ARO SUR CALI,CANINO,2 VISITAS,2 VISITAS,CON SIGNOS REPORTADOS,1
2026,2026-01-08,2025-12-15,1,76233,DAGUA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,OBSERVADO SANO,1
2026,2026-01-08,2025-12-15,1,76248,EL CERRITO,ARO SUR CALI,FELINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-08,2025-12-16,1,76233,DAGUA,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
2026,2026-01-08,2025-12-20,1,76248,EL CERRITO,ARO SUR CALI,CANINO,1 VISITA,1 VISITA,NO OBSERVABLE,1
