PERIODO_NORMALIZADO,PERIODO_ORDEN,MUNICIPIO_NORMALIZADO,ARO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
Enero - Marzo,1,BUGALAGRANDE,TULUA,2026,4,1,4,17.0,20.0,-3.0,0.0,3.0,1.1764705882352942,1.0,Supera meta
Enero - Marzo,1,CAICEDONIA,TULUA,2026,6,1,6,37.0,34.0,3.0,3.0,0.0,0.918918918918919,0.918918918918919,Cumplido
Enero - Marzo,1,CALIMA,TULUA,2026,7,1,7,50.0,35.0,15.0,16.0,1.0,0.7,0.7,Medio
Enero - Marzo,1,DAGUA,CALI,2026,11,3,5,143.0,101.0,42.0,50.0,8.0,0.7062937062937062,0.7062937062937062,Medio
Enero - Marzo,1,EL AGUILA,CARTAGO,2026,8,2,5,35.0,25.0,10.0,10.0,0.0,0.7142857142857143,0.7142857142857143,Medio
Enero - Marzo,1,EL CAIRO,CARTAGO,2026,9,2,6,26.0,18.0,8.0,8.0,0.0,0.6923076923076923,0.6923076923076923,Medio
Enero - Marzo,1,EL CERRITO,CALI,2026,6,2,5,35.0,17.0,18.0,20.0,2.0,0.4857142857142857,0.4857142857142857,Bajo
Enero - Marzo,1,EL DOVIO,CARTAGO,2026,9,2,9,31.0,27.0,4.0,6.0,2.0,0.8709677419354839,0.8709677419354839,Cumplido
Enero - Marzo,1,FLORIDA,CALI,2026,6,1,6,17.0,7.0,10.0,11.0,1.0,0.4117647058823529,0.4117647058823529,Bajo
Enero - Marzo,1,FLORIDA-PRADERA,CALI,2026,1,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Marzo,1,GINEBRA,CALI,2026,5,2,5,44.0,6.0,38.0,39.0,1.0,0.13636363636363635,0.13636363636363635,Crítico
