PERIODO_NORMALIZADO,PERIODO_ORDEN,ACTIVIDADES,CODIGO,CODIGO_ACTIVIDAD,ARO,TIPO,ANIO,REGISTROS,RESPONSABLES,CODIGOS_DISTINTOS,PROGRAMADO,EJECUTADO_RASEM,PENDIENTE_CALCULADO,PENDIENTE_VISUAL,EXCEDENTE,CUMPLIMIENTO_CALCULADO,CUMPLIMIENTO_VISUAL,ESTADO_CUMPLIMIENTO
Enero - Junio,2,Actividades Administrativas,12.8,12.8,CALI,PLANTA,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Actividades Administrativas,12.8,12.8,CARTAGO,PLANTA,2026,2,2,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Actividades Administrativas,12.8,12.8,TULUA,PLANTA,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,OTROS,1.11,1.11,CARTAGO,PLANTA,2026,1,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,OTROS,2.5,2.5,CARTAGO,PLANTA,2026,4,1,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,2.5,2.5,TULUA,PLANTA,2026,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,AP,AP,TULUA,PLANTA,2026,1,1,1,15.0,7.0,8.0,8.0,0.0,0.4666666666666667,0.4666666666666667,Bajo
Enero - Junio,2,OTROS,CONTIENGENCIA,CONTIENGENCIA,CARTAGO,PLANTA,2026,1,1,1,325.0,150.0,175.0,175.0,0.0,0.46153846153846156,0.46153846153846156,Bajo
Enero - Junio,2,OTROS,ENTORNOS,ENTORNOS,CALI,CONTRATISTA,2026,4,4,1,12.0,0.0,12.0,12.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,ENTORNOS,ENTORNOS,CARTAGO,CONTRATISTA,2026,2,2,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Junio,2,OTROS,ENTORNOS,ENTORNOS,TULUA,CONTRATISTA,2026,3,3,1,9.0,2.0,7.0,7.0,0.0,0.2222222222222222,0.2222222222222222,Crítico
Enero - Junio,2,OTROS,FILTROS,FILTROS,CALI,CONTRATISTA,2026,4,4,1,8.0,0.0,8.0,8.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,FILTROS,FILTROS,CALI,PLANTA,2026,1,1,1,8.0,0.0,8.0,8.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,FILTROS,FILTROS,CARTAGO,CONTRATISTA,2026,2,2,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,FILTROS,FILTROS,CARTAGO,PLANTA,2026,1,1,1,8.0,0.0,8.0,8.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,FILTROS,FILTROS,TULUA,CONTRATISTA,2026,3,3,1,10.0,4.0,6.0,6.0,0.0,0.4,0.4,Bajo
Enero - Junio,2,OTROS,MEDIDASSANITARIAS,MEDIDASSANITARIAS,CALI,PLANTA,2026,1,1,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,MEDIDASSANITARIAS,MEDIDASSANITARIAS,CARTAGO,PLANTA,2026,2,2,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,MEDIDASSANITARIAS,MEDIDASSANITARIAS,TULUA,PLANTA,2026,1,1,1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,MESASTECNICAS,MESASTECNICAS,CALI,CONTRATISTA,2026,4,4,1,16.0,2.0,14.0,14.0,0.0,0.125,0.125,Crítico
Enero - Junio,2,OTROS,MESASTECNICAS,MESASTECNICAS,CARTAGO,CONTRATISTA,2026,2,2,1,8.0,4.0,4.0,4.0,0.0,0.5,0.5,Bajo
Enero - Junio,2,OTROS,MESASTECNICAS,MESASTECNICAS,TULUA,CONTRATISTA,2026,3,3,1,14.0,2.0,12.0,12.0,0.0,0.14285714285714285,0.14285714285714285,Crítico
Enero - Junio,2,OTROS,MESASTECNICAS,MESASTECNICAS,TULUA,PLANTA,2026,1,1,1,12.0,0.0,12.0,12.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,MST,MST,CALI,PLANTA,2026,1,1,1,4.0,0.0,4.0,4.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,MST,MST,CARTAGO,PLANTA,2026,2,2,1,8.0,5.0,3.0,3.0,0.0,0.625,0.625,Medio
Enero - Junio,2,OTROS,OLIMPIADAS,OLIMPIADAS,CALI,CONTRATISTA,2026,4,4,1,4.0,4.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,OTROS,OLIMPIADAS,OLIMPIADAS,CARTAGO,CONTRATISTA,2026,2,2,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,OTROS,OLIMPIADAS,OLIMPIADAS,TULUA,CONTRATISTA,2026,3,3,1,3.0,3.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,OTROS,PQRS,PQRS,CALI,CONTRATISTA,2026,4,4,1,16.0,3.0,13.0,13.0,0.0,0.1875,0.1875,Crítico
Enero - Junio,2,OTROS,PQRS,PQRS,CALI,PLANTA,2026,2,1,1,16.0,0.0,16.0,16.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,PQRS,PQRS,CARTAGO,CONTRATISTA,2026,2,2,1,8.0,27.0,-19.0,0.0,19.0,3.375,1.0,Supera meta
Enero - Junio,2,OTROS,PQRS,PQRS,CARTAGO,PLANTA,2026,2,2,1,20.0,5.0,15.0,15.0,0.0,0.25,0.25,Crítico
Enero - Junio,2,OTROS,PQRS,PQRS,TULUA,CONTRATISTA,2026,3,3,1,14.0,12.0,2.0,2.0,0.0,0.8571428571428571,0.8571428571428571,Cumplido
Enero - Junio,2,OTROS,PQRS,PQRS,TULUA,PLANTA,2026,1,1,1,13.0,11.0,2.0,2.0,0.0,0.8461538461538461,0.8461538461538461,Cumplido
Enero - Junio,2,OTROS,RT,RT,TULUA,PLANTA,2026,1,1,1,12.0,8.0,4.0,4.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Junio,2,OTROS,RUTAMUESTRASAGUACONSUMOHUMANO,RUTAMUESTRASAGUACONSUMOHUMANO,CALI,PLANTA,2026,1,1,1,11.0,0.0,11.0,11.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,OTROS,RUTAMUESTRASAGUACONSUMOHUMANO,RUTAMUESTRASAGUACONSUMOHUMANO,CARTAGO,PLANTA,2026,1,1,1,10.0,6.0,4.0,4.0,0.0,0.6,0.6,Bajo
Enero - Junio,2,OTROS,SUPERVISIÓNMUESTRAS,SUPERVISIÓNMUESTRAS,CARTAGO,PLANTA,2026,1,1,1,48.0,2.0,46.0,46.0,0.0,0.041666666666666664,0.041666666666666664,Crítico
Enero - Junio,2,OTROS,TRAMITES,TRAMITES,CARTAGO,PLANTA,2026,1,1,1,10.0,4.0,6.0,6.0,0.0,0.4,0.4,Bajo
Enero - Junio,2,OTROS,VALIDACIÓNYAPROBACIONAPP,VALIDACIÓNYAPROBACIONAPP,TULUA,PLANTA,2026,1,1,1,26.0,16.0,10.0,10.0,0.0,0.6153846153846154,0.6153846153846154,Medio
Enero - Junio,2,Operativo,1.1,1.1,CALI,CONTRATISTA,2026,6,3,1,6.0,6.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,1.1,1.1,CALI,PLANTA,2026,1,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,1.1,1.1,CARTAGO,PLANTA,2026,2,2,1,12.0,11.0,1.0,2.0,1.0,0.9166666666666666,0.9166666666666666,Cumplido
Enero - Junio,2,Operativo,1.1,1.1,TULUA,CONTRATISTA,2026,11,3,1,11.0,11.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,1.1,1.1,TULUA,PLANTA,2026,1,1,1,2.0,2.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,1.10,1.10,CALI,CONTRATISTA,2026,7,4,1,112.0,92.0,20.0,20.0,0.0,0.8214285714285714,0.8214285714285714,Cumplido
Enero - Junio,2,Operativo,1.10,1.10,CALI,PLANTA,2026,3,1,1,11.0,5.0,6.0,8.0,2.0,0.45454545454545453,0.45454545454545453,Bajo
Enero - Junio,2,Operativo,1.10,1.10,CARTAGO,CONTRATISTA,2026,13,2,1,98.0,65.0,33.0,33.0,0.0,0.6632653061224489,0.6632653061224489,Medio
Enero - Junio,2,Operativo,1.10,1.10,CARTAGO,PLANTA,2026,8,1,1,22.0,10.0,12.0,12.0,0.0,0.45454545454545453,0.45454545454545453,Bajo
Enero - Junio,2,Operativo,1.10,1.10,TULUA,CONTRATISTA,2026,11,3,1,173.0,96.0,77.0,77.0,0.0,0.5549132947976878,0.5549132947976878,Bajo
Enero - Junio,2,Operativo,1.10,1.10,TULUA,PLANTA,2026,1,1,1,15.0,9.0,6.0,6.0,0.0,0.6,0.6,Bajo
Enero - Junio,2,Operativo,1.13,1.13,CALI,CONTRATISTA,2026,7,4,1,106.0,84.0,22.0,22.0,0.0,0.7924528301886793,0.7924528301886793,Medio
Enero - Junio,2,Operativo,1.13,1.13,CALI,PLANTA,2026,4,1,1,11.0,6.0,5.0,9.0,4.0,0.5454545454545454,0.5454545454545454,Bajo
Enero - Junio,2,Operativo,1.13,1.13,CARTAGO,CONTRATISTA,2026,13,2,1,98.0,66.0,32.0,32.0,0.0,0.673469387755102,0.673469387755102,Medio
Enero - Junio,2,Operativo,1.13,1.13,CARTAGO,PLANTA,2026,8,1,1,22.0,12.0,10.0,10.0,0.0,0.5454545454545454,0.5454545454545454,Bajo
Enero - Junio,2,Operativo,1.13,1.13,TULUA,CONTRATISTA,2026,10,3,1,171.0,104.0,67.0,67.0,0.0,0.6081871345029239,0.6081871345029239,Medio
Enero - Junio,2,Operativo,1.13,1.13,TULUA,PLANTA,2026,1,1,1,15.0,13.0,2.0,2.0,0.0,0.8666666666666667,0.8666666666666667,Cumplido
Enero - Junio,2,Operativo,1.17,1.17,CALI,PLANTA,2026,1,1,1,8.0,0.0,8.0,8.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,Operativo,1.17,1.17,CARTAGO,PLANTA,2026,2,2,1,16.0,0.0,16.0,16.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,Operativo,1.17,1.17,TULUA,PLANTA,2026,1,1,1,18.0,3.0,15.0,15.0,0.0,0.16666666666666666,0.16666666666666666,Crítico
Enero - Junio,2,Operativo,1.2,1.2,CALI,CONTRATISTA,2026,7,4,1,106.0,81.0,25.0,25.0,0.0,0.7641509433962265,0.7641509433962265,Medio
Enero - Junio,2,Operativo,1.2,1.2,CALI,PLANTA,2026,3,1,1,11.0,3.0,8.0,10.0,2.0,0.2727272727272727,0.2727272727272727,Crítico
Enero - Junio,2,Operativo,1.2,1.2,CARTAGO,CONTRATISTA,2026,13,2,1,98.0,66.0,32.0,32.0,0.0,0.673469387755102,0.673469387755102,Medio
Enero - Junio,2,Operativo,1.2,1.2,CARTAGO,PLANTA,2026,8,1,1,22.0,11.0,11.0,11.0,0.0,0.5,0.5,Bajo
Enero - Junio,2,Operativo,1.2,1.2,TULUA,CONTRATISTA,2026,10,3,1,171.0,103.0,68.0,68.0,0.0,0.6023391812865497,0.6023391812865497,Medio
Enero - Junio,2,Operativo,1.2,1.2,TULUA,PLANTA,2026,1,1,1,15.0,12.0,3.0,3.0,0.0,0.8,0.8,Medio
Enero - Junio,2,Operativo,1.3,1.3,CALI,CONTRATISTA,2026,4,4,1,24.0,10.0,14.0,14.0,0.0,0.4166666666666667,0.4166666666666667,Bajo
Enero - Junio,2,Operativo,1.3,1.3,CARTAGO,CONTRATISTA,2026,2,2,1,14.0,14.0,0.0,0.0,0.0,1.0,1.0,Cumplido
Enero - Junio,2,Operativo,1.3,1.3,CARTAGO,PLANTA,2026,1,1,1,6.0,4.0,2.0,2.0,0.0,0.6666666666666666,0.6666666666666666,Medio
Enero - Junio,2,Operativo,1.3,1.3,TULUA,CONTRATISTA,2026,3,3,1,23.0,24.0,-1.0,3.0,4.0,1.0434782608695652,1.0,Supera meta
Enero - Junio,2,Operativo,1.4,1.4,CALI,CONTRATISTA,2026,4,4,1,24.0,1.0,23.0,23.0,0.0,0.041666666666666664,0.041666666666666664,Crítico
Enero - Junio,2,Operativo,1.4,1.4,CARTAGO,CONTRATISTA,2026,2,2,1,14.0,3.0,11.0,11.0,0.0,0.21428571428571427,0.21428571428571427,Crítico
Enero - Junio,2,Operativo,1.4,1.4,CARTAGO,PLANTA,2026,1,1,1,6.0,3.0,3.0,3.0,0.0,0.5,0.5,Bajo
Enero - Junio,2,Operativo,1.4,1.4,TULUA,CONTRATISTA,2026,3,3,1,23.0,0.0,23.0,23.0,0.0,0.0,0.0,Crítico
Enero - Junio,2,Operativo,1.5,1.5,CALI,CONTRATISTA,2026,4,4,1,24.0,2.0,22.0,22.0,0.0,0.08333333333333333,0.08333333333333333,Crítico
