ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;ZONA_IRCA;DIRECCION_IRCA;NOMBRE_ABREVIADO_IRCA;TELEFONO_IRCA;ESTUDIANTES_ACTUAL;ESTUDIANTES_IRCAS;ESTUDIANTES_SEDESUESVALLE;ESTUDIANTES_MEN_REFERENCIA;FUENTE_MATRICULA_FINAL;ESTADO_COMPLEMENTO_MATRICULA;REQUIERE_VALIDACION_MATRICULA;CONECTADA_ACUEDUCTO;NOMBRE_ACUEDUCTO;IRCA_ORIGINAL;NIVEL_RIESGO_IRCA;CODIGO_SISA_ACUEDUCTO;TRATAMIENTO_EN_ESCUELA;FUENTE_ABASTO;CALIFICACION_BLOQUE_AGUA;CONCEPTO_SANITARIO;FECHA_VISITA;TIPO_CRUCE;ESTADO_CRUCE;ESTADO_GEORREFERENCIACION;OBSERVACION_CRUCE;ID_SEDESUESVALLE;INSTITUCION_INS;SEDE_INS;ESTADO_SEDE;NATURALEZA;JORNADA;NIVEL_EDUCATIVO;DIRECCION_MAPA;LONGITUD;LATITUD;LONGITUD_SEDESUESVALLE;LATITUD_SEDESUESVALLE;LONGITUD_MEN;LATITUD_MEN;FUENTE_COORDENADA;ESTADO_COORDENADA;BENEFICIARIOS_PAE_2025_1SI;TOTAL_GENERAL_INS;MEN_ANIO;MEN_ESTABLECIMIENTO;MEN_SEDE;MEN_ZONA;MEN_DIRECCION;MEN_METODO_CRUCE;MEN_SCORE_CRUCE;GRUPO_SEGUIMIENTO;RIESGO_IRCA_AGRUPADO;BRECHAS_INFORMACION;TIENE_BRECHA_INFORMACION;CALIDAD_DATO_SEDE;INDICE_PRIORIDAD_SANITARIA_ESCOLAR;NIVEL_PRIORIDAD_ANALITICA;ACCION_SUGERIDA;SCORE_PRIORIDAD;NIVEL_PRIORIDAD
427;;FLORIDA;HOGAR ICBF MIS KIKATOS;URBANO;CALLE 18A # 11  - 45;MIS KIKATOS;3117289706;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;3193;PLANTA ACUAVALLE S.A ESP;RÍO FRAYLE;19/30;FAVORABLE;2026-02-26;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.474;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;8.6;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
428;;FLORIDA;HOGAR ICBF MIS PRIMERAS  HUELLAS;URBANO;CALLE 7 # 7  - 63;MIS PRIMERAS  HUELLAS;3053052123;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;3193;PLANTA ACUAVALLE S.A ESP;RÍO FRAYLE;25/30;FAVORABLE;2026-02-26;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.468;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;8.6;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
430;;FLORIDA;HOGAR ICBF PICAPIEDRAS;URBANO;CALLE 7 # 7  - 19;PICAPIEDRAS;3104098507;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;3193;PLANTA ACUAVALLE S.A ESP;RÍO FRAYLE;19/30;FAVORABLE;2026-02-26;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.471;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;8.6;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
431;;FLORIDA;HOGAR ICBF LOS SALTARINES;URBANO;CARRERA 8 # 6  - 11;LOS SALTARINES;3122476357;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;3193;PLANTA ACUAVALLE S.A ESP;RÍO FRAYLE;19/30;FAVORABLE;2026-02-26;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.476;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;8.6;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
432;;FLORIDA;HOGAR ICBF EL OSO HORMIGUERO;URBANO;CALLE 11 # 1  - 100;EL OSO HORMIGUERO;3138198991;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;3193;PLANTA ACUAVALLE S.A ESP;RÍO FRAYLE;20/30;FAVORABLE;2026-02-26;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.455;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;8.6;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
433;;FLORIDA;HOGAR ICBF TRADICIONAL DANIELA;URBANO;CARRERA 24 # 11  - 21;DANIELA;3217996827;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;3193;PLANTA ACUAVALLE S.A ESP;RÍO FRAYLE;19/30;FAVORABLE;2026-02-26;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.467;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;8.6;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
434;;FLORIDA;HOGAR COMUNITARIO ICBF EL JORDANCITO;RURAL;TARRAGONA FRENTE AL TANQUE;EL JORDANCITO;3216579727;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;3193;PLANTA ACUAVALLE S.A ESP;RÍO FRAYLE;22/30;FAVORABLE;2026-02-26;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.44;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;8.6;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
435;;FLORIDA;HOGAR COMUNITARIO JARDIN DE MIS SUEÑOS;RURAL;CHOCOSITO 2 ENTRADA DEL HOSPITAL;JARDIN DE MIS SUEÑOS;3226817455;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;3193;PLANTA ACUAVALLE S.A ESP;RÍO FRAYLE;22/30;FAVORABLE;2026-02-26;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.469;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;8.6;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
436;;FLORIDA;HOGAR DEL ICBF EL PAJARO CARPINTERO;RURAL;CORREGIMIENTO REMOLINO;EL PAJARO CARPINTERO;3148485513;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;3193;PLANTA ACUAVALLE S.A ESP;RÍO FRAYLE;19/30;FAVORABLE;2026-02-26;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.421;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;8.6;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
437;;FLORIDA;HOGAR ICBF MIS PRIMEROS AÑITOS;URBANO;CALLE 8B # 35  - 63;MIS PRIMEROS AÑITOS;3137438929;0;0;0;0;SIN_FUENTE;SIN_DATO_MATRICULA;SI;SI;ACUAVALLE S.A ESP;SIN RIESGO;SIN RIESGO;3193;PLANTA ACUAVALLE S.A ESP;RÍO FRAYLE;23/30;FAVORABLE;2026-02-26;SIN_COINCIDENCIA;PENDIENTE;SIN_COORDENADAS;;;;;;;;;;;;;;;;SIN_COORDENADA;SIN_COORDENADA;0;0;;;;;;SIN_COINCIDENCIA_FUERTE;0.467;RUTINARIO;Sin riesgo y bajo;"SIN_MATRICULA_VALIDADA; SIN_COORDENADA; CRUCE_PENDIENTE";SI;BAJA;8.6;BAJA;Priorizar georreferenciación de la sede educativa.;0.0;BAJA
