ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;FECHA_VISITA;VALIDACION
964;276275000430;FLORIDA;I.E. IDEBIC SEDE SAN ISIDRO;;FECHA VACÍA O NO INTERPRETABLE
965;276275000464;FLORIDA;I.E. IDEBIC SEDE CAROLA BUENO DE BUENO;;FECHA VACÍA O NO INTERPRETABLE
966;276275000448;FLORIDA;I.E. IDEBIC SEDE SAN MARTIN DE PORRES;;FECHA VACÍA O NO INTERPRETABLE
967;276275001169;FLORIDA;I.E. IDEBIC SEDE LA PRIMAVERA;;FECHA VACÍA O NO INTERPRETABLE
968;276275000961;FLORIDA;I.E. IDEBIC SEDE CARLOS HOLMES TRUJILLO;;FECHA VACÍA O NO INTERPRETABLE
969;276275000031;FLORIDA;I.E. IDEBIC SEDE MARCO FIDEL SUAREZ;;FECHA VACÍA O NO INTERPRETABLE
970;276275001673;FLORIDA;I.E. IDEBIC SEDE BASILIO LABIO;;FECHA VACÍA O NO INTERPRETABLE
971;276275001461;FLORIDA;I.E. IDEBIC SEDE PRINCIPAL KWE`SX NASA KSXA' WNXI;;FECHA VACÍA O NO INTERPRETABLE
972;276377000183;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE SANTA CECILIA;;FECHA VACÍA O NO INTERPRETABLE
973;276377000086;LA CUMBRE;I.E. MARIA AUXILIADORA SEDE MARIA AUXILIADORA;;FECHA VACÍA O NO INTERPRETABLE
974;276377000400;LA CUMBRE;I.E. FRANCISCO DE PAULA SANTANDER SEDE CAMILO TORRES;;FECHA VACÍA O NO INTERPRETABLE
975;276377000035;LA CUMBRE;I.E. MARIA AUXILIADORA SEDE RAFAEL NUÑEZ;;FECHA VACÍA O NO INTERPRETABLE
976;276563000720;PRADERA;I.E. MERCEDES ABREGO SEDE SAN JULIAN;;FECHA VACÍA O NO INTERPRETABLE
977;276563000495;PRADERA;I.E. MERCEDES ABREGO SEDE MANUEL JOSE RAMIREZ;;FECHA VACÍA O NO INTERPRETABLE
