ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;CANDIDATOS_POR_CODIGO;CANDIDATOS_POR_NOMBRE;TIPO_CRUCE;ESTADO_CRUCE;ESTADO_GEORREFERENCIACION;OBSERVACION
721;276622000186;ROLDANILLO;I.E BELISARIO PEÑA PIÑEIRO SEDE SANTA LUCIA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
722;276622000461;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO SEDE GABRIELA MISTRAL;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
723;276622000275;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO  SEDE SIMON BOLIVAR;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
724;276622000470;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE SAN JOSE;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
725;276622000453;ROLDANILLO;I.E BELISARIO PEÑA PIÑEIRO SEDE SANTA ANA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
726;276622000232;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE MARIA AUXILIADORA;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
727;276622000500;ROLDANILLO;I.E BELISARIO PEÑA PIÑEIRO SEDE GERARDO BUENO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
728;276622000208;ROLDANILLO;I.E SANTA ROSALIA DE PALERMO SEDE ANTONIA SANTOS;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
729;276622000321;ROLDANILLO;I.E BELISARIO PEÑA PIÑEIRO SEDE SAN ISIDRO;1;1;COD_DANE_UNICO;CRUCE_OK;GEORREFERENCIADA;
730;;ROLDANILLO;I.E RODRIGO LLOREDA CAICEDO-SEDE FRANCISCO JOSE DE CALDAS;0;1;MUNICIPIO+NOMBRE_EXACTO;CRUCE_RECUPERADO;SIN_COORDENADAS;
