CODIGO_SISA_ACUEDUCTO;NOMBRE_ACUEDUCTO;MUNICIPIOS;SEDES_TOTAL;ESTUDIANTES_TOTAL;SEDES_ALTO_INVIABLE;ESTUDIANTES_ALTO_INVIABLE;SEDES_CON_BRECHA;PRIORIDAD_MAXIMA;PRIORIDAD_PROMEDIO
300;ACUEDUCTO RURAL VEREDA LA PLATA Y EL PLACER;ULLOA;1;4;1;4;0;53.42;53.42
3034;ASOCIACION DE USUARIOS DEL ACUEDUCTO AGUA DE DIOS VEREDA EL AGRADO;RESTREPO;1;4;1;4;0;67.17;67.17
3402;ASOCIACION JUNTA ADMINISTRADORA ACUEDUCTO VEREDA SAN JOSE;CALIMA;1;4;1;4;0;53.42;53.42
3460;ACUEDUCTO EL CASTILLO;ANSERMANUEVO;1;4;1;4;0;53.42;53.42
6507;ACUEDUCTO RURAL ACUAMIRAVALLE;RIOFRIO;1;4;1;4;0;53.42;53.42
65514;JUNTA DE ACUEDUCTO LA GUAIRA;CALIMA;1;4;1;4;0;67.17;67.17
78;COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #1);ALCALA;1;4;1;4;0;53.42;53.42
9783;JUNTA ADMINISTRADORA ACUEDUCTO DE PALERMO;TRUJILLO;1;4;1;4;0;53.42;53.42
SIN CODIGO SISA;ACUEDUCTO CIELO ROTO;BUGALAGRANDE;1;4;1;4;0;48.02;48.02
23798;ACUEDUCTO VEREDA EL BOSQUE;RIOFRIO;1;3;1;3;0;70.76;70.76
344;JUNTA DE ACCIÓN COMUNAL LA ESMERALDA;DAGUA;1;3;1;3;0;57.01;57.01
13337;ACUEDUCTO DOS QUEBRADAS EL RUBI ALTO;RIOFRIO;1;2;1;2;0;52.03;52.03
1384;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO LA RIVERA MUNICIPIO DE VIJES;VIJES;1;2;1;2;0;52.03;52.03
7526;ASOCIACION DE USUARIOS ACUEDUCTO BUENOS AIRES - AJABA;YOTOCO;1;2;1;2;0;52.03;52.03
1278;ACUEDUCTO RURAL CALAMAR;VERSALLES;1;1;1;1;0;61.08;61.08
1016;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO DE MARACAIBO;ARGELIA;1;26;0;0;0;16.75;16.75
10170;ASOCIACION COMUNITARIA DE USUARIOS DEL ACUEDUCTO DE LA VEREDA CULEBRAS ACUACULEBRAS;TRUJILLO;1;14;0;0;0;37.15;37.15
1027;ADMINISTRACIÓN COOPERATIVA SAN ROQUE SISTEMA #1- LA SOLEDAD LA PAZ - LA PRIMAVERA - TARRITOS;ARGELIA;3;26;0;0;0;14.76;13.62
1029;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO LA CRISTALINA;ARGELIA;1;6;0;0;0;13.08;13.08
105;JUNTA DEL ACUEDUCTO VEREDA ARBOLEDAS;LA CUMBRE;1;31;0;0;0;39.21;39.21
107;ACAAPAVAS;LA CUMBRE;1;610;0;0;0;21.61;21.61
108;PARRAGA;LA CUMBRE;1;16;0;0;0;11.89;11.89
110;ADMINISTRACION COOPERATIVA LA CUMBRE DAGUA E.S.P.;DAGUA;2;17;0;0;0;10.71;10.28
110;ADMINISTRACIÓN COOPERATIVA LA CUMBRE DAGUA;LA CUMBRE;3;43;0;0;0;13.15;11.19
110203;ACUEDUCTO RURAL PUERTO SAMARIA;OBANDO;1;16;0;0;1;36.39;36.39
11052;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA SAN GERARDO DE CAICEDONIA;CAICEDONIA;1;8;0;0;0;13.76;13.76
111;AUNITAMBO;FLORIDA;2;19;0;0;0;19.35;18.1
1114;ACUEDUCTO RURAL LA GAVIOTA BAJA - ACUAGAVIOTA;CALIMA;2;22;0;0;0;15.49;14.28
112;ACUALIBANO;FLORIDA, PRADERA;2;78;0;0;0;19.37;16.57
1124;ASOCIACION DE USUARIOS DEL ACUEDUCTO MONTERREDONDO ESP;SAN PEDRO;1;12;0;0;0;23.01;23.01
1125;ACUEDUCTO LA REFORMA VEREDA LA AGUADA;BOLIVAR;1;9;0;0;1;38.05;38.05
117;ASCORDI;FLORIDA;2;51;0;0;0;44.08;42.41
119;ACUAVALLE S.A ESP;PRADERA;1;23;0;0;0;28.88;28.88
120854;ASOCIACION DE SUSCRIPTORES PAVITAS;LA CUMBRE;2;140;0;0;0;20.73;18.63
122;ACUASALUD BOLIVAR;PRADERA;1;5;0;0;0;12.66;12.66
125;AGUASALUD POTRERITO;PRADERA;1;24;0;0;0;16.54;16.54
12526;LA VENTURA;LA CUMBRE;1;130;0;0;0;21.03;21.03
1262;ACUEDUCTO RURAL LOS ZAINOS;EL DOVIO;1;6;0;0;0;13.08;13.08
1265;CDC ACUEDUCTO CALAMAR DIAMANTE CRISTALINA;VERSALLES;1;7;0;0;0;13.44;13.44
12770;ACUEDUCTO RURAL LA SIBERIA-ALTO CIELO-BUENOS AIRES;EL CAIRO;3;19;0;0;3;34.66;32.73
1291;ACUAVALLE S.A ESP;ANDALUCÍA, BUGALAGRANDE;13;709;0;0;2;22.33;18.59
13077;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE PUEBLO NUEVO Y CABILDO NIAZA - ACUANIPU;RESTREPO;1;29;0;0;1;19.03;19.03
13535;JUNTA ADMINISTRADORA ACUEDUCTO DE TOTORO ACUATOTORO;SEVILLA;1;43;0;0;0;18.07;18.07
1375;ASCABI;LA CUMBRE;1;114;0;0;0;17.08;17.08
1378;ACUEDUCTO SANTA FÉ;LA CUMBRE;1;7;0;0;0;13.44;13.44
1385;JUNTA ADMINISTRADORA COMUNITARIA DEL ACUEDUCTO LA JACA # 11 DEL CORREGIMIENTO EL TAMBOR;VIJES;1;31;0;0;0;43.41;43.41
1390;RECAHON;EL CERRITO;2;49;0;0;0;17.6;16.28
1391;ACUAPUERO;GUACARÍ;2;129;0;0;0;25.08;21.18
1393;ACOPLA;GUACARÍ;1;6;0;0;0;13.08;13.08
1397;ASOUAT;EL CERRITO;2;857;0;0;0;25.65;23.44
1398;ASOCIACIÓN DE USUARIOS DEL SERVICIO DEL ACUEDUCTO EL TRAPICHE - LA YOLOMBA;DAGUA;1;7;0;0;0;17.64;17.64
1399;ASOCIACIÓN JUNTA ADMINISTRADORA DE ACUEDUCTO CORREGIMIENTO DE ZABALETAS;DAGUA;1;145;0;0;0;25.53;25.53
1401;ASOCIACION ABASTO DE AGUA MARIA -PIÑAL- MUNICIPIO DE LA CUMBRE Y DAGUA VALLE DEL CAUCA -CORABASE;DAGUA;2;78;0;0;0;15.57;13.46
146;ASOCIACIÓN DE USUARIOS DE ACUEDUCTO Y SERVICIOS BÁSICOS DE LA VEREDA PUEBLO NUEVO CORREGIMIENTO BORRERO AYERBE DEL MUNICIPIO DE DAGUA VALLE - A.U.A.S.B;DAGUA;1;39;0;0;0;14.21;14.21
146;EMPRESA COMUNITARIA ACUEDUCTO RURAL EL PALMAR - ECOAREPAL - LA VIRGEN;DAGUA;1;111;0;0;0;17.01;17.01
14773;ASOCIACION DE USUARIOSA DEL ACUEDUCTO DE LA VEREDA BUENOS AIRES AGUAVIVA;SEVILLA;1;22;0;0;0;16.31;16.31
148;ADMINISTRACION COOPERATIVA LA CUMBRE DAGUA E.S.P.;DAGUA;1;26;0;0;0;13.15;13.15
148;EMPRESA COMUNITARIA ACUEDUCTO RURAL EL PALMAR - ECOAREPAL - LA VIRGEN;DAGUA;1;617;0;0;0;21.64;21.64
155;ACUALLANITOS S.A E.S.P;CALIMA;1;11;0;0;0;14.54;14.54
157;ACUAVALLE S.A ESP;RESTREPO;1;10;0;0;0;14.31;14.31
159;ACUEDUCTO ACUASALUD VALLEJUELO;ZARZAL;2;325;0;0;1;23.51;16.06
15988;JAC ARENILLO;PRADERA;1;8;0;0;0;10.16;10.16
1611;ASUACHIJAPOR - CHICORAL ALTO;BUGALAGRANDE;1;19;0;0;0;15.93;15.93
1633;ACUALLANITO;FLORIDA;4;158;0;0;2;24.03;20.15
164;ACUEDUCTO ASEPAILA;ZARZAL;2;541;0;0;0;23.53;22.95
166;ACUAVALLE S.A ESP;BOLIVAR;4;155;0;0;2;19.48;17.36
1665;ACUAVALLE S.A ESP;BOLIVAR;1;9;0;0;1;16.05;16.05
1669;ASOCIACIÓN DE USUARIOS DEL DISTRITO DE RIEGO SAN ISIDRO-CAJAMARCA;ROLDANILLO;3;494;0;0;0;46.33;41.01
167;ACUAVALLE S.A ESP;ZARZAL;14;2758;0;0;6;27.3;21.38
169;COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #4) FIME LA CAÑA;ALCALA;1;8;0;0;0;13.76;13.76
171;COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #2);ALCALA;1;6;0;0;0;35.08;35.08
173;JUNTA ADMINISTRADORA ACUEDUCTO RIVERA-LA TESALIA;CAICEDONIA;1;9;0;0;0;22.3;22.3
177;COOPERATIVA MARAVELEZ  ALCALA SISTEM # 8;ALCALA;2;47;0;0;0;17.88;15.66
17834;JUNTA ADMINISTRADORA ACUEDUCTO LA GUAIRA LA CUMBRE;LA CUMBRE;1;6;0;0;0;13.08;13.08
184;"ASOCIACION DE USUARIOS ACUEDUCTO DE ROBLEDO ""ASUACOR""";TRUJILLO;1;81;0;0;0;19.76;19.76
188;EMCALIMA S.A ESP;CALIMA;5;1359;0;0;0;25.24;22.24
190;ACUAVALLE S.A ESP;RESTREPO;4;1969;0;0;0;26.42;22.96
191;ACUAVALLE S.A ESP;YOTOCO;4;1240;0;0;0;24.47;23.21
1911;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA BUENOS AIRES;OBANDO;1;7;0;0;0;13.44;13.44
193;ASOMEDIACANOA;YOTOCO;1;253;0;0;0;31.08;31.08
194;ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DEL CORREGIMIENTO LOS CHANCOS;SAN PEDRO;1;18;0;0;0;15.79;15.79
195;ASOCIACION DE USUARIOS ACUDUCTO QUEBRADA NUEVA - ACUANUEVA;SEVILLA, ZARZAL;2;130;0;0;1;20.31;20.07
1952;ASOCIACIÓN COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO ACUASALUD EL BALSAL;VERSALLES;2;118;0;0;0;19.25;18.89
1971;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA LA CABAÑA AGUAS LA ESPERANZA;EL DOVIO;1;9;0;0;0;14.05;14.05
198;JUNTA ADMINISTRADORA DEL ACUEDUCTO ESTACION CAICEDONIA;SEVILLA;1;13;0;0;0;14.96;14.96
19800;ACUEDUCTO REAL BRILLANTE / ASOREAL BRILLANTE;ANSERMANUEVO;1;6;0;0;1;33.98;33.98
1998;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO SANTA CLARA - ASUMO;ROLDANILLO;1;1;0;0;0;28.08;28.08
200;ASOCIACION DE USUARIOS DE ABASTO CORREGIMIENTO CERRO AZUL Y LAS VEREDAS SIRIA Y LA SOLEDAD;BOLIVAR;2;116;0;0;2;22.66;18.11
211;ACUVALLE S.A E.S.P;RIOFRIO;3;440;0;0;1;25.44;20.33
212;ACUAVALLE S.A ESP;SAN PEDRO;11;1392;0;0;1;22.64;19.73
212;ACUVALLE S.A E.S.P;RIOFRIO;1;248;0;0;0;22.78;22.78
2144;ACUASAMARIA;CAICEDONIA;1;142;0;0;0;43.27;43.27
2148;ASOCIACION DE USUARIOS ACUEDUCTO LA SUIZA;CAICEDONIA;1;8;0;0;0;35.76;35.76
2152;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE SAN ANTONIO;BUGALAGRANDE;1;8;0;0;0;35.76;35.76
2161;ACUEDUCTO CUMUNITARIO SALAZAR;ANSERMANUEVO;1;162;0;0;0;43.63;43.63
2167;ASOCIACION DE USUARIOS JUNTA ADMINISTRADORA ACUEDUCTO VEREDA SAN ANTONIO;SEVILLA;2;129;0;0;1;42.77;42.12
2168;ASOCIACION DE USUARIOS ACUEDCUTO DE NARANJAL;BOLIVAR;4;223;0;0;2;44.63;38.58
2170;ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA  ASOAHER;BOLIVAR;1;13;0;0;0;14.96;14.96
220;ACUVALLE S.A E.S.P;TRUJILLO;6;1816;0;0;5;26.77;24.56
234;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE EL GUAYABO;BUGALAGRANDE;1;8;0;0;0;13.76;13.76
235;"ASOCIACION DEL SERVICIO COMUNITARIO DEL AGUA VEREDA PUNTA LARGA - ACUASALUD ""PUNTA LARGA""";BOLIVAR;1;7;0;0;0;39.64;39.64
2563;COOPERATIVA MARAVELEZ ALCALA ESP - SISTEMA # 6;ALCALA;1;5;0;0;0;12.66;12.66
258;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE PRIMAVERA;BOLIVAR;4;201;0;0;2;45.15;22.78
260;ACUEDUCTO CORPOSANISIDRO;BOLIVAR;1;9;0;0;0;14.05;14.05
2613;ASOCIACION DE USUARIOS VEREDA EL COFRE Y SAN JOSE - COLECTIVO COSTA;EL AGUILA;2;65;0;0;0;18.91;16.0
2616;JUNTA DE ACUEDUCTO LA JUDEA;EL AGUILA;1;8;0;0;0;13.76;13.76
264;ACUEDUCTO AGUAVITAL COROZAL;SEVILLA;1;107;0;0;0;20.51;20.51
2749;ASOCIACION DE USUARIOS DEL ACUEDUCTO EL DIAMANTE - LA ZULIA;RIOFRIO;2;90;0;0;2;20.58;20.16
2786;JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES;RIOFRIO;1;9;0;0;0;14.05;14.05
2789;ASOCIACION DE USUARIOS AL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO HUASANO;TRUJILLO;1;47;0;0;0;18.31;18.31
2848;ASOJACONUF ASOCIACIÓN JUNTA ADMINISTRADORA DE ACUEDUCTO COMUNITARIO NUESTRA FUENTE;VIJES;1;52;0;0;0;40.58;40.58
2849;ASOCIACION DE USUARIOS DE ACUEDUCTO DE LA VEREDA TOCOTA -  ASOTOCOTA;DAGUA;2;137;0;0;0;17.06;15.0
2863;EMPRESA COMUNITARIA ACUEDUCTO RURAL COLECTIVO LAS BRISAS - ECOABRISAS;DAGUA;1;4;0;0;0;30.57;30.57
2870;ASOCIACION DE USUARIOS DE ACUEDUCTO VEREDA LAS DELICIAS - ASAD ESP - PARTE BAJA;DAGUA;1;8;0;0;0;13.76;13.76
2873;ASOCIACIÓN JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL DE MIRAVALLES- ACUAMIR;LA VICTORIA;1;19;0;0;0;37.93;37.93
2875;FLAUTAS AGUAS E.S.P. S.A.;GINEBRA;1;6;0;0;0;17.28;17.28
2877;ASOCIACIÓN DE USUARIOS ACUEDUCTO RURAL COMUNITARIO COCUYOS;GINEBRA;1;20;0;0;0;42.26;42.26
2878;ACUEDUCTO RURAL VEREDA RIVERALTA;LA VICTORIA;1;10;0;0;0;14.31;14.31
2879;ACUEDUCTO RURAL VEREDA LA SIBERIA;LA VICTORIA;1;0;0;0;1;30.6;30.6
2884;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO DE LA VEREDA LA CASCADA;GINEBRA;1;0;0;0;1;8.6;8.6
2888;ASOCIACIÓN DE USUARIOS DEL SERVICIO DE AGUA POTABLE DE LA VEREDA PUEBLO NUEVO MUNICIPIO DE VIJES Y CABILDO INDÍGENA NIAZA DEL MUNICIPIO DE RESTREPO ACUANIPU;VIJES;1;9;0;0;0;14.05;14.05
2892;ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO TAGUALES;LA VICTORIA;1;12;0;0;0;14.76;14.76
2896;ASOCIACIÓN DE USUARIOS DE ACUEDUCTO PEÑALEGRIA KM 26 - ASUAPAL;DAGUA;1;34;0;0;0;13.85;13.85
2899;ASOCIACION DE SUSCRITORES DEL SERVICIO DE AGUA EL VERGEL - AUVA ESP;DAGUA;1;51;0;0;0;14.93;14.93
3039;ACUATAPIAS;GUACARÍ;5;263;0;0;0;47.25;43.09
3041;ACUAPORO;EL CERRITO;1;12;0;0;0;14.76;14.76
3042;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y/O ALCANTARILLADO Y/O ASEO DEL CORREGIMIENTO DE COSTA RICA - MUNICIPIO DE GINEBRA - ASUALCAN;GINEBRA;3;511;0;0;0;18.97;18.06
3171;ASOCIACIÓN COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO LA VEREDA LA SOLEDAD;ROLDANILLO;1;8;0;0;1;37.76;37.76
3193;ACUAVALLE S.A ESP;FLORIDA;64;5033;0;0;44;23.1;12.7
3271;ASOCIACION DE USUARIOS ACUEDUCTO RURAL EL DELIRIO - ASUACURDEL;YOTOCO;1;14;0;0;0;15.15;15.15
3273;ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO DE SAN JUAN ESP;YOTOCO;1;193;0;0;0;44.1;44.1
3277;"ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LAS VEREDAS LAS BRISAS BAJO SAN MARCOS Y LA MILONGA ""ASUABRISAS""";SEVILLA;1;14;0;0;0;37.15;37.15
3278;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LAS VEREDAS MIRAMAR Y LA MELVA (AGUAMIRAMELVA);SEVILLA;1;43;0;0;0;40.07;40.07
3281;ASOCIACION DE USUARIOS ACUEDUCTO DE LA VDA MILONGA;SEVILLA;1;18;0;0;0;37.79;37.79
3286;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE ANDINAPOLIS - ARCA;TRUJILLO;2;518;0;0;1;26.16;23.3
330;ACUAVALLE S.A ESP;LA UNION;10;3087;0;0;0;24.2;19.32
3304;ASOCIACION DE USUARIOS DEL SISTEMA DE SUMINISTRO DE AGUA RURAL COMUNITARIA DEL CORREGIMIENTO SAN SALVADOR Y VEREDA EL SILENCIO;RESTREPO;1;16;0;0;0;37.49;37.49
331;ACUAVALLE S.A ESP;LA VICTORIA;11;1368;0;0;0;25.1;18.62
3314;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL DE LA VEREDA LAS MELENAS ACUAMELENAS;TRUJILLO;2;15;0;0;0;23.21;21.12
337;ASOCIACIÓN DE USUARIOS ACUEDUCTO SAN PEDRO Y SAN LUIS ASUASPEL- SISTEMA 1;LA UNION;2;169;0;0;1;40.44;39.26
3400;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA DEL ACUEDUCTO AGUALINDA;RESTREPO;1;6;0;0;0;13.08;13.08
3404;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO SAN ANTONIO DE PIEDRAS - ASUASAP;YOTOCO;1;11;0;0;0;36.54;36.54
341;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL VILLAHERMOSA ACUEHERMOSA;DAGUA;1;27;0;0;0;35.24;35.24
3417;ASOCIACION DE USUARIOS ACUEDUCTO VEREDA LA CLORINDA;DAGUA;1;56;0;0;1;20.77;20.77
3418;ASOCIACION EMPRESA COMUNITARIA ACUASALUD ALTO DE LAS TORTOLAS;DAGUA;1;8;0;0;0;10.16;10.16
3419;JUNTA ADMINISTRADORA DE ACUEDUCTO PEÑAS RUCIAS VEREDA EL JORDANCITO CORREGIMIENTO DE SAN BERNARDO MUNICIPIO DE DAGUA VALLE - J.A.A.J.;DAGUA;1;13;0;0;0;11.36;11.36
3427;ASOCIACION COMUNITARIA DE USUARIOS ACUEDUCTO DE JIGUALES - ACUAJI;DAGUA;1;38;0;0;0;39.74;39.74
3500;ASOCIACION DE USUARIOS DEL ACUEDCUTO SANTA RITA - VILLANUEVA;EL AGUILA;3;190;0;0;0;20.68;18.7
3511;COOPERATIVA SAN ROQUE LAS BRISAS RAIZAL LA AURORA -SISTEMA # 2;ARGELIA;1;0;0;0;1;12.2;12.2
354;JUNTA ADMINISTRADORA DEL ACUEDUCTO DEL CORREGIMIENTO DE OCACHE PARTE BAJA JAACOB;VIJES;1;11;0;0;0;36.54;36.54
3550;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COLECTIVO VEREDA CEDRALES ARCC;TRUJILLO;1;7;0;0;1;15.44;15.44
356;ACUEDUCTO EL MORAL;EL CERRITO;1;13;0;0;0;11.36;11.36
3572;ACUEDUCTO RURAL SAN JOSE;EL CAIRO;1;12;0;0;0;14.76;14.76
36;AUSERACA;EL CERRITO;2;39;0;0;0;24.31;24.24
37;ACUAVALLE S.A ESP;EL CERRITO;5;1499;0;0;1;22.53;19.03
38;ACUAVALLE S.A ESP;GINEBRA;10;1427;0;0;0;21.76;15.93
3862;ASOCIACION DE BENEFICIARIOS DEL APROVICIONAMIENTO DEL MANANTIAL RIO GRANDE - ABAMAR;RESTREPO;1;10;0;0;0;22.56;22.56
39;ACUAVALLE S.A ESP;GUACARÍ;13;2860;0;0;2;22.31;16.57
394;ASOCIACION DE USUARIOS DEL ACUEDUCTO DE YARUMO JIGUALES;YOTOCO;1;25;0;0;0;16.64;16.64
3955;ASOCIACIÓN DE SUSCRIPTORES DEL SERVICIO DE AGUA POTABLE DE LAS CAMELIAS Y EMPRESA COMUNITARIA DE SERVICIOS PÚBLICOS.;DAGUA;1;5;0;0;0;34.66;34.66
3956;ASOCIACION ACUEDUCTO RURAL COMUNITARIO SENDO - TIGRE - AACTISE;DAGUA;1;254;0;0;0;19.24;19.24
3957;ASOJIGUA;LA CUMBRE;1;12;0;0;0;36.76;36.76
397;AGUASALUD VENECIA;TRUJILLO;2;241;0;0;2;23.54;22.7
40;AUSERPUB;EL CERRITO;1;195;0;0;0;18.53;18.53
4054;ASOCIACION DE SUSCRIPTORES DEL SERVICIO DE ACUEDUCTO SAN VICENTE - AGUASANVICENTE;DAGUA;1;50;0;0;0;18.47;18.47
4056;ASOCIACION DE USUARIOS DEL ACUEDUCTO QUEBRADA LOS CHORROS, CORREGIMIENTO ATUNCELA, MUNICIPIO DE DAGUA - ASUACAT;DAGUA;1;16;0;0;1;21.69;21.69
4057;ASOCIACION DE USUARIOS DEL ACUEDUCTO LOBOGUERRERO;DAGUA;1;374;0;0;0;23.89;23.89
41;ACUAVALLE S.A ESP;EL CERRITO;15;3734;0;0;1;22.53;17.86
42;ACUAVALLE S.A ESP;VIJES;5;1200;0;0;2;20.38;19.81
42879;ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO DE LA VEREDA DE ZARAGOZA, CORREGIMIENTO DE BITACO, MUNICIPIO DE LA CUMBRE;LA CUMBRE;1;4;0;0;0;12.17;12.17
46;ASOCIACION EMPRESA COMUNITARIA DE ACUEDUCTO DE BORRERO AYERBE ECASP. ESP. - KM. 30;DAGUA;3;589;0;0;0;18.74;18.54
47;ACUAVALLE S.A ESP;DAGUA;1;80;0;0;0;16.13;16.13
48;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE EL QUEREMAL ASUAQ;DAGUA;2;204;0;0;0;16.91;16.78
487;ASOCIACION DEL SISTEMA DE ABASTECIMIENTO DE AGUA DE LA VEREDA SAN PABLO;RESTREPO;2;147;0;0;1;21.36;16.78
4894;"FUNDACION USUARIOS ACUEDUCTO SALONICA ""ACUASALONICA""";RIOFRIO;2;262;0;0;0;21.71;20.95
4895;"FUNDACION USUARIOS ACUEDUCTO SALONICA ""ACUASALONICA""";RIOFRIO;1;120;0;0;1;22.82;22.82
49;ACUAVALLE S.A ESP;DAGUA;6;1373;0;0;0;20.21;18.45
49;ACUEDUCTO COMUNITARIO SAN BERNARDO;DAGUA;1;24;0;0;0;12.94;12.94
498;ASOCIACION DE USUARIOS DE LOS ACUEDUCTOS EL JARDÍN CALIMITA;YOTOCO;1;10;0;0;0;14.31;14.31
4987;ASOCIACION DE USUARIOS DE LOS SERVICIOS PUBLICOS DEL CORREGIMIENTO DE CEILAN;BUGALAGRANDE;4;445;0;0;1;24.7;20.41
50;ACUAVALLE S.A ESP;LA CUMBRE;4;466;0;0;0;19.43;15.74
501;ACUEDUCTO RURAL COMUNITARIO GOTAS DE VIDA;YOTOCO;1;7;0;0;0;35.44;35.44
51;ACUAVALLE S.A ESP;EL DOVIO;5;1390;0;0;0;22.39;21.15
510;ACUEDUCTO RURAL FENICIA ACUAFENICIA;RIOFRIO;3;189;0;0;1;29.24;27.14
511;ACUEDUCTO RURAL FENICIA ACUAFENICIA;RIOFRIO;2;131;0;0;0;28.98;28.38
513;ACUEDUCTO RURAL MADRIGAL ACUAMADRIGAL;RIOFRIO;1;9;0;0;0;36.05;36.05
52;COOPERATIVA DE SERVICIOS PÚBLICOS DE VERSALLES CAMINO VERDE APC;VERSALLES;4;444;0;0;1;24.46;19.74
5224;ACUEDUCTO RURAL AGUAS DE SAN ISIDRO;CAICEDONIA;1;36;0;0;0;39.6;39.6
53;ACUAVALLE S.A ESP;ROLDANILLO;20;3564;0;0;4;28.34;18.58
532;JUNTA ADMINISTRADORA ACUEDUCTO RURAL EL VILLAR;ANSERMANUEVO;2;144;0;0;0;15.65;15.61
537;ACUAPALTRES;RESTREPO;4;103;0;0;0;19.52;15.48
539;ADMINISTRACION COOPERATIVA SEVILLA E.S.P. LA CUCHILLA EL JARDIN;SEVILLA;2;75;0;0;0;41.21;38.63
541;ADMINISTRACION COOPERATIVA SEVILLA ESP-MORROAZUL;SEVILLA;3;19;0;0;0;35.76;35.12
543;ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO RURAL LA MARIA LA ESTRELLA;SEVILLA;1;5;0;0;0;34.66;34.66
547;ASOCIACION DE USUARIOS DEL SISTEMA DE SUMINISTRO DE AGUA RURAL COMUNITARIA DE LAS VEREDAS AGUACATE Y POTRERILLO;RESTREPO;1;6;0;0;0;13.08;13.08
58;ACUAVALLE S.A ESP;OBANDO;6;1004;0;0;1;24.82;21.07
59;ACUAVALLE S.A ESP;TORO;10;1428;0;0;1;24.63;17.66
60;ACUAVALLE S.A ESP;ANSERMANUEVO;7;1293;0;0;0;25.36;19.56
64;ACUAVALLE S.A ESP;ARGELIA;3;320;0;0;1;21.74;17.26
64595;ACUAVALLE S.A ESP;PRADERA;36;4903;0;0;20;24.24;13.46
65;ACUAVALLE S.A ESP;EL CAIRO;4;479;0;0;0;20.95;18.86
6525;ASOCIACION DE USUARIOS DEL SERVICIO DE ACUEDUCTO DE LA VEREDA BARRANCO BAJO - MUNICIPIO DE GINEBRA - DEPARTAMENTO DEL VALLE DEL CAUCA - ASUABA;GINEBRA;1;15;0;0;0;37.33;37.33
66;ACUAVALLE S.A ESP;EL AGUILA;3;383;0;0;0;18.94;16.95
67;ACUAVALLE S.A ESP;ALCALA;5;1924;0;0;0;24.14;23.96
68;ACUAVALLE S.A ESP;ULLOA;3;593;0;0;0;21.01;20.46
7320;ASOCIACION DE USUARIOS ACUEDUCTO RURAL COMUNITARIO CORREGIMIENTO DE LITUANIA;EL DOVIO;1;16;0;0;1;32.79;32.79
7545;ASOCIACION DE USUARIOS DEL ACUEDUCTO ALTO DEL OSO LA FLORIDA Y LA CAMELIA;RESTREPO;1;10;0;0;0;36.31;36.31
7591;ACUEDUCTO ACUAGUAYABAL;RIOFRIO;1;11;0;0;0;36.54;36.54
79;COOPERATIVA MARAVELEZ ALCALA ESP (SISTEMA #3);ALCALA;5;455;0;0;0;35.08;32.74
8179;JUNTA ADMINISTRADORA ACUEDUCTO EL EMBAL;EL AGUILA;1;19;0;0;1;33.23;33.23
