CODIGO_SISA_ACUEDUCTO;NOMBRE_ACUEDUCTO;MUNICIPIOS;SEDES_TOTAL;ESTUDIANTES_TOTAL;SEDES_ALTO_INVIABLE;ESTUDIANTES_ALTO_INVIABLE;SEDES_CON_BRECHA;PRIORIDAD_MAXIMA;PRIORIDAD_PROMEDIO
2729;ASOCIACION DE USUARIOS DEL ACUEDUCTO DEL CORREGIMIENTO DE LA SONORA - ACUASONORA;TRUJILLO;1;49;1;49;0;73.42;73.42
10699;JUNTA ADMINSITRADORA DE ACUEDUCTO BURILAS;CAICEDONIA;1;47;1;47;0;73.31;73.31
4972;ACUEDUCTO LAS BRISAS;RIOFRIO;1;47;1;47;0;73.31;73.31
7303;ACUEDUCTO RURAL COROZAL;RIOFRIO;1;45;1;45;0;73.19;73.19
115;PEDREGAL 1 ETAPA;FLORIDA;1;43;1;43;0;77.27;77.27
SIN CODIGO SISA;LOS CALEÑOS;FLORIDA;1;41;1;41;0;63.4;63.4
SIN CODIGO SISA;ASOCIACION DE USUARIOS DEL ACUEDUCTO DEL CORREGIMIENTO DE CHORRERAS  - ASUACH;BUGALAGRANDE;1;32;1;32;0;58.54;58.54
2191;ACUEDUCTO RURAL VEREDA LA QUIEBRA;TORO;1;31;1;31;0;72.21;72.21
SIN CODIGO SISA;ACUEDUCTO EL CEBOLLAL;SEVILLA;1;31;1;31;0;58.46;58.46
13246;ACUEDUCTO RURAL PARDO ALTO;ANDALUCÍA;1;30;1;30;0;58.37;58.37
21217;ACUEDUCTO RURAL VEREDA SANTA ELENA BAJA;EL AGUILA;1;29;1;29;0;72.03;72.03
358;ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LA VEREDA EL CHILCAL;DAGUA;1;29;1;29;0;72.03;72.03
1259;ACUEDUCTO RURAL CAMPO ALEGRE;VERSALLES;1;28;1;28;0;68.34;68.34
2194;ASOCIACIÓN DE LA JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL COLECTIVO DE PATIO BONITO- LA ROBLEDA-SABANAZO;TORO;1;27;1;27;0;71.84;71.84
2198;ACUEDUCTO RURAL VENTA QUEMADA BUENA VISTA.;TORO;1;27;1;27;0;58.09;58.09
4071;ASOCIACION DE USUARIOS DEL ACUEDUCTO VEREDAL VILLA AURES-DABEIBA;CAICEDONIA;1;23;1;23;0;57.68;57.68
4384;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL LA PRIMAVERA;CALIMA;1;23;1;23;0;71.43;71.43
901;ASIOCIACION DE USUARIOS DEL ACUEDUCTO DE LA CEDALIA;EL AGUILA;1;23;1;23;0;57.68;57.68
SIN CODIGO SISA;SAN JOAQUIN;FLORIDA;1;23;1;23;0;61.88;61.88
