ID_SEDE_IRCA;COD_DANE;MUNICIPIO;NOMBRE_SEDE_IRCA;NIVEL_RIESGO_IRCA;ESTUDIANTES_IRCAS;ESTUDIANTES_SEDESUESVALLE;ESTUDIANTES_MEN_REFERENCIA;ESTUDIANTES_ACTUAL_FINAL;FUENTE_MATRICULA_FINAL;ESTADO_COMPLEMENTO_MATRICULA;REQUIERE_VALIDACION_MATRICULA;MEN_METODO_CRUCE;MEN_SCORE_CRUCE
22;276890000113;YOTOCO;I.E. SAN JUAN BOSCO SEDE CRISTOBAL COLON;MEDIO;7;11;0;7;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
23;276497000217;OBANDO;I.E MARIA ANALIA ORTIZ HORMANZA SEDE MERCEDDES OBREGON;INVIABLE SANITARIAMENTE;14;14;0;14;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;POSIBLE_COINCIDENCIA_REVISAR;0.889
24;276670000279;SAN PEDRO;I.E. JULIO CAICEDO TELLEZ SEDE ANTONIO NARIÑO;INVIABLE SANITARIAMENTE;20;31;0;20;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
25;276823000184;TORO;I.E TECNICA AGROPECUARIA TORO SEDE CAMILO TORRES;ALTO;14;14;15;14;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.933
26;276113000274;BUGALAGRANDE;I.E. MARIANO GONZALEZ SEDE JUAN JOSE RENDON;SIN RIESGO;19;7;56;19;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
27;276243000276;EL AGUILA;I.E JUSTINIANO ECHAVARRIA SEDE MERCEDES ABREGO;ALTO;9;8;22;9;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
28;276890000199;YOTOCO;I.E. GABRIELA MISTRAL SEDE MANUELA BELTRAL;INVIABLE SANITARIAMENTE;11;13;331;11;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE;0.93
29;276020000053;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE MANUELA BELTRAN;MEDIO;6;6;0;6;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.932
30;276020000100;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE SAN JUAN BOSCO;MEDIO;6;6;0;6;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
31;276020000169;ALCALA;I.E ARTURO GOMEZ JARAMILLO SEDE MANUEL MEJIA;MEDIO;4;4;0;4;ESCUELAS_IRCAS;DATO_PRINCIPAL_ESCUELAS_IRCAS;NO;COINCIDENCIA_NOMBRE_FUERTE_CON_POSIBLE_EMPATE;0.93
