ID_MAESTRO;CODIGO_SISTEMA;MUNICIPIO;AMBITO;TIPO_SISTEMA;ARO;PERSONA_PRESTADORA;LOCALIDADES_ABASTECIDAS;SUSCRIPTORES;POBLACION;TIPO_SISTEMA_TRATAMIENTO;ALGUN_TIPO_TRATAMIENTO;ESTADO_MAESTRO;LATITUD;LONGITUD;VALIDACION_SISTEMA
ACUEDUCTO_0018;81281;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;ACUEDUCTO COMUNITARIO LA HONDURA;LA HONDURA;38.0;152.0;Solo desinfección;0;ACTIVO;4.798836;-76.08668;EXISTENTE
ACUEDUCTO_0019;81280;ANSERMANUEVO;Rural;CENTRO POBLADO;Norte Cartago;ACUEDUCTO COMUNITARIO SALAZAR;BARRIO SALAZAR;280.0;1120.0;Solo desinfección;0;ACTIVO;4.789765;-76.00015;EXISTENTE
ACUEDUCTO_0020;126849;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;ACUEDUCTO RURAL EL DIAMANTE;EL DIAMANTE;25.0;100.0;Ninguno;0;ACTIVO;4.789756;-76.0595;EXISTENTE
ACUEDUCTO_0021;97410;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;ACUEDUCTO RURAL VEREDA LA ESPERANZA;LA ESPERANZA;28.0;0.0;Solo desinfección;0;ACTIVO;4.831394;-76.10079;EXISTENTE
ACUEDUCTO_0022;103903;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;ACUEDUCTO VEREDAS LAS PALOMAS- EL BOSQUE;LAS PALOMAS;17.0;68.0;Ninguno;0;ACTIVO;4.763733;-76.07967;EXISTENTE
ACUEDUCTO_0025;86924;ANSERMANUEVO;Rural;CENTRO POBLADO;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTO EL VERGEL -ACUAVERGEL;EL VERGEL, LA PEDRERA;220.0;880.0;FIME;1;ACTIVO;4.865075;-76.00722;EXISTENTE
ACUEDUCTO_0026;103159;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LA VEREDA EL REAL BRILLANTE;REAL BRILLANTE;10.0;0.0;Ninguno;0;ACTIVO;4.828639;-76.02364;EXISTENTE
ACUEDUCTO_0024;88339;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTOS DEL ROBLE MUNICIPIO DE ANSERMANUEVO - ACUAROBLE - SISTEMA 2;LA QUIEBRA DEL ROBLE, EL CIPRES, SANTA BARBARA, TRES ESQUINAS, LA PUERTA;96.0;384.0;Ninguno;0;ACTIVO;4.824403;-76.0595;EXISTENTE
ACUEDUCTO_0023;81560;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;ASOCIACION DE USUARIOS DEL ACUEDUCTOS DEL ROBLE MUNICIPIO DE ANSERMANUEVO -ACUAROBLE - SISTEMA 1;EL ROBLE, LUSITANIA, LA DIAMANTINA;135.0;0.0;Solo desinfección;0;ACTIVO;4.846694;-76.13472;EXISTENTE
ACUEDUCTO_0028;88266;ANSERMANUEVO;Rural;DISPERSA;Norte Cartago;ASOCIACION GESTION COMUNITARIA DEL AGUA DE LA COMUNIDAD RURAL LA POPALITA;LA POPALITA;26.0;104.0;Solo desinfección;0;ACTIVO;4.767839;-76.10246;EXISTENTE
