ARO_PROGRAMADO,PROGRAMADOS,CON_CODIGO_VALIDO,CON_FUNCIONARIO,EJECUTADOS_13,EJECUTADOS_14,EJECUTADOS_15,COMPLETOS_13_14,SIN_EJECUCION,PENDIENTE_14,PENDIENTE_15,ALERTAS,COINCIDE_13,COINCIDE_14,AVANCE_13_PCT,AVANCE_14_PCT,AVANCE_CICLO_13_14_PCT
,3,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0
CALI,25,23,25,0,0,0,0,25,0,0,0,0,0,0.0,0.0,0.0
CARTAGO,20,20,20,1,1,0,1,19,0,1,0,1,1,5.0,5.0,5.0
TULUA,27,26,27,0,0,0,0,27,0,0,0,0,0,0.0,0.0,0.0
