CODIGO_SISTEMA,MUNICIPIO,PERSONA_PRESTADORA,SISTEMA_DISTRIBUCION,CLASIFICACION_URBANO_RURAL,ARO,TIPO_SISTEMA,TIPO_DISPOSITIVO_AJUSTADO,LATITUD,LONGITUD,MUESTRAS,ANIOS,IRCA_PROMEDIO,IRCA_MAXIMO,NIVEL_RIESGO,VALIDACION_SISTEMA,PARAMETROS_NO_ACEPTABLES,TOTAL_NO_ACEPTABLES
58650,ANDALUCIA,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - ANDALUCIA,ACUAVALLE S.A. E.S.P. - ANDALUCIA,Urbano,Centro Tuluá,CABECERA MUNICIPAL,Grifo,4.176136,-76.17447,380,"2020, 2021, 2022, 2023, 2024, 2025, 2026",0.21684210526315792,22.39,MEDIO,EXISTENTE,5,11
62446,ANDALUCIA,ASOCIACION RURAL COMUNITARIA DE AGUA POTABLE Y SANEAMIENTO BASICO DEL CORREGIMIENTO DE ALTA FLOR - ASOACUAFLOR,ACUEDUCTO ALTA FLOR,Rural,Centro Tuluá,DISPERSA,Grifo,4.128169,-75.96815,9,"2020, 2021, 2023, 2024, 2025",66.36333333333333,89.05,INVIABLE SANITARIAMENTE,EXISTENTE,5,36
102222,ANDALUCIA,ACUEDUCTO RURAL EL PLACER,ACUEDUCTO EL PLACER,Rural,Centro Tuluá,DISPERSA,Grifo,4.100567,-76.08446,17,"2020, 2021, 2022, 2023, 2024, 2025, 2026",66.89823529411764,91.73,INVIABLE SANITARIAMENTE,EXISTENTE,6,78
150256,ANDALUCIA,INSTITUCION EDUCATIVA AGRICOLA CAMPOALEGRE SEDE SANTA MATILDE,ACUEDUCTO IE CAMPO ALEGRE SEDE SANTA MATILDE,Rural,Centro Tuluá,INSTITUCION EDUCATIVA,Grifo,4.138056,-75.97,1,2023,0.0,0.0,SIN RIESGO,EXISTENTE,0,0
62256,ANDALUCIA,ACUEDUCTO RURAL COMUNITARIO LA UNION CASCAJERO,ACUEDUCTO LA UNION CASCAJERO,Rural,Centro Tuluá,DISPERSA,Grifo / Filtro,4.156269,-75.96557,11,"2020, 2021, 2023, 2024, 2025",58.70363636363636,89.05,INVIABLE SANITARIAMENTE,EXISTENTE,5,41
64871,ANDALUCIA,ACUEDUCTO RURAL PARDO ALTO,ACUEDUCTO PARDO ALTO,Rural,Centro Tuluá,DISPERSA,Grifo,4.076389,-76.08386,13,"2020, 2021, 2022, 2023, 2024, 2025, 2026",65.87846153846155,92.44,INVIABLE SANITARIAMENTE,EXISTENTE,6,52
61992,ANDALUCIA,ACUEDUCTO RURAL POTRERILLO,ACUEDUCTO POTRERILLO,Rural,Centro Tuluá,DISPERSA,Grifo,4.105842,-76.09142,17,"2020, 2021, 2022, 2023, 2024, 2025, 2026",71.36823529411765,92.26,INVIABLE SANITARIAMENTE,EXISTENTE,5,80
127158,ANDALUCIA,MUNICIPIO DE ANDALUCIA PEÑON ALTO,MUNICIPIO DE ANDALUCIA PEÑON ALTO,Rural,Centro Tuluá,DISPERSA,Grifo / Filtro,4.178069,-76.14771,18,"2021, 2022, 2023, 2024, 2025, 2026",31.831111111111113,94.61,INVIABLE SANITARIAMENTE,EXISTENTE,7,38
86244,ANSERMANUEVO,SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.-ANSERMANUEVO,ACUAVALLE S.A. E.S.P- ANSERMANUEVO,Urbano,Norte Cartago,CABECERA MUNICIPAL,Grifo,4.796672,-75.99252,151,"2020, 2021, 2022, 2023, 2024, 2025, 2026",0.9762251655629138,23.26,MEDIO,EXISTENTE,5,26
97410,ANSERMANUEVO,JUNTA DE ADMINISTRACION COMUAL LA ESPERANZA,ACUEDUCTO  LA  ESPERANZA | ACUEDUCTO LA ESPERANZA,Rural,Norte Cartago,DISPERSA,Grifo,4.831394,-76.10079,18,"2020, 2021, 2022, 2023, 2024, 2025, 2026",72.91444444444444,89.29,INVIABLE SANITARIAMENTE,EXISTENTE,6,75
126849,ANSERMANUEVO,ACUEDUCTO RURAL EL DIAMANTE,ACUEDUCTO EL DIAMANTE,Rural,Norte Cartago,DISPERSA,Grifo,4.789756,-76.0595,8,"2020, 2021, 2023, 2024, 2025",86.4125,94.57,INVIABLE SANITARIAMENTE,EXISTENTE,6,43
86924,ANSERMANUEVO,ASOCIACION DE USUARIOS DEL ACUEDUCTO EL VERGEL,ACUEDUCTO EL VERGEL,Rural,Norte Cartago,CENTRO POBLADO,Grifo,4.865075,-76.00722,13,"2020, 2021, 2022, 2023, 2024, 2025",11.186923076923078,63.58,ALTO,EXISTENTE,5,11
80699,ANSERMANUEVO,JUNTA ADMINISTRADORA ACUEDUCTO RURAL EL VILLAR,ACUEDUCTO EL VILLAR,Rural,Norte Cartago,CENTRO POBLADO,Grifo,4.819986,-76.09104,18,"2020, 2021, 2022, 2023, 2024, 2025, 2026",41.28666666666666,89.93,INVIABLE SANITARIAMENTE,EXISTENTE,6,51
80702,ANSERMANUEVO,ASOCIACION GESTORA COMUNITARIA DEL AGUA DEL CORREGIMIENTO LA CABAÑA,ACUEDUCTO LA CABAÑA,Rural,Norte Cartago,DISPERSA,Grifo,4.755024,-76.08022,21,"2020, 2021, 2022, 2023, 2024, 2025",58.76095238095238,94.57,INVIABLE SANITARIAMENTE,EXISTENTE,5,81
102412,ANSERMANUEVO,ASOCIACION GESTIÓN COMUNITARIA DE AGUA DE LA COMUNIDAD VEREDA LA DIVISA,ACUEDUCTO LA DIVISA,Rural,Norte Cartago,DISPERSA,Grifo,4.828097,-76.11026,17,"2020, 2021, 2022, 2023, 2024, 2025, 2026",74.38176470588235,93.98,INVIABLE SANITARIAMENTE,EXISTENTE,6,74
81281,ANSERMANUEVO,ACUEDUCTO COMUNITARIO LA HONDURA,ACUEDUCTO LA HONDURA,Rural,Norte Cartago,DISPERSA,Grifo,4.798836,-76.08668,17,"2020, 2021, 2022, 2023, 2024, 2025, 2026",57.01352941176471,94.96,INVIABLE SANITARIAMENTE,EXISTENTE,5,64
