PARAMETRO,PARAMETRO_BASE_VISUAL,GRUPO_PARAMETRO,GRUPO_VISUAL,TOTAL_ANALISIS,CON_RESULTADO,ACEPTABLES,NO_ACEPTABLES,SIN_DIAGNOSTICO,MUNICIPIOS,SISTEMAS,MUESTRAS,RESULTADO_PROMEDIO,RESULTADO_MAXIMO,VALOR_MAXIMO_PERMISIBLE,UNIDAD,NORMA_REFERENCIA,PORC_NO_ACEPTABLE
COBRE,Cobre,METALES_Y_ELEMENTOS,METALES_Y_ELEMENTOS,32,32,32,0,0,9,30,32,0.0022031250000000002,0.0178,1,mg/L como Cu,Resolución 2115 de 2007,0.0
ENTEROVIRUS,Enterovirus,MICROBIOLOGICO,MICROBIOLOGICO,6,6,6,0,0,1,2,6,0.0,0.0,No establecido,presencia/ausencia,Resolución 2115 de 2007,0.0
FOSFATOS,Determinación Indirecta De Residuos De Plaguicidas Organofosforados Y Carbamatos,ORGANICOS_PLAGUICIDAS,ORGANICOS_PLAGUICIDAS,2,2,2,0,0,1,2,2,0.0,0.0,No establecido,según método,Resolución 2115 de 2007,0.0
FOSFATOS,Organofosforados,ORGANICOS_PLAGUICIDAS,ORGANICOS_PLAGUICIDAS,9,9,9,0,0,6,9,9,0.0,0.0,0.0001 / 0.001 / 0.01,mg/L,Resolución 2115 de 2007,0.0
GRUPO FUNCIONAL ORGANOCLORADOS,Grupo Funcional Organoclorados,ORGANICOS_PLAGUICIDAS,ORGANICOS_PLAGUICIDAS,1,1,1,0,0,1,1,1,0.0,0.0,0.0001 / 0.001 / 0.01,mg/L,Resolución 2115 de 2007,0.0
HEPATITIS A,Hepatitis A,MICROBIOLOGICO,MICROBIOLOGICO,6,6,6,0,0,1,2,6,0.0,0.0,No establecido,presencia/ausencia,Resolución 2115 de 2007,0.0
MESÓFILOS,Mesófilos,MICROBIOLOGICO,MICROBIOLOGICO,3,3,3,0,0,3,3,3,50.0,87.0,100,UFC/100 cm3,Resolución 2115 de 2007,0.0
MOLIBDENO,Molibdeno,METALES_Y_ELEMENTOS,METALES_Y_ELEMENTOS,1,1,1,0,0,1,1,1,0.02,0.02,0.07,mg/L como Mo,Resolución 2115 de 2007,0.0
NIQUEL,Niquel,METALES_Y_ELEMENTOS,METALES_Y_ELEMENTOS,1,1,1,0,0,1,1,1,0.00148,0.00148,0.02,mg/L como Ni,Resolución 2115 de 2007,0.0
PLAGUICIDAS TOTALES,Plaguicidas Totales,ORGANICOS_PLAGUICIDAS,ORGANICOS_PLAGUICIDAS,19,19,19,0,0,7,17,19,2.4374999999999996e-05,0.00026,0.1,mg/L,Resolución 2115 de 2007,0.0
PLOMO,Plomo,METALES_Y_ELEMENTOS,METALES_Y_ELEMENTOS,1,1,1,0,0,1,1,1,0.00049,0.00049,0.01,mg/L como Pb,Resolución 2115 de 2007,0.0
ROTAVIRUS,Rotavirus,MICROBIOLOGICO,MICROBIOLOGICO,6,6,6,0,0,1,2,6,0.0,0.0,No establecido,presencia/ausencia,Resolución 2115 de 2007,0.0
SULFATOS,Sulfatos,FISICOQUIMICO,FISICOQUIMICO,7600,7600,7600,0,0,33,651,7600,13.777105789473683,129.0,250,mg/L como SO4^2-,Resolución 2115 de 2007,0.0
TEMPERATURA IN SITU,Temperatura In Situ,BASICO_OPERATIVO,BASICO_OPERATIVO,14845,14845,14845,0,0,33,671,14845,22.190672280228828,42.0,No establecido,°C,Resolución 2115 de 2007,0.0
ZINC,Zinc,METALES_Y_ELEMENTOS,METALES_Y_ELEMENTOS,37,37,37,0,0,9,35,37,0.03209459459459459,0.85,3,mg/L como Zn,Resolución 2115 de 2007,0.0
