codigo_dane_fuente,municipio,aro_uesvalle,reporte_animales,perros_cuantificados,gatos_cuantificados,total_animales_cuantificados,requiere_alimento,requiere_medicamentos,fila_fuente,columna_fuente
76497,Obando,ARO Norte - Cartago,FUNDACION VANNY:  50 GATOS NECESITA ALIMENTO PARA GATOS,0,50,50,1,0,30,JW
76520,Palmira,ARO Sur - Cali,DULCES MIRADAS: 25 PERROS 6 GATOS SE NECESITA MEDICINA MELOXICAM PARA PERRAS ESTERILIZADAS ALIMENTO PARA GATO Y PERRO. REFUGIO SAN ROQUE EN EL BOLO:  65 PERROS 18 GATOS NECESITA ALIMENTO PERROS Y GATOS ,90,24,114,1,1,31,JW
76563,Pradera,ARO Sur - Cali,"FUNDACION ANGELES EN LA TIERRA: 15 PERROS NECESITA MEDICAMENTO PARA HERIDAS, NEXGARD Y ALIMENTO. HUELLITAS DE AMOR ALIMENTO PARA PERROS Y GATOS Y MELOXICAM EN GOTAS",15,0,15,1,1,32,JW
76606,Restrepo,ARO Centro - Tuluá,"NACHITOS ANGELES DE 4 PATAS: 43 PERROS 7 GATOS NECESITAN MALLA, CEMENTO, LADRILLOS, ARENA, ZINC, MEDICAMENTO PARA DOLOR, CURACIONES Y ANTIFLAMATORIOS. FUNDACION PATITAS DE AMOR: ALIMENTO PERRO Y GATO, GASAQS, GUANTES Y VENDAS 25 GATOS, MEDICAMENTO PARA EL DOLOR",43,32,75,1,1,33,JW
76616,Riofrío,ARO Centro - Tuluá,"LATIDOS DE AMOR: ALIMENTO PARA PERROS Y GATOS, MEDICAMENTOS PARA HERIDAS, CREMA PESOSAN ALFA 3, CLORITIDINA, GASAS, DESPARASITANTE, MELOXICAM.",0,0,0,1,1,34,JW
76736,Sevilla,ARO Centro - Tuluá,"65 GATOS 4 PERROS NECESITA ALIMENTO Y MEDICINA PARA CURACION. ANIMALANDIA TIENE 100 GATOS 17 PERROS NECESITA ADEACUACION DE CUARTO DE AISLAMIENTO POR ENFERMEDAD CONTAGIOSA DE 14 GATOS. REFUGIO LA ESPERANZA: 58 PERROS 16 GATOS  ALIMENTO PARA PERROS Y GATOS, MEDICAMENTOS PARA CURACIONESGOTAS PARA LOS OJOS Y OIDOS. ALBERGUE PELUDITOS FELICES: 40 PERROS 3 GATOS NECESITA ALIMENTO Y MEDICAMENTOS PARA CURACIONES Y DESPARASINTANTE. 5 PERLINES, 15 HOJAS DE ZINC, 100 AMARRAS, 2 PUNTILLAS, MALLA ELECTROSOLDADA Y GUADUAS PARA ENCERRAMIENTO.",119,198,317,1,1,37,JW
76828,Trujillo,ARO Centro - Tuluá,"REFUGIO PALOMA: 17 PERROS 12 GATOS NECESITA ALIMENTO. ALBERGUE NURY GIRALDO 100 PERROS NECESITA ALIMENTO. HUELLITAS DE AMOR Y VIDA: 30 PERROS 30 GATOS NECESITAN ALIMENTO, MEDICAMENTO PARA DOLOR, HOJAS DE ZINC Y PVC.",147,42,189,1,1,39,JW
76834,Tuluá,ARO Centro - Tuluá,"MARTHA CADENA: 10 PERROS Y 3 GATOS NECESITA ALIMENTO Y MEDICAMENTO MELOXICAN, DESPARASITANTE, COBIJAS, KUIDO, NUTRICAN. NARICES HUMEDAS: NECESITAN CEMENTO, LADRILLOS, GUADUAS, ESTERILLA Y ALIMENTO. YOLI ALBERGUE MORALES: 35 GATOS,  NECESITAN TEJAS, CEMENTO, ALIMENTO DE GATO, AMOXICILINA EN SUSPENCION, MELOXICAM 15. FUNDACION UNA PATICA EN TU CORAZON: 78 PERROS, NECESITAN CEMENTO, LADRILLOS Y VARILLAS Y ALIMENTO. HOGAR DE PASO LUGENY CARTAGENA: 4 PERROS ALIMENTO, MEDICINA PARA CURACIONES, GASA, ESPARADRAPO, VENDA COBAN. FUNDACION MISION RESCATE HUELLITAS EN LA CALLE 102 ANIMALES, ALIMENTO, CEMENTO, GUADUAS, O VIGAS DE MADERA, ALAMBRE Y TEJAS DE ZINC. REFUGIO YOLI ALIMENTO Y TEJAS. REFUGIO BIENESTAR ANIMAL: 68 PERROS 7 GATOS,CALLE Y 18 PERROS MAS EN CONDICION DE  NECESITAN COBIJAS Y ALIMENTO. HOGAR DE PASO GARRITAS DE AMOR 4 PERROS 18 GATOS NECESITA ALIMENTO PERRO Y GATO, MEDICAMENTO PARA DOLOR MELOXIDES Y PASTILLAS DE NEXGARD .",182,63,245,1,1,40,JW
76890,Yotoco,ARO Centro - Tuluá,"REFUGIO LUISA: NECESITA 4 METROS DE MALLA Y ALIMENTO PARA GATO. REFUGIO ZAFIRO: GATOS 102 PERROS 25 NECESITAN ALIMENTO PARA GATOS DON CAT ADULTOS Y CACHORROS ALIMENTO PARA PERROS DONKAN O RINGO, MEDICAMENTOS ANKOFEN, INFLACOR, TRAUMMEL, ENRIFLOXACINA, HEMOSTATICO, DIPIRONA, EQUIPO DE CANALIZACION, CLORHEXIDINA. REFUGIO LUISA:  ALIMENTO GATOS DON CAT ALIMENTO PERRO DONKAN MEDICAMENTOS: ANKOFEN, DIPIRONA, EPIMEFRINA, IINFLACOR, STOMORGIL",102,0,102,1,1,44,JW
76892,Yumbo,ARO Sur - Cali,"REFUGIO BELLA ILUSION: ALIMENTO. REFUGIO POR AMOR A ELLOS: 36 PERROS Y 60 GATOS NECESITAN ALIMENTO PERRO Y GATO 15 BOZALES ENTRE GRANDES Y MEDIANOS, 36 COLCHONETAS, PECHERAS Y COLLARES 10 GRANDES, 15 MEDIANAS Y 11 PEQUEÑAS PARA EVACUACIONES, MALLA METALICA PARA REFORZAR LAS JAULAS Y GATERAS, 10 BULTOS DE CEMENTO, ARENA 1 BULTO, BALASTO, RESINAS EPOXICAS, MORTERO DE REPARACION ESTRUCTURAL DE ALTA RESISTENCIA, SELLADORES ELASTICOS DE POLIURETANO, MALLA O CINTA DE FIBRA DE VIDRIO Y ADITIVOS ACRILICOS O PUENTES DE ADHERENCIA PARA ASEGURAR LA UNION CON EL CONCRETO VIEJO",36,60,96,1,0,45,JW
76895,Zarzal,ARO Centro - Tuluá,"CATLOVERS: ALIMENTO PARA PERROS Y GATOS,  ARENA, MEDICAMENTO, AGUA. REFUGIO MONICAT: 36 GATOS ALIMENTO DON KAT Y FELIX PARA GATOS, TEJAS. ",0,36,36,1,1,46,JW
