codigo_dane_fuente,municipio,aro_uesvalle,sector,necesidad,equipos_elementos,costo_estimado,estado_informacion,fila_fuente,columnas_fuente
76054,Argelia,ARO Norte - Cartago,Prioridad general,"Reporta muchas viviendas colapsadas, muchas con daños estructurales graves; sin servicio de energía, agua y comunicaciones, estamos realizando la evaluación de los daños y el análisis de necesidades. 

No se reportan víctimas hasta el momento.

No tenemos un reporte oficial de los daños presentados. 

El PMU se encuentra instalado en el parque principal sin poder ingresas al CAM.",,,REPORTADO,9,JR
76054,Argelia,ARO Norte - Cartago,CRUE,"EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR - No Tiene Planta, la que tenia se Le Daño, Enviaron Las Vacunas Y Reactivos De Laboratorio A IPS Municipal Cartago, No Tiene Urgencias Solo Consultas, Sin Pacientes Pendientes Por Remitir 
30 mts PLASTICO POR METROS PARA CUBRIR",,,SIN INFORMACIÓN / EN VERIFICACIÓN,9,JS
76100,Bolívar,ARO Centro - Tuluá,Salud,"Agrietamiento (20% de afectación)
EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR
TANQUE DE RESERVA DE AGUA",,,REPORTADO,10,Y
76100,Bolívar,ARO Centro - Tuluá,Prioridad general,"Internet Satelital, sin energía 
16:39: Se  reporta desde   Bolívar,   estamos   sin   servicio de energia , sin Internet y sin  servicio de agua.",,,REPORTADO,10,JR
76100,Bolívar,ARO Centro - Tuluá,CRUE,"EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR
TANQUE DE RESERVA DE AGUA",,,REPORTADO,10,JS
76109,Buenaventura,ARO Sur - Cali,Salud,"La red hospitalaria de buenaventura se encuentra en alerta naranja con la red al 100% de capacidad. Hosp. Luis Ablaque de la plata Afectación de dos bloques en estructura de un 20% y los demas bloques daños en mamposteria. Se hizo ampliacion hacia consulta externa - Clinica Santa Sofia del Pacifico  EVACUARON PACIENTES AFECTACION AGRIETAMIENTO DE PISO 2 Y 1 REUBICACION DE PACIENTES (Afectacion del 50%)
EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALORl",,,REPORTADO,11,Y
76109,Buenaventura,ARO Sur - Cali,Edificaciones públicas,"El Distrito de Buenaventura presenta afectaciones en diferentes edificaciones, espacios públicos e infraestructura institucional, situación que hace necesario fortalecer de manera inmediata las capacidades técnicas, operativas y logísticas disponibles para atender la emergencia, reducir riesgos y avanzar en la recuperación de las zonas comprometidas.

En este contexto, se requiere el apoyo de ingenieros estructurales, ingenieros civiles, arquitectos, profesionales en gestión del riesgo y demás especialistas, que permitan realizar inspecciones técnicas y evaluaciones detalladas de las edificaciones afectadas, determinar el nivel de vulnerabilidad de las estructuras y establecer, de acuerdo con sus condiciones, si estas pueden continuar en uso, requieren restricciones de acceso, deben ser evacuadas, estabilizadas o intervenidas para su posterior rehabilitación o reconstrucción.","De igual manera, resulta fundamental disponer de maquinaria amarilla, equipos especializados y herramientas para atender labores de remoción de escombros, limpieza, demolición controlada de elementos que representen riesgo, adecuación de accesos, despeje de vías y atención de puntos críticos. Estas acciones son necesarias para facilitar el ingreso de los equipos de respuesta y garantizar condiciones mínimas de seguridad para las comunidades y los funcionarios que participan en la atención de la emergencia.

En materia de recuperación de infraestructura, se requiere disponer de materiales de construcción, entre ellos cemento, acero, bloques, ladrillos, agregados, madera, elementos de apuntalamiento, cerramientos, cubiertas, tejas y demás insumos necesarios para ejecutar reparaciones provisionales y, posteriormente, intervenciones definitivas en las estructuras que resulten técnicamente recuperables.

Asimismo, se hace necesario contar con andamios, equipos para trabajo en alturas, herramientas especializadas, elementos de protección personal, señalización, cerramientos preventivos, sistemas de iluminación temporal, plantas eléctricas y otros equipos de seguridad, con el propósito de que las labores de inspección, estabilización, limpieza y rehabilitación puedan desarrollarse bajo condiciones adecuadas y minimizando los riesgos para trabajadores, funcionarios y población en general.  Otra necesidad prioritaria corresponde a la protección temporal de las edificaciones y espacios que hayan quedado expuestos como consecuencia del movimiento sísmico. Para ello se requiere apoyo con cubiertas provisionales, lonas, materiales de protección y elementos que permitan reducir la exposición de las estructuras y bienes a las condiciones climáticas propias de Buenaventura, particularmente ante las lluvias, mientras se adelantan las intervenciones correspondientes.",,REPORTADO,11,BR-BS-BT
76109,Buenaventura,ARO Sur - Cali,Transporte,Análisis estructural de puent evehícular,,,REPORTADO,11,FN-FO-FP
76109,Buenaventura,ARO Sur - Cali,Prioridad general,"100 carpas 
50 Pajaritas 
15 Excavadoras 
15 volquetas 
Máquina de rescate (bomberos)
580 carpas de campaña 
20 mil kits de ayudas humanitarias
Equipos de martillos neumáticos para remoción de escombros",,,REPORTADO,11,JR
76109,Buenaventura,ARO Sur - Cali,CRUE,"EVALUACION ESTRUCTURAL PARA CALIFICAR RIESGOS EN LA PRESTACION Y EVALUACION DE DAÑOS PARA DEFINIR PLAN DE OBRA Y VALOR
REUBICACION INTERNA  AL AREA DE CONSULTA EXTERNA",,,REPORTADO,11,JS
