id,codigo,municipio,aro,longitud,latitud,tmax_daily_mean_c,tmax_abs_c
ELNINO_0068,,BOLÍVAR,Centro Tuluá,-76.38045,4.301117,21.69,23.28
ELNINO_0069,11893,BOLÍVAR,Centro Tuluá,-76.30947,4.439953,22.25,24.35
ELNINO_0070,166,BOLÍVAR,Centro Tuluá,-76.16724,4.338628,24.23,27.05
ELNINO_0072,10030,BUGALAGRANDE,Centro Tuluá,-76.06664,4.100292,21.61,24.95
ELNINO_0074,2153,BUGALAGRANDE,Centro Tuluá,-76.05827,4.172831,23.56,26.6
ELNINO_0076,8870,BUGALAGRANDE,Centro Tuluá,-76.06788,4.149033,23.56,26.6
ELNINO_0077,227,BUGALAGRANDE,Centro Tuluá,-76.04056,4.108833,21.61,24.95
ELNINO_0467,13567,BUGALAGRANDE,Centro Tuluá,-76.06784,4.219431,23.56,26.6
ELNINO_0079,921,BUGALAGRANDE,Centro Tuluá,-76.01669,4.114444,21.61,24.95
ELNINO_0080,2173,BUGALAGRANDE,Centro Tuluá,-76.03446,4.236411,23.56,26.6
ELNINO_0081,914,BUGALAGRANDE,Centro Tuluá,-75.84171,4.159742,24.36,29.03
ELNINO_0015,10426,BUGALAGRANDE,Centro Tuluá,-76.0218,4.146503,23.56,26.6
ELNINO_0078,,BUGALAGRANDE,Centro Tuluá,-76.05262,4.251414,23.56,26.6
ELNINO_0079,,BUGALAGRANDE,Centro Tuluá,-76.02729,4.151117,23.56,26.6
ELNINO_0080,,BUGALAGRANDE,Centro Tuluá,-76.03342,4.158742,23.56,26.6
ELNINO_0081,1611; 1426; 1586; 1427,BUGALAGRANDE,Centro Tuluá,-76.03342,4.158742,23.56,26.6
ELNINO_0087,17741,BUGALAGRANDE,Centro Tuluá,-76.05406,4.157958,23.56,26.6
ELNINO_0088,2156,BUGALAGRANDE,Centro Tuluá,-76.16225,4.228908,25.39,28.62
ELNINO_0089,234,BUGALAGRANDE,Centro Tuluá,-76.18197,4.244167,25.39,28.62
ELNINO_0090,2152,BUGALAGRANDE,Centro Tuluá,-76.21528,4.228894,25.39,28.62
ELNINO_0016,917,BUGALAGRANDE,Centro Tuluá,-76.00314,4.112361,21.61,24.95
ELNINO_0092,17757,BUGALAGRANDE,Centro Tuluá,-76.07157,4.135678,23.56,26.6
ELNINO_0093,210,BUGALAGRANDE,Centro Tuluá,-76.16029,4.202783,25.39,28.62
ELNINO_0094,4068,CAICEDONIA,Centro Tuluá,-75.84833,4.222639,24.36,29.03
ELNINO_0095,14223,CAICEDONIA,Centro Tuluá,-75.82958,4.254239,22.09,24.91
ELNINO_0096,5224,CAICEDONIA,Centro Tuluá,-75.82526,4.388314,26.39,29.31
ELNINO_0097,173,CAICEDONIA,Centro Tuluá,-75.81181,4.3175,26.7,30.36
ELNINO_0098,7673,CAICEDONIA,Centro Tuluá,-75.80017,4.317361,26.7,30.36
ELNINO_0099,163,CAICEDONIA,Centro Tuluá,-75.79384,4.337794,26.7,30.36
ELNINO_0100,2151,CAICEDONIA,Centro Tuluá,-75.85454,4.290506,26.2,30.35
ELNINO_0101,2148,CAICEDONIA,Centro Tuluá,-75.86694,4.293333,26.2,30.35
ELNINO_0102,5194,CAICEDONIA,Centro Tuluá,-75.84199,4.386403,25.93,29.54
ELNINO_0103,11052,CAICEDONIA,Centro Tuluá,-75.80454,4.281408,22.09,24.91
ELNINO_0104,2146,CAICEDONIA,Centro Tuluá,-75.87329,4.264353,24.36,29.03
ELNINO_0105,2150,CAICEDONIA,Centro Tuluá,-75.82446,4.295125,26.7,30.36
ELNINO_0106,2144,CAICEDONIA,Centro Tuluá,-75.87363,4.269731,24.36,29.03
ELNINO_0107,4071,CAICEDONIA,Centro Tuluá,-75.83255,4.237764,22.09,24.91
ELNINO_0108,168,CAICEDONIA,Centro Tuluá,-75.82571,4.317842,26.7,30.36
ELNINO_0109,10699,CAICEDONIA,Centro Tuluá,-75.82388,4.288828,26.7,30.36
ELNINO_0110,2143,CAICEDONIA,Centro Tuluá,-75.81707,4.308083,26.7,30.36
ELNINO_0111,4070,CAICEDONIA,Centro Tuluá,-75.81538,4.277589,22.09,24.91
ELNINO_0112,4066,CAICEDONIA,Centro Tuluá,-75.84143,4.209372,24.36,29.03
ELNINO_0113,4069,CAICEDONIA,Centro Tuluá,-75.81696,4.263178,22.09,24.91
ELNINO_0114,170,CAICEDONIA,Centro Tuluá,-75.81534,4.317894,26.7,30.36
ELNINO_0115,5610,CAICEDONIA,Centro Tuluá,-75.82363,4.156681,22.09,24.91
ELNINO_0116,158,CAICEDONIA,Centro Tuluá,-75.82139,4.335019,26.7,30.36
ELNINO_0117,930,CALIMA,Centro Tuluá,-76.38352,4.093542,21.14,22.97
ELNINO_0118,3297,CALIMA,Centro Tuluá,-76.41686,3.969528,22.03,23.79
ELNINO_0120,4384,CALIMA,Centro Tuluá,-76.45111,3.935722,23.15,25.08
ELNINO_0121,5748,CALIMA,Centro Tuluá,-76.48405,3.954753,21.66,23.26
ELNINO_0122,4491,CALIMA,Centro Tuluá,-76.46088,3.982481,22.03,23.79
ELNINO_0123,5653,CALIMA,Centro Tuluá,-76.47472,3.874167,23.93,26.08
ELNINO_0124,3295,CALIMA,Centro Tuluá,-76.43081,3.967028,22.03,23.79
ELNINO_0447,931,CALIMA,Centro Tuluá,-76.43556,3.977233,22.03,23.79
ELNINO_0127,1114,CALIMA,Centro Tuluá,-76.43556,3.977233,22.03,23.79
ELNINO_0128,936,CALIMA,Centro Tuluá,-76.43274,3.980775,22.03,23.79
