ARO,Anio,Tipo_servicio_codigo,Tipo_servicio_nombre,Codigo,Fecha_envio,Fecha_recepcion,Hora_recepcion,Fecha_resultados,Tipo,Entidad_que_remite,Muestras_recibidas,Muestras_rechazadas,Estado,Pagina_manual,Fila_archivo,Muestras_recibidas_num,Muestras_rechazadas_num,Clave_ARO_Codigo,Es_codigo_valido,Fecha_envio_dt,Fecha_recepcion_dt,Fecha_resultados_dt,Es_duplicado_por_codigo
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251127-5644-VIG,27/11/2025,27/11/2025,3:50 PM,09/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,362,3,0,Cartago|20251127-5644-VIG,True,2025-11-27,2025-11-27,2025-12-09,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251127-5636-VIG,27/11/2025,27/11/2025,3:50 PM,09/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,363,3,0,Cartago|20251127-5636-VIG,True,2025-11-27,2025-11-27,2025-12-09,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251127-5678-VIG,27/11/2025,27/11/2025,3:50 PM,09/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,364,3,0,Cartago|20251127-5678-VIG,True,2025-11-27,2025-11-27,2025-12-09,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251126-5581-VIG,26/11/2025,26/11/2025,3:10 PM,08/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,365,3,0,Cartago|20251126-5581-VIG,True,2025-11-26,2025-11-26,2025-12-08,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251126-5570-VIG,26/11/2025,26/11/2025,3:10 PM,08/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,366,3,0,Cartago|20251126-5570-VIG,True,2025-11-26,2025-11-26,2025-12-08,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251126-5585-VIG,26/11/2025,26/11/2025,3:10 PM,08/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,367,3,0,Cartago|20251126-5585-VIG,True,2025-11-26,2025-11-26,2025-12-08,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251126-5583-VIG,26/11/2025,26/11/2025,3:10 PM,08/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,368,3,0,Cartago|20251126-5583-VIG,True,2025-11-26,2025-11-26,2025-12-08,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251126-5579-VIG,26/11/2025,26/11/2025,3:10 PM,08/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,369,3,0,Cartago|20251126-5579-VIG,True,2025-11-26,2025-11-26,2025-12-08,False
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260505-8115-VIG,05/05/2026,05/05/2026,2:40 PM,18/05/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,nan,37,4,0,Cartago|20260505-8115-VIG,True,2026-05-05,2026-05-05,2026-05-18,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251126-5594-VIG,26/11/2025,26/11/2025,3:10 PM,08/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,370,3,0,Cartago|20251126-5594-VIG,True,2025-11-26,2025-11-26,2025-12-08,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251126-5572-VIG,26/11/2025,26/11/2025,3:10 PM,08/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,371,3,0,Cartago|20251126-5572-VIG,True,2025-11-26,2025-11-26,2025-12-08,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251126-5571-VIG,26/11/2025,26/11/2025,3:10 PM,08/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,372,3,0,Cartago|20251126-5571-VIG,True,2025-11-26,2025-11-26,2025-12-08,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251126-5582-VIG,26/11/2025,26/11/2025,3:10 PM,12/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,373,3,0,Cartago|20251126-5582-VIG,True,2025-11-26,2025-11-26,2025-12-12,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251126-5580-VIG,26/11/2025,26/11/2025,3:10 PM,08/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,374,3,0,Cartago|20251126-5580-VIG,True,2025-11-26,2025-11-26,2025-12-08,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5511-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,375,3,0,Cartago|20251125-5511-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5506-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,376,3,0,Cartago|20251125-5506-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5507-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,377,3,0,Cartago|20251125-5507-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5496-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,378,3,0,Cartago|20251125-5496-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5512-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,379,3,0,Cartago|20251125-5512-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
Cartago,2026,VIG,VIGILANCIA RUTINARIA,20260505-8111-VIG,05/05/2026,05/05/2026,2:40 PM,18/05/2026,Agua,UESVALLE - ARO CARTAGO,4,0,Finalizada,nan,38,4,0,Cartago|20260505-8111-VIG,True,2026-05-05,2026-05-05,2026-05-18,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5494-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,380,3,0,Cartago|20251125-5494-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5495-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,381,3,0,Cartago|20251125-5495-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5513-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,382,3,0,Cartago|20251125-5513-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5510-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,383,3,0,Cartago|20251125-5510-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5504-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,384,3,0,Cartago|20251125-5504-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
Cartago,2025,VIG,VIGILANCIA RUTINARIA,20251125-5493-VIG,25/11/2025,25/11/2025,3:15 PM,07/12/2025,Agua,UESVALLE - ARO CARTAGO,3,0,Finalizada,4.0,385,3,0,Cartago|20251125-5493-VIG,True,2025-11-25,2025-11-25,2025-12-07,False
