id,mun,aro,amb,loc,prest,pob,q,precip_mm,temp_mean,precip_idx,temp_anom,precip_sev,temp_sev,clima_score,P_clima,clasif_fuente
ELNINO_0168,DAGUA,Sur Cali,Rural,ATUNCELA,ASOCIACION AGUA VIGIA CORREGIMIENTO DE ATUNCELA MUNICIPIO DE DAGUA VALLE DEL CAUCA EN LIQUIDACION,64,1.0,19.08,20.94,41.1,1.96,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0160,DAGUA,Sur Cali,Rural,SANTA MARIA PARTE ALTA,ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO DE LA LOCALIDAD DE SANTA MARIA - ACOACEDRO,532,5.0,16.87,21.01,42.4,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0161,DAGUA,Sur Cali,Rural,SAN MIGUEL,ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO DE SAN MIGUEL - ACUAMIGUEL,280,1.0,10.55,20.59,42.4,1.27,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0162,DAGUA,Sur Cali,Rural,BORRERO AYERBE (CHIPRE),"ASOCIACION COMUNITARIA DE ACUEDUCTO DE CHIPRE, ASOCHIPRE",140,4.0,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0163,DAGUA,Sur Cali,Rural,"BORRERO AYERBE (KM26,KM27,KM28,KM29)",ASOCIACION COMUNITARIA DEL ACUEDUCTO ACUACLOR - ACUACLOR,1004,4.0,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0164,DAGUA,Sur Cali,Rural,PARCELACION MONTERRICO,ASOCIACION DE PROPIETARIOS PARCELACION MONTERRICO,700,1.0,10.55,20.59,42.4,1.27,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0165,DAGUA,Sur Cali,Rural,EL AGUACATE,ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO COMUNAL VEREDA EL AGUACATE - ASUAGUACATE,248,,16.31,20.8,42.6,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0166,DAGUA,Sur Cali,Rural,"PARCELACION LA SUIZA, SAN JOSE DEL SALADO.",ASOCIACION DE SUSCRIPTORES DEL ACUEDUCTO LA SUIZA - SUAS. PARCELACION LA SUIZA,80,0.25,16.31,20.8,42.6,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0580,DAGUA,Sur Cali,Rural,SAN JOAQUIN,ASOCIACION DE SUSCRIPTORES DEL SERVICIO DE ACUEDUCTO SAN JOAQUIN-ASOSANJOAQUIN,88,2.0,16.88,21.06,43.6,1.96,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0466,DAGUA,Sur Cali,Rural,SAN VICENTE,ASOCIACION DE SUSCRIPTORES DEL SERVICIO DE ACUEDUCTO SAN VICENTE-AGUASANVICENTE,180,0.5,16.88,21.06,43.6,1.96,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0169,DAGUA,Sur Cali,Rural,EL VERGEL,ASOCIACION DE SUSCRIPTORES DEL SERVICIO DE AGUA EL VERGEL - AUVA E.S.P.,768,2.11,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0287,DAGUA,Sur Cali,Rural,LOBOGUERRERO,ASOCIACION DE USUARIOS ACUEDUCTO LOBOGUERRERO,2760,10.9,20.39,20.94,40.2,1.38,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0171,DAGUA,Sur Cali,Rural,"LOS COLORADOS, VILLA DEL CARMEN","ASOCIACION DE USUARIOS ACUEDUCTO LOS COLORADOS CORREGIMIENTO BORRERO AYERBE MUNICIPIO DE DAGUA, VALLE DEL CAUCA ASOCOLORADOS",100,2.0,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0172,DAGUA,Sur Cali,Rural,PUERTA DAGUA,ASOCIACION DE USUARIOS ACUEDUCTO PUERTA DAGUA RIO DAGUA E.S.P - RIO DAGUA E.S.P,312,3.5,19.08,20.94,41.1,1.96,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0173,DAGUA,Sur Cali,Rural,LA CLORINDA TANQUE 1,ASOCIACION DE USUARIOS ACUEDUCTO VEREDA LA CLORINDA,400,3.0,10.55,20.59,42.4,1.27,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0174,DAGUA,Sur Cali,Rural,TOCOTA,ASOCIACION DE USUARIOS DE ACUEDUCTO DE LA VEREDA TOCOTA - ASOTOCOTA,904,6.0,10.55,20.59,42.4,1.27,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0175,DAGUA,Sur Cali,Rural,LA VIRGEN,ASOCIACION DE USUARIOS DE ACUEDUCTO EL PALMARCITO DE LA VEREDA LA VIRGEN EN LIQUIDACION,68,1.0,10.64,21.06,40.7,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0176,DAGUA,Sur Cali,Rural,LAS DELICIAS,ASOCIACION DE USUARIOS DE ACUEDUCTO VEREDA LAS DELICIAS - ASAD ESP. ALTA,224,1.0,15.63,21.06,45.6,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0177,DAGUA,Sur Cali,Rural,LAS DELICIAS PARTE BAJA Y ALTA,ASOCIACION DE USUARIOS DE ACUEDUCTO VEREDA LAS DELICIAS - ASAD ESP. BAJA,160,2.0,15.63,21.06,45.6,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0178,DAGUA,Sur Cali,Rural,PUEBLO NUEVO,ASOCIACIÓN DE USUARIOS DE ACUEDUCTO Y SERVICIOS BÁSICOS PUEBLO NUEVO-A.U.AS.B,968,4.0,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0179,DAGUA,Sur Cali,Rural,LA CLEMENTINA,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO COMUNITARIO QUEBRADA LA CLEMENTINA,120,2.0,10.55,20.59,42.4,1.27,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0180,DAGUA,Sur Cali,Rural,CENTELLA PARTE BAJA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA CENTELLA (BAJA) CRGT VILLAHERMOSA - DAGUA.,96,3.0,10.64,21.06,40.7,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0181,DAGUA,Sur Cali,Rural,SANTA MARIA PARTE BAJA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE SANTA MARIA PARTE BAJA - ASUASBA,380,5.0,16.87,21.01,42.4,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0182,DAGUA,Sur Cali,Rural,BORRERO AYERBE (KM 26),ASOCIACION DE USUARIOS DEL ACUEDUCTO PEÑA ALEGRIA KM 26 BORRERO AYERBE - ASUAPAL,720,2.0,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0230,DAGUA,Sur Cali,Rural,ATUNCELA,"ASOCIACION DE USUARIOS DEL ACUEDUCTO QUEBRADA LOS CHORROS, CORREGIMIENTO ATUNCELA, MUNICIPIO DE DAGUA",256,5.0,19.08,20.94,41.1,1.96,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0184,DAGUA,Sur Cali,Rural,MACHADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COLECTIVO DE LA VEREDA DE MACHADO,740,5.08,12.75,20.59,37.0,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0185,DAGUA,Sur Cali,Rural,VILLAHERMOSA,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL VILLAHERMOSA-ACUEHERMOSA,600,15.0,19.08,20.94,41.1,1.96,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0186,DAGUA,Sur Cali,Rural,LA ROSITA,"ASOCIACION DE USUARIOS DEL ACUEDUCTO VEREDAL ""LA ROSITA E.S.P."" - ASO ACUEDUCTO",336,1.8,12.75,20.59,37.0,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0187,DAGUA,Sur Cali,Rural,LOMA ALTA LA BALASTRERA,ASOCIACION DE USUARIOS DEL SERVICIO DE ACUEDUCTO LA BALASTRERA - ACUEDUCTO LA BALASTRERA,208,0.5,10.55,20.59,42.4,1.27,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0188,DAGUA,Sur Cali,Rural,JIGUALES,"ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA DE ACUEDUCTO DE JIGUALES, ACUAJI",1472,3.5,12.85,20.59,38.4,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0189,DAGUA,Sur Cali,Rural,LIMONAR,ASOCIACIÓN DE USUARIOS DEL SERVICIO DE AGUA POTABLE DEL LIMONAR MUNICIPIO DE DAGUA,548,4.5,16.87,21.01,42.4,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0190,DAGUA,Sur Cali,Rural,EL CHILCAL,ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LA VEREDA EL CHILCAL,924,6.0,16.31,20.8,42.6,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0192,DAGUA,Sur Cali,Rural,LAS CAMELIAS,ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LAS CAMELIAS - AUSAPACECS. - ALTA,1852,3.5,15.82,20.8,40.2,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0192,DAGUA,Sur Cali,Rural,LAS CAMELIAS,ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE LAS CAMELIAS - AUSAPACECS. - BAJA,1852,3.5,15.82,20.8,40.2,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0193,DAGUA,Sur Cali,Rural,"EL QUEREMAL, POTRERITO, ALTO SAN JUAN Y EL TIGRE.",ASOCIACION DE USUARIOS DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO QUEREMAL ASUAQ,6680,23.0,15.82,20.8,40.2,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0194,DAGUA,Sur Cali,Rural,LAS CAMELIAS KM 95 ALTO,ASOCIACIÓN DE USUARIOS DEL SERVICIO DE AGUA Y ALCANTARILLADO SAN VICENTE KM 95 ALTO CAMELIAS CENTELL,880,5.0,15.63,21.06,45.6,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0195,DAGUA,Sur Cali,Rural,YERBABUENA,"ASOCIACION DE USUARIOS NACIMIENTO LA ROSITA, VEREDA YERBABUENA EL PALMAR",248,1.0,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0196,DAGUA,Sur Cali,Rural,"SAN JOSE DEL SALADO , PARTE BAJA","ASOCIACION DE USUARIOS, ACUEDUCTO SAN JOSE DEL SALADO - ACUASALADO",1360,3.5,16.31,20.8,42.6,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0197,DAGUA,Sur Cali,Rural,"SAN JOSE DEL SALADO , PARTE ALTA","ASOCIACION DE USUARIOS, ACUEDUCTO SAN JOSE DEL SALADO PARTE ALTA - ASUSAL",608,3.5,16.31,20.8,42.6,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0198,DAGUA,Sur Cali,Rural,ALTO DE LAS TORTOLAS,ASOCIACION EMPRESA COMUNITARIA ACUASALUD ALTO DE LAS TORTOLAS - ACUASALUD ALTO DE LAS TORTOLAS,1600,7.0,12.75,20.59,37.0,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0200,DAGUA,Sur Cali,Rural,BORRERO AYERBE (KM 28),ASOCIACION EMPRESA COMUNITARIA ACUEDUCTO BORRERO AYERBE - ECASP. ESP. - KM 28 AMBICHINTE,80,3.0,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0201,DAGUA,Sur Cali,Rural,BORRERO AYERBE (KM30),ASOCIACION EMPRESA COMUNITARIA DE ACUEDUCTO DE BORRERO AYERBE - ECASP. ESP. - KM 30,9612,15.0,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0202,DAGUA,Sur Cali,Rural,PARCELACION HATO CHICO,ASOCIACION EMPRESA COMUNITARIA DE ACUEDUCTO DE LA PARCELACION HATOCHICO - SAN DIEGO - ACUASALUD HATO,320,1.5,12.85,20.59,38.4,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0203,DAGUA,Sur Cali,Rural,CENTELLA ALTA,ASOCIACION RURAL ACUEDUCTO CENTELLA PARTE ALTA,180,,10.64,21.06,40.7,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0204,DAGUA,Sur Cali,Rural,LA ELSA.,CONCEJO COMUNITARIO DE CORREGIMIENTO LA ELSA.,56,4.0,20.85,20.8,41.0,1.3,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0205,DAGUA,Sur Cali,Rural,TOCOTA DAGUA,CONDOMINIO CAMPESTRE COLINAS DE TOCOTA,312,9.0,10.55,20.59,42.4,1.27,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0206,DAGUA,Sur Cali,Rural,CONJUNTO CAMPESTRE AMBICHINTE,CONJUNTO CAMPESTRE AMBICHINTE,324,3.0,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0210,DAGUA,Sur Cali,Rural,LAS BRISAS,EMPRESA COMUNITARIA ACUEDUCTO RURAL COLECTIVO LAS BRISAS - ECOABRISAS,540,10.0,10.64,21.06,40.7,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0211,DAGUA,Sur Cali,Rural,"EL PALMAR , LA VIBORA",EMPRESA COMUNITARIA DE ACUEDUCTO RURAL EL PALMAR SECTOR LA VIBORA,640,1.3,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0212,DAGUA,Sur Cali,Rural,"EL PALMAR , LA VIRGEN",EMPRESA COMUNITARIA DE ACUEDUCTO RURAL EL PALMAR SECTOR LA VIRGEN,1120,5.0,10.64,21.06,40.7,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0213,DAGUA,Sur Cali,Rural,PARCELACION EL CARMELO,EMPRESA DE SERVICIO PRIVADO ACUASALUD EL CARMELO,1496,4.5,12.75,20.59,37.0,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0214,DAGUA,Sur Cali,Rural,LOMALTA,JAC ACUEDUCTO SECTOR LA ESCUELA VEREDA LOMALTA,960,3.0,10.55,20.59,42.4,1.27,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0215,DAGUA,Sur Cali,Rural,BORRERO AYERBE (BARRIO COREA),JUNTA ADMINISTRADORA ACUEDUCTO AGUAS CLARAS,448,2.0,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0216,DAGUA,Sur Cali,Rural,"JORDANCITO , PARAGUITAS",JUNTA ADMINISTRADORA ACUEDUCTO PARAGUITAS JAACUPAR,800,4.2,12.75,20.59,37.0,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0218,DAGUA,Sur Cali,Rural,JORDANCITO,"JUNTA ADMINISTRADORA DE ACUEDUCTO PEÑAS RUCIAS VEREDA EL JORDANCITO, SAN BERNARDO. DAGUA - VALLE",720,5.4,12.75,20.59,37.0,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0219,DAGUA,Sur Cali,Rural,"TRAPICHE , LA YOLOMBA",JUNTA ADMINISTRADORA DE ACUEDUCTO TRAPICHE - LA YOLOMBA,600,5.0,15.37,20.94,41.1,1.14,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0220,DAGUA,Sur Cali,Rural,JORDAN,"JUNTA ADMINISTRADORA DE AGUAS, VEREDA EL JORDAN, DAGUA - ACUASALUD E.S.P.",560,2.5,12.75,20.59,37.0,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0223,DAGUA,Sur Cali,Rural,BEN HUR,JUNTA DE ACCIÓN COMUNAL VEREDA BEN HUR,164,1.0,13.31,19.17,38.2,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0366,DAGUA,Sur Cali,Rural,EL DIVISO,JUNTA DE ACCION COMUNAL VEREDA EL DIVISO. PERSONERIA JURIDICA 069,288,1.0,12.75,20.59,37.0,1.34,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0680,DAGUA,Sur Cali,Rural,LA ESMERALDA,JUNTA DE ACCIÓN COMUNAL VEREDA LA ESMERALDA,120,,16.87,21.01,42.4,1.55,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0682,DAGUA,Sur Cali,Rural,"PARCELACION EL ENSUEÑO ETAPA 2 SERES: A , B.",PARCELACION EL ENSUEÑO SEGUNDA ETAPA,172,0.43,10.31,20.59,41.6,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0683,DAGUA,Sur Cali,Rural,PARCELACION SAN FERNANDO,PARCELACION SAN FERNANDO,1568,,16.88,21.06,43.6,1.96,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0689,DAGUA,Sur Cali,Rural,"EL CARMEN,BAHONDO,JUNTAS,LA VIRGINIA,AGUA SUCIA,BORRERO AYERBE,ALTO CARMEN",SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P. - EL CARMEN,3452,13.0,8.92,21.24,42.0,2.11,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0224,DAGUA,Sur Cali,Urbano,"URBANO, El CARMEN",SOCIEDAD DE ACUEDUCTOS Y ALCANTARILLADOS DEL VALLE DEL CAUCA S.A. E.S.P. ACUAVALLE S.A. E.S.P.- DAGUA,15300,45.0,16.88,21.06,43.6,1.96,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0225,EL AGUILA,Norte Cartago,Rural,EL NARANJO,ACUEDUCTO RURAL EL NARANJO -JAC,52,1.5,18.36,16.28,32.4,0.82,1,0,1,P3,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0167,EL AGUILA,Norte Cartago,Rural,EL BRILLANTE,ACUEDUCTO RURAL LA JUDEA 2 -EL BRILLANTE,92,2.0,21.78,16.28,35.1,0.64,1,0,1,P3,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0227,EL AGUILA,Norte Cartago,Rural,LA GUERRA,ACUEDUCTO RURAL VEREDA LA GUERRA,80,,18.36,16.28,32.4,0.82,1,0,1,P3,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0228,EL AGUILA,Norte Cartago,Rural,EL CORAZON,ACUEDUCTO VEREDA EL CORAZON,40,0.7,16.63,19.09,31.1,1.08,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0229,EL AGUILA,Norte Cartago,Rural,LA ALBANIA,ASOCIACION DE USUARIOS ACUEDUCTO LA ALBANIA,132,4.0,16.63,19.09,31.1,1.08,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0145,EL AGUILA,Norte Cartago,Rural,LA JUDEA,ASOCIACION DE USUARIOS ACUEDUCTO LA JUDEA,152,3.0,21.78,16.28,35.1,0.64,1,0,1,P3,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0231,EL AGUILA,Norte Cartago,Rural,EL PITAL,ASOCIACION DE USUARIOS DE ACUEDUCTO EL PITAL,128,2.5,16.63,19.09,31.1,1.08,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0232,EL AGUILA,Norte Cartago,Rural,CAÑAVERAL,ASOCIACIÓN DE USUARIOS DEL ACUEDUCTO CAÑAVERAL,176,5.0,19.15,16.28,30.9,0.71,1,0,1,P3,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0233,EL AGUILA,Norte Cartago,Rural,"EL COFRE,SAN JOSE,TRAVESIAS, ALTO BONITO",ASOCIACION DE USUARIOS DEL ACUEDUCTO COLECTIVO (COSTA),664,26.0,14.4,19.52,39.0,1.56,1,2,3,P1,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0234,EL AGUILA,Norte Cartago,Rural,LA CEDALIA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA CEDALIA,120,,16.63,19.09,31.1,1.08,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0235,EL AGUILA,Norte Cartago,Rural,LA LIBERTAD,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA LIBERTAD CATARINA,216,,16.36,19.09,29.6,0.82,2,0,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0236,EL AGUILA,Norte Cartago,Rural,LA MARIA,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO LA MARIA,644,8.0,16.63,19.09,31.1,1.08,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0237,EL AGUILA,Norte Cartago,Rural,LA QUIEBRA SAN PABLO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DEL CORREGIMIENTO QUIEBRA DE SAN PABLO (ASOPARAISORURAL),240,,16.63,19.09,31.1,1.08,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0238,EL AGUILA,Norte Cartago,Rural,CORREGIMIENO VILLANUEVA,ASOCIACION DE USUARIOS DEL ACUEDUCTO SANTA RITA - VILLANUEVA,1136,,19.15,16.28,30.9,0.71,1,0,1,P3,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0239,EL AGUILA,Norte Cartago,Rural,LA LINEA,ASOCIACION MUNICIPAL DE ACUEDUCTOS RURALES AGUA Y VIDA - LA LINEA,124,12.0,16.63,19.09,31.1,1.08,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
ELNINO_0240,EL AGUILA,Norte Cartago,Rural,SAN LUIS LLANO GRANDE,EMPRESA COMUNAL SOLIDARIA SANTA CLARA DE LOS ACUEDUCTOS 1 Y 2 - LLANO GRANDE # 1,100,,21.87,16.28,38.8,1.08,1,1,2,P2,CHIRPS + ERA5-Land · GEE 1–15 ago 2026 vs 1991–2020 · matriz graduada V0.5
