FUENTE_ARCHIVO,ACTIVIDAD,CODIGO_LLAVE,CODIGO_ANTERIOR,CODIGO_SISTEMA_LIMPIO,MUNICIPIO,MUNICIPIO_NORM,LOCALIDADES_ABASTECIDAS,LOCALIDAD_NORM,NOMBRE_SISTEMA,NOMBRE_SISTEMA_NORM,PERSONA_PRESTADORA,ARO,NOMBRE_ARO,ARO_NORM,FUNCIONARIO,FEC_VISITA,FECHA_ACTIVIDAD,FECHA CARGUE,FECHA_CARGUE_DT,ACTA,CONSECUTIVO VISITA,ESTADO,OBSERVACION,Código,Actividad,Actividad_Resumen,PROGRAMADO
1.3_VisitasMPR.csv,1.3,124804,124804,1426,BUGALAGRANDE,BUGALAGRANDE,EL PORVENIR,EL PORVENIR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNITARIO DE LAS VEREDAS CHICORAL Y EL PORVENIR - ASUACHIJAPOR - EL PORVENIR,2,Aro Centro Tuluà,ARO CENTRO TULUA,WILLIAM ALBERTO CARLOSAMA JIMENEZ,21/04/2026,2026-04-21,2026-05-19,2026-05-19,WAC210426,134,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,61928,61928,181,RIOFRIO,RIOFRIO,VEREDA CALABAZAS                                                                            ,VEREDA CALABAZAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS                                                                                  ,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE LA VEREDA DE CALABAZAS,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,25/04/2026,2026-04-25,2026-04-29,2026-04-29,DM25042026,124,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,122659,122659,18517,ZARZAL,ZARZAL,GUASIMAL BAJO - GUASIMAL ALTO- ALIZAL,GUASIMAL BAJO - GUASIMAL ALTO- ALIZAL,ASOCIACION DE USUARIOS DE SERVICIOS PUBLICOS DEL ACUEDUCTO GUASIMAL-ALIZAL -ASERPUGAZ.,ASOCIACION DE USUARIOS DE SERVICIOS PUBLICOS DEL ACUEDUCTO GUASIMAL-ALIZAL -ASERPUGAZ.,ASOCIACION DE USUARIOS DE SERVICIOS PUBLICOS DEL ACUEDUCTO GUASIMAL-ALIZAL -ASERPUGAZ.,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,4/04/2026,2026-04-04,2026-04-22,2026-04-22,DM-040426-1,108,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,14638,14638,1919,OBANDO,OBANDO,CORREGIMIENTO VILLA RODAS,CORREGIMIENTO VILLA RODAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #2,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #2,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE VILLA RODAS # 2,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,1/04/2026,2026-04-01,2026-04-16,2026-04-16,SHIR01042026-2,99,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,88218,88218,1922,OBANDO,OBANDO,CORREGIMIENTO VILLA RODAS,CORREGIMIENTO VILLA RODAS,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #1,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO VILLA RODAS #1,ASOCIACION DE USUARIOS DEL ACUEDUCTO Y ALCANTARILLADO DE VILLA RODAS # 1,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,1/04/2026,2026-04-01,2026-04-16,2026-04-16,SHIR01042026,98,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,116231,116231,2064,RESTREPO,RESTREPO,LA ESPERANZA,LA ESPERANZA,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,ACUEDUCTO ALTO DEL OSO - LA ESPERANZA,2,Aro Centro Tuluà,ARO CENTRO TULUA,VALERIA PATIÑO HERNANDEZ,16/04/2026,2026-04-16,2026-04-22,2026-04-22,VP-16042026,109,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,80702,80702,2147,ANSERMANUEVO,ANSERMANUEVO,LA CABAÑA,LA CABANA,ACUEDUCTO LA CABAÑA,ACUEDUCTO LA CABANA,ASOCIACION GESTORA COMUNITARIA DEL AGUA DEL CORREGIMIENTO LA CABAÑA,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,4/04/2026,2026-04-04,2026-04-16,2026-04-16,SHIR04042026,95,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,120229,120229,2150,CAICEDONIA,CAICEDONIA,EL SALADO,EL SALADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL PALOGRANDE EL SALADO,2,Aro Centro Tuluà,ARO CENTRO TULUA,WILLIAM ALBERTO CARLOSAMA JIMENEZ,15/04/2026,2026-04-15,2026-05-19,2026-05-19,WAC15042026,135,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO
1.3_VisitasMPR.csv,1.3,17834,17834,21651,LA CUMBRE,LA CUMBRE,VEREDAS SAN JOSE Y AGUA CLARA,VEREDAS SAN JOSE Y AGUA CLARA,VERSA,VERSA,"ACUEDUCTO VERSA - ASOCIACION DE USUARIO DEL SERVICIO DEL ACUEDUCTO V.E.R.S.A. DE LAS VEREDAS,SAN JOSE Y AGUA CLARA MUNICIPIO DE YUMBO LA CUMBRE",3,Aro Sur Cali,ARO SUR CALI,MAURICIO ALZATE DIAZ,22/04/2026,2026-04-22,2026-04-28,2026-04-28,MPCUMBRE01,113,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO
1.3_VisitasMPR.csv,1.3,59619,59619,2170,BOLÍVAR,BOLIVAR,LA HERRADURA,LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA,ASOCIACION DE USUARIOS DEL ACUEDUCTO LA HERRADURA  ASOAHER,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,2/04/2026,2026-04-02,2026-04-22,2026-04-22,DM020426,103,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,88219,88219,2191,TORO,TORO,VEREDA LA QUIEBRA,VEREDA LA QUIEBRA,ACUEDUCTO RURAL LA QUIEBRA,ACUEDUCTO RURAL LA QUIEBRA,ACUEDUCTO RURAL VEREDA LA QUIEBRA,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,9/04/2026,2026-04-09,2026-04-16,2026-04-16,SHIR09042026,97,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,118184,118184,23445,EL DOVIO,EL DOVIO,VEREDA DIAMANTE,VEREDA DIAMANTE,VEREDA DIAMANTE ALTO,VEREDA DIAMANTE ALTO,ASOCIACION DE USUARIOS DEL ACUEDUCTO RURAL COMUNIDAD DE LA VEREDA DIAMANTE ALTO,1,Aro Norte Cartago,ARO NORTE CARTAGO,ANA MILENA MENDEZ ARANA,23/04/2026,2026-04-23,2026-04-29,2026-04-29,AMM23426,125,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO
1.3_VisitasMPR.csv,1.3,0,0,25266,EL CERRITO,EL CERRITO,,,,,PARCELACIÓN VENECIA ETAPAS 1-2-3 Y 4,3,Aro Sur Cali,ARO SUR CALI,LAURA SOFIA LOPEZ CUNDUMI,19/03/2026,2026-03-19,2026-03-31,2026-03-31,MPRVENE,88,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO
1.3_VisitasMPR.csv,1.3,0,0,25332,ARGELIA,ARGELIA,,,,,ACUEDUCTO RURAL VEREDA LA MARINA ,1,Aro Norte Cartago,ARO NORTE CARTAGO,EDWARD RAUL JAIMES VERA,6/04/2026,2026-04-06,2026-04-14,2026-04-14,ERJ060426,93,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO
1.3_VisitasMPR.csv,1.3,0,0,25437,EL DOVIO,EL DOVIO,,,,,ACUEDUTO RURAL MONTE AZUL - ACUAZAL ,1,Aro Norte Cartago,ARO NORTE CARTAGO,ANA MILENA MENDEZ ARANA,22/04/2026,2026-04-22,2026-04-29,2026-04-29,AMM2426,126,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO
1.3_VisitasMPR.csv,1.3,110576,110576,2564,ALCALA,ALCALA,LA UNIÓN-EL HIGUERÓN-LA ESTRELLA-EL DINDE,LA UNION-EL HIGUERON-LA ESTRELLA-EL DINDE,SISTEMA # 5,SISTEMA # 5,COOPERATIVA MARAVELEZ ALCALA ESP - SISTEMA # 5,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,8/04/2026,2026-04-08,2026-04-16,2026-04-16,SHIR08042026,96,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO
1.3_VisitasMPR.csv,1.3,108425,108425,2646,YOTOCO,YOTOCO,PUENTETIERRA,PUENTETIERRA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,JUNTA DE ACUEDUCTO PUENTE TIERRA - LA BOHEMIA,2,Aro Centro Tuluà,ARO CENTRO TULUA,VALERIA PATIÑO HERNANDEZ,8/04/2026,2026-04-08,2026-04-22,2026-04-22,VP-08042026,104,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,66187,66187,2786,RIOFRIO,RIOFRIO,LOS ALPES,LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,7/04/2026,2026-04-07,2026-04-29,2026-04-29,DM0407,129,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,66187,66187,2786,RIOFRIO,RIOFRIO,LOS ALPES,LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,JUNTA ADMINISTRADORA DEL ACUEDUCTO DE USUARIO DE LA ZULIA ACUAZULIA LOS ALPES,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,7/04/2026,2026-04-07,2026-04-22,2026-04-22,DM-07042026,101,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,88298,88298,2873,LA VICTORIA,LA VICTORIA,CORREGIMIENTOMIRAVALLES,CORREGIMIENTOMIRAVALLES,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL DE MIRAVALLES-ACUAMIR,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL DE MIRAVALLES-ACUAMIR,ASOCIACION JUNTA ADMINISTRADORA DEL ACUEDUCTO RURAL DE MIRAVALLES- ACUAMIR,1,Aro Norte Cartago,ARO NORTE CARTAGO,ANA MILENA MENDEZ ARANA,27/04/2026,2026-04-27,2026-05-07,2026-05-07,AMM27042026,131,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,15191,15191,309,ULLOA,ULLOA,BERLIN,BERLIN,SISTEMA # 2 - BERLIN ,SISTEMA # 2 - BERLIN,ADMINISTRACION COOPERATIVA ULLOA E.S.P - SISTEMA #2  BERLIN - MOCTEZUMA ,1,Aro Norte Cartago,ARO NORTE CARTAGO,SAIR HAIRTON IBARGUEN RENTERIA,22/04/2026,2026-04-22,2026-04-29,2026-04-29,SHIR22042026,123,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,60383,60383,3171,ROLDANILLO,ROLDANILLO,VEREDA LA SOLEDAD,VEREDA LA SOLEDAD,ASOCIACION  COMUNITARIA ADMINISTRADORA ACUEDUCTO LA SOLEDAD,ASOCIACION COMUNITARIA ADMINISTRADORA ACUEDUCTO LA SOLEDAD,ASOCIACION COMUNITARIA ADMINISTRADORA DEL ACUEDUCTO LA VEREDA LA SOLEDAD,1,Aro Norte Cartago,ARO NORTE CARTAGO,ANA MILENA MENDEZ ARANA,17/04/2026,2026-04-17,2026-04-29,2026-04-29,AMM170426,128,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,61999,61999,3286,TRUJILLO,TRUJILLO,ANDINÁPOLIS,ANDINAPOLIS,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE ANDINAPOLIS - ARCA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE ANDINAPOLIS - ARCA,ASOCIACION DE USUARIOS DEL ACUEDUCTO DE ANDINAPOLIS - ARCA,2,Aro Centro Tuluà,ARO CENTRO TULUA,DIANA GIMENA MARTINEZ GONZALEZ,14/04/2026,2026-04-14,2026-04-29,2026-04-29,DM14042026,120,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,67724,67724,347,GINEBRA,GINEBRA,LOS MEDIOS,LOS MEDIOS,ASOMEDIOS,ASOMEDIOS,JUNTA ADMINISTRADORA DEL ACUEDUCTO LOS MEDIOS - ASOMEDIOS,3,Aro Sur Cali,ARO SUR CALI,DIEGO ANDRES SANCHEZ MUÑOZ,15/04/2026,2026-04-15,2026-04-20,2026-04-20,DSMPG1504,100,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,SI
1.3_VisitasMPR.csv,1.3,116907,116907,3502,EL AGUILA,EL AGUILA,VEREDA EL NARANJO,VEREDA EL NARANJO,ACUEDUCTO RURAL EL NARANJO ,ACUEDUCTO RURAL EL NARANJO,ASOCIACIÓN DE USUARIOS ACUEDUCTO EL NARANJO,1,Aro Norte Cartago,ARO NORTE CARTAGO,EDWARD RAUL JAIMES VERA,24/04/2026,2026-04-24,2026-04-29,2026-04-29,ERJV240426,127,ABIERTO,,1.3,Visita para la elaboración de mapa de riesgo de la calidad de agua para consumo humano para adopción por la SDS (incluye la ficha de inspeccion sanitaria y anexo tecnico),Visita Mapas de Riesgo Ficah y Anexo Tecnico 1,NO
