aro,fecha,nombre,municipio,ubicacion,direccion,acta,nivel_fuente,danos,suspension,riesgo_colapso,riesgo_cerramiento,senalizacion,vias_seguras,grietas,bovedas_bloques,bovedas_abiertas,exposicion_restos,mov_suelo,fugas,agua,residuos_dispersion,residuos_gestion,salud_publica,restriccion,observaciones,fuente_principal,tipo_fuente,flag_exposicion_restos,flag_bovedas_abiertas,flag_riesgo_colapso,flag_restriccion,flag_salud_publica,prioridad_sanitaria,completitud_pct,n_fotos
ARO Sur - Cali,2026-08-15,CEMENTERIO CATOLICO COSTA RICA-GINEBRA,Ginebra,COSTA RICA,VIA COSTA RICA - PUENTE ROJO,005072,Sin afectación,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Baja,100,1
ARO Sur - Cali,2026-08-15,CEMENTERIO VILLA DE PAZ,Ginebra,COSTA RICA,CARRERA 5 # 6-31,005071,Sin afectación,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Baja,100,0
ARO Sur - Cali,2026-08-15,CEMENTERIO EL PALMAR,Dagua,EL PALMAR,KM 34 VIA AL MAR,03247,Sin afectación,,,NO,,,,,,NO,NO,,,,NO,,,,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Baja,27,0
ARO Sur - Cali,2026-08-15,CEMENTERIO LAS BRISAS,Dagua,LAS BRISAS,VEREDA LAS BRISAS,03246,Grave,,,SI,,,SI,,,NO,NO,,,,NO,,,,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,No,No,Alta,36,0
ARO Sur - Cali,2026-08-15,CEMENTERIO CAMPOSANTO CATOLICO - CORREGIMIENTO VILLA HERMOSA,Dagua,VILLA HERMOSA,CORREGIMIENTO VILLHERMOSA - KM 40,03245,Leve,,,SI,,,SI,,,,NO,,NO,,,,,,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,Sí,No,No,Media,36,0
ARO Sur - Cali,2026-08-18,CEMENTERIO EL POMO,El Cerrito,EL POMO,VIA MALOCA DE LOS VIENTOS,01704,Sin afectación,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,NO,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Baja,100,1
ARO Sur - Cali,2026-08-18,CEMENTERIO DE LA PARROQUIA SAN ISIDRO LABRADOR,Dagua,KM 30,KM 30,02706,Grave,NO,,,,,SI,,,,SI,SI,NO,NO,SI,,,SI,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,Sí,No,No,Sí,No,Alta,55,0
ARO Sur - Cali,2026-08-18,CEMENTERIO CATOLICO DEL QUEREMAL - PARROQUIA SAN JOSE DEL QUEREMAL - DAGUA,Dagua,VEREDA BAJO TIGRE,VEREDA BAJO TIGRE,02702,Leve,SI,,,,,SI,NO,NO,SI,NO,NO,NO,SI,,,,NO,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,Sí,No,No,No,Media,64,0
ARO Sur - Cali,2026-08-18,CEMENTERIO EL LIMONAR - DAGUA,Dagua,CORREGIMIENTO EL LIMONAR,CORREGIMIENTO EL LIMONAR,02703,Leve,NO,,,,,SI,SI,NO,NO,NO,,NO,NO,NO,NO,NO,,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Media,73,0
ARO Sur - Cali,2026-08-18,CEMENTERIO SAN JOSE DEL SALADO - DAGUA,Dagua,SAN JOSE DEL SALADO,PARTE ALTA VÍA COSCORRON,02705,Leve,NO,,NO,NO,NO,,SI,NO,NO,NO,,NO,NO,NO,NO,NO,NO,,CUADRO CEMENTERIOS TOTALES-21082026.xlsx,Excel resumen,No,No,No,No,No,Media,91,1
